Name,Year,Population total,Median Age,Total Housing Units,Vacant Housing Units,Occupied Housing Units,Real Median Income,Household size,Vacant units per person
"Abbeville County, South Carolina",2009,25347,40.1,12009,2373,9636,33495,2.6304483188,0.0936205468103
"Abbeville County, South Carolina",2012,25387,42.4,12066,2188,9878,35067,2.57005466694,0.0861858431481
"Abbeville County, South Carolina",2015,24997,43.3,12008,2435,9573,34799,2.6111981615,0.0974116894027
"Acadia Parish, Louisiana",2009,59616,34.8,24658,2937,21721,33882,2.74462501726,0.0492652979066
"Acadia Parish, Louisiana",2012,61611,35.6,25369,3196,22173,38686,2.77864970911,0.051873853695
"Acadia Parish, Louisiana",2015,62163,35.7,25737,3138,22599,37649,2.75069693349,0.0504801891801
"Accomack County, Virginia",2009,38522,41.5,21231,6474,14757,40343,2.61042217253,0.168059809979
"Accomack County, Virginia",2012,33454,44.5,21017,6731,14286,40780,2.34173316534,0.201201650027
"Accomack County, Virginia",2015,33115,45.3,21031,7070,13961,39412,2.37196475897,0.213498414616
"Ada County, Idaho",2009,368791,33.9,151143,9424,141719,55888,2.60226927935,0.0255537689369
"Ada County, Idaho",2012,394961,34.9,159535,9651,149884,55499,2.63511115262,0.024435323994
"Ada County, Idaho",2015,417501,35.8,164992,7706,157286,56356,2.65440662233,0.0184574408205
"Adair County, Iowa",2009,7555,45.3,3704,357,3347,43487,2.25724529429,0.0472534745202
"Adair County, Iowa",2012,7628,45.4,3689,419,3270,47872,2.33272171254,0.0549292081804
"Adair County, Iowa",2015,7426,45.9,3672,443,3229,46526,2.29978321462,0.0596552652841
"Adair County, Kentucky",2009,17872,39,7948,1231,6717,29247,2.66071162721,0.0688786929275
"Adair County, Kentucky",2012,18651,39.4,8525,1289,7236,31169,2.57752902156,0.0691115757868
"Adair County, Kentucky",2015,18852,41,8526,1478,7048,33362,2.67480136209,0.0784001697433
"Adair County, Missouri",2009,24801,25.7,11327,1697,9630,30000,2.5753894081,0.068424660296
"Adair County, Missouri",2012,25542,29.1,11261,1664,9597,33284,2.66145670522,0.0651476000313
"Adair County, Missouri",2015,25560,27.9,11309,1674,9635,37516,2.65282823041,0.0654929577465
"Adair County, Oklahoma",2009,21822,34.2,8760,1074,7686,29798,2.83918813427,0.0492163871323
"Adair County, Oklahoma",2012,22470,36.8,9135,1219,7916,31287,2.83855482567,0.0542501112595
"Adair County, Oklahoma",2015,22236,37,9212,1244,7968,33404,2.7906626506,0.0559453139054
"Adams County, Colorado",2009,419439,32,159908,14159,145749,55258,2.87781734352,0.0337569944616
"Adams County, Colorado",2012,442996,32.4,163245,12211,151034,56633,2.93308791398,0.0275645829759
"Adams County, Colorado",2015,471206,33,165046,8418,156628,58946,3.00844038103,0.0178647979864
"Adams County, Idaho",2009,3520,45.4,2121,580,1541,37255,2.28423101882,0.164772727273
"Adams County, Idaho",2012,3976,50.3,2620,888,1732,35756,2.29561200924,0.223340040241
"Adams County, Idaho",2015,3880,51.3,2645,1053,1592,39565,2.43718592965,0.271391752577
"Adams County, Illinois",2009,66892,40.3,30383,2804,27579,43460,2.42546865369,0.0419183160916
"Adams County, Illinois",2012,67098,40.4,29904,3204,26700,45691,2.51303370787,0.047751050702
"Adams County, Illinois",2015,67081,40.6,29976,3093,26883,45965,2.49529442399,0.0461084360698
"Adams County, Indiana",2009,33955,34.2,13165,707,12458,43208,2.72555787446,0.0208216757473
"Adams County, Indiana",2012,34343,34.3,13023,706,12317,45339,2.78826012828,0.0205573188131
"Adams County, Indiana",2015,34642,33.8,13079,896,12183,48188,2.84347040959,0.0258645574736
"Adams County, Iowa",2009,4072,45.7,2220,306,1914,40833,2.12748171369,0.0751473477407
"Adams County, Iowa",2012,4027,46.5,2008,285,1723,45099,2.33720255369,0.0707722870623
"Adams County, Iowa",2015,3892,46.8,1992,274,1718,48043,2.26542491269,0.0704008221994
"Adams County, Mississippi",2009,31475,40.8,15494,2579,12915,28868,2.4370886566,0.0819380460683
"Adams County, Mississippi",2012,32391,40.4,14695,2452,12243,27486,2.64567507964,0.0757000401346
"Adams County, Mississippi",2015,31979,40.7,14622,2768,11854,28869,2.69773915978,0.0865568029019
"Adams County, Nebraska",2009,33024,36.3,13893,1154,12739,44524,2.59235418793,0.0349442829457
"Adams County, Nebraska",2012,31299,37.8,13433,874,12559,49017,2.49215701887,0.0279242148311
"Adams County, Nebraska",2015,31442,37.8,13618,948,12670,50635,2.4816101026,0.0301507537688
"Adams County, North Dakota",2009,2291,49.5,1370,369,1001,35550,2.28871128871,0.161065037102
"Adams County, North Dakota",2012,2325,50.2,1444,344,1100,42830,2.11363636364,0.147956989247
"Adams County, North Dakota",2015,2341,47.6,1378,311,1067,52118,2.19400187441,0.132849209739
"Adams County, Ohio",2009,28142,38.1,12095,1873,10222,33850,2.75308158873,0.0665553265582
"Adams County, Ohio",2012,28524,39.8,12913,1990,10923,34282,2.61137050261,0.0697658112467
"Adams County, Ohio",2015,28229,41,12848,1990,10858,35560,2.59983422361,0.0704948811506
"Adams County, Pennsylvania",2009,101011,39.4,39598,1894,37704,54899,2.67905262041,0.0187504331211
"Adams County, Pennsylvania",2012,101352,41.3,40827,2536,38291,58465,2.64688830273,0.0250217065277
"Adams County, Pennsylvania",2015,101767,42.8,41235,3042,38193,60356,2.66454585919,0.0298918116875
"Adams County, Washington",2009,17029,29.6,6005,582,5423,39679,3.14014383183,0.0341769921898
"Adams County, Washington",2012,18575,29.2,6220,498,5722,41798,3.24624257253,0.0268102288022
"Adams County, Washington",2015,19081,28.9,6271,469,5802,46564,3.28869355395,0.0245794245585
"Adams County, Wisconsin",2009,20400,46.6,16243,7163,9080,38726,2.24669603524,0.35112745098
"Adams County, Wisconsin",2012,20898,48.9,17384,8651,8733,42781,2.39299209894,0.413963058666
"Adams County, Wisconsin",2015,20451,51.4,17410,9624,7786,43640,2.62663755459,0.470588235294
"Addison County, Vermont",2009,36659,39.6,16459,2737,13722,55427,2.67154933683,0.0746610654955
"Addison County, Vermont",2012,36814,41.8,16760,2619,14141,57785,2.60335195531,0.0711414135927
"Addison County, Vermont",2015,36943,42.8,16891,2555,14336,59688,2.57693917411,0.0691605987603
"Adjuntas Municipio, Puerto Rico",2009,18472,34.4,6233,1201,5032,12103,3.67090620032,0.0650173235167
"Adjuntas Municipio, Puerto Rico",2012,19458,36.3,7037,1273,5764,13095,3.37578070784,0.0654229622777
"Adjuntas Municipio, Puerto Rico",2015,18962,37.8,7694,1372,6322,10499,2.99936728883,0.0723552367894
"Aguada Municipio, Puerto Rico",2009,45597,35.2,15271,2256,13015,13797,3.50341913177,0.0494769392723
"Aguada Municipio, Puerto Rico",2012,41876,38,16280,2953,13327,15106,3.14219254146,0.0705177189798
"Aguada Municipio, Puerto Rico",2015,40603,39.5,17398,4288,13110,16029,3.09710144928,0.105607960003
"Aguadilla Municipio, Puerto Rico",2009,67187,36.1,23993,4364,19629,13814,3.42284375159,0.064953041511
"Aguadilla Municipio, Puerto Rico",2012,60714,37.8,25553,6106,19447,15302,3.12202396256,0.100569885035
"Aguadilla Municipio, Puerto Rico",2015,57973,39.7,27386,6565,20821,17267,2.78435233658,0.113242371449
"Aguas Buenas Municipio, Puerto Rico",2009,31341,35.7,10341,1181,9160,15242,3.42150655022,0.037682269232
"Aguas Buenas Municipio, Puerto Rico",2012,28573,35.7,10250,1458,8792,13994,3.24988626024,0.0510271935044
"Aguas Buenas Municipio, Puerto Rico",2015,27693,37.7,10752,1904,8848,14824,3.12985985533,0.0687538367096
"Aibonito Municipio, Puerto Rico",2009,27119,35.2,9119,832,8287,15179,3.27247496078,0.0306795973303
"Aibonito Municipio, Puerto Rico",2012,25823,37.1,9556,938,8618,16235,2.9964028777,0.0363242071022
"Aibonito Municipio, Puerto Rico",2015,24829,40.2,9986,1278,8708,17307,2.85128617363,0.0514720689516
"Aiken County, South Carolina",2009,152647,39.4,68319,8133,60186,44534,2.5362542784,0.0532797893178
"Aiken County, South Carolina",2012,160169,40.1,72248,9003,63245,44399,2.53251640446,0.0562093788436
"Aiken County, South Carolina",2015,163908,40.9,73649,9943,63706,45759,2.5728816752,0.0606620787271
"Aitkin County, Minnesota",2009,15871,50.5,15687,8145,7542,39452,2.10434897905,0.513200176422
"Aitkin County, Minnesota",2012,16166,51.8,16011,8250,7761,41191,2.08297899755,0.5103303229
"Aitkin County, Minnesota",2015,15839,53.1,16112,8503,7609,42252,2.0816138783,0.536839446935
"Alachua County, Florida",2009,238990,27.5,108148,11630,96518,39345,2.47611844423,0.0486631239801
"Alachua County, Florida",2012,247973,30.1,112587,16043,96544,42818,2.5684972655,0.0646965597061
"Alachua County, Florida",2015,254218,30.8,113659,16956,96703,43073,2.62885329307,0.066698660205
"Alamance County, North Carolina",2009,144769,37.4,63843,5978,57865,44172,2.5018404908,0.0412933708183
"Alamance County, North Carolina",2012,151170,38.5,66694,6384,60310,44155,2.50654949428,0.0422306013098
