,Code,County,State,Title,Period,LF,Emp,U Level,U Rate,FIPS
41847,CN0100100000000,1.0,1.0,"Autauga County, AL",Jun-17(p),"25,992","24,791","1,201",4.6,01001
41848,CN0100300000000,1.0,3.0,"Baldwin County, AL",Jun-17(p),"94,329","90,227","4,102",4.3,01003
41849,CN0100500000000,1.0,5.0,"Barbour County, AL",Jun-17(p),"8,195","7,624",571,7.0,01005
41850,CN0100700000000,1.0,7.0,"Bibb County, AL",Jun-17(p),"8,584","8,137",447,5.2,01007
41851,CN0100900000000,1.0,9.0,"Blount County, AL",Jun-17(p),"24,761","23,582","1,179",4.8,01009
41852,CN0101100000000,1.0,11.0,"Bullock County, AL",Jun-17(p),"4,795","4,527",268,5.6,01011
41853,CN0101300000000,1.0,13.0,"Butler County, AL",Jun-17(p),"9,180","8,607",573,6.2,01013
41854,CN0101500000000,1.0,15.0,"Calhoun County, AL",Jun-17(p),"45,804","43,102","2,702",5.9,01015
41855,CN0101700000000,1.0,17.0,"Chambers County, AL",Jun-17(p),"15,360","14,643",717,4.7,01017
41856,CN0101900000000,1.0,19.0,"Cherokee County, AL",Jun-17(p),"11,242","10,715",527,4.7,01019
41857,CN0102100000000,1.0,21.0,"Chilton County, AL",Jun-17(p),"19,273","18,366",907,4.7,01021
41858,CN0102300000000,1.0,23.0,"Choctaw County, AL",Jun-17(p),"4,274","3,949",325,7.6,01023
41859,CN0102500000000,1.0,25.0,"Clarke County, AL",Jun-17(p),"7,887","7,049",838,10.6,01025
41860,CN0102700000000,1.0,27.0,"Clay County, AL",Jun-17(p),"5,723","5,432",291,5.1,01027
41861,CN0102900000000,1.0,29.0,"Cleburne County, AL",Jun-17(p),"5,890","5,587",303,5.1,01029
41862,CN0103100000000,1.0,31.0,"Coffee County, AL",Jun-17(p),"20,670","19,593","1,077",5.2,01031
41863,CN0103300000000,1.0,33.0,"Colbert County, AL",Jun-17(p),"23,652","22,233","1,419",6.0,01033
41864,CN0103500000000,1.0,35.0,"Conecuh County, AL",Jun-17(p),"4,546","4,209",337,7.4,01035
41865,CN0103700000000,1.0,37.0,"Coosa County, AL",Jun-17(p),"4,409","4,176",233,5.3,01037
41866,CN0103900000000,1.0,39.0,"Covington County, AL",Jun-17(p),"15,705","14,734",971,6.2,01039
41867,CN0104100000000,1.0,41.0,"Crenshaw County, AL",Jun-17(p),"6,392","6,068",324,5.1,01041
41868,CN0104300000000,1.0,43.0,"Cullman County, AL",Jun-17(p),"38,117","36,461","1,656",4.3,01043
41869,CN0104500000000,1.0,45.0,"Dale County, AL",Jun-17(p),"20,041","18,984","1,057",5.3,01045
41870,CN0104700000000,1.0,47.0,"Dallas County, AL",Jun-17(p),"15,532","14,091","1,441",9.3,01047
41871,CN0104900000000,1.0,49.0,"DeKalb County, AL",Jun-17(p),"28,926","27,391","1,535",5.3,01049
41872,CN0105100000000,1.0,51.0,"Elmore County, AL",Jun-17(p),"37,217","35,635","1,582",4.3,01051
41873,CN0105300000000,1.0,53.0,"Escambia County, AL",Jun-17(p),"14,692","13,852",840,5.7,01053
41874,CN0105500000000,1.0,55.0,"Etowah County, AL",Jun-17(p),"44,671","42,337","2,334",5.2,01055
41875,CN0105700000000,1.0,57.0,"Fayette County, AL",Jun-17(p),"6,518","6,154",364,5.6,01057
41876,CN0105900000000,1.0,59.0,"Franklin County, AL",Jun-17(p),"13,854","13,156",698,5.0,01059
41877,CN0106100000000,1.0,61.0,"Geneva County, AL",Jun-17(p),"10,973","10,431",542,4.9,01061
41878,CN0106300000000,1.0,63.0,"Greene County, AL",Jun-17(p),"2,823","2,573",250,8.9,01063
41879,CN0106500000000,1.0,65.0,"Hale County, AL",Jun-17(p),"6,052","5,635",417,6.9,01065
41880,CN0106700000000,1.0,67.0,"Henry County, AL",Jun-17(p),"6,799","6,430",369,5.4,01067
