date,Accommodation and food services,Administrative and waste management services,"Agriculture, forestry, fishing, and hunting","Arts, entertainment, and recreation",Construction,Durable goods,Educational services,Federal,Finance and insurance,Health care and social assistance,Information,Management of companies and enterprises,Mining,"Other services, except government","Professional, scientific, and technical services",Real estate and rental and leasing,Retail trade,State and local,Transportation and warehousing,Utilities,Wholesale trade
2005-04-01,-0.02,0.15,0.14,0.05,-0.20,0.16,-0.04,-0.03,0.67,0.17,0.46,-0.35,0.03,0.02,-0.18,0.52,0.57,0.03,0.07,-0.16,0.26
2005-07-01,0.06,0.04,0.03,0.05,-0.15,0.52,0.01,0.03,0.73,0.32,-0.21,-0.10,-0.48,0.05,0.17,0.30,0.53,0.11,0.70,0.24,0.28
2005-10-01,0.11,0.09,-0.04,0.00,-0.14,0.81,0.06,0.09,0.36,0.08,0.05,0.24,-0.11,-0.06,0.14,-0.06,-0.54,0.07,0.11,0.11,0.46
2006-01-01,0.18,0.14,-0.01,0.08,0.37,0.93,0.02,-0.09,0.56,0.64,-0.25,0.06,1.08,0.11,0.74,-0.01,0.33,-0.02,0.20,-0.13,0.24
2006-04-01,-0.08,-0.01,0.44,0.02,-0.37,0.03,0.03,0.04,-0.32,0.16,0.47,0.07,-0.15,-0.02,-0.03,0.13,0.06,0.06,0.23,0.44,0.02
2006-07-01,-0.05,0.01,-0.26,-0.05,-0.43,-0.04,0.02,0.12,0.27,-0.07,0.64,-0.16,0.18,-0.06,0.05,0.37,-0.66,0.10,-0.15,0.06,0.05
2006-10-01,0.08,0.01,-0.26,0.05,-0.59,0.54,0.00,0.02,0.19,0.13,-0.07,-0.04,0.46,-0.05,0.17,1.21,0.38,0.12,-0.15,-0.22,0.15
2007-01-01,0.06,0.11,-0.15,0.03,0.00,-0.04,0.02,-0.01,0.35,-0.15,0.48,0.06,0.09,-0.06,0.09,0.33,-0.36,0.05,-0.31,-0.06,0.08
2007-04-01,-0.08,0.29,-0.15,-0.02,0.32,0.67,0.02,-0.02,-0.63,0.10,0.56,-0.19,0.28,-0.07,0.05,0.32,-0.53,0.14,0.41,0.24,0.59
2007-07-01,-0.16,0.28,-0.22,0.07,-0.23,0.71,0.04,0.14,-0.84,0.19,0.72,-0.04,-0.27,-0.06,0.75,0.77,0.17,0.06,-0.29,-0.07,0.11
2007-10-01,0.10,0.11,0.16,-0.02,-0.50,-0.05,0.03,0.06,-1.79,0.30,0.50,0.01,-0.31,-0.07,0.73,0.74,0.07,0.28,0.54,0.07,0.27
2008-01-01,-0.16,-0.20,0.41,-0.03,-0.82,-0.32,0.03,0.13,0.64,0.54,-0.05,-0.08,-0.40,-0.13,0.49,-0.16,-0.52,0.20,-0.08,-0.04,-0.11
2008-04-01,-0.03,0.07,-0.20,0.00,-0.18,0.08,0.05,0.13,-1.55,0.36,0.50,0.13,-0.14,-0.09,0.62,0.15,-0.24,0.07,-0.14,0.35,-0.11
2008-07-01,-0.16,0.01,-0.12,-0.01,-0.14,-0.28,0.08,0.19,-1.27,0.37,0.07,0.07,0.79,-0.05,0.37,-0.19,-0.28,0.14,-0.01,-0.03,-0.43
2008-10-01,-0.28,-0.31,0.48,0.02,-0.98,-1.67,0.01,0.09,-2.35,0.28,-1.09,-0.10,2.41,-0.06,-0.29,0.02,-0.68,-0.32,-0.79,-1.01,-1.11
2009-01-01,-0.41,-0.48,0.03,-0.13,-1.28,-2.40,0.16,0.07,4.88,-0.06,-0.29,-0.77,0.41,-0.24,-1.11,-0.24,-0.01,-0.13,-0.70,-0.09,-1.63
2009-04-01,-0.15,-0.17,0.01,-0.01,-0.22,-0.74,-0.02,0.26,1.99,0.11,0.02,0.10,-0.86,-0.10,-0.79,-0.60,-0.05,0.08,0.33,0.16,-0.82
2009-07-01,-0.08,-0.01,0.43,-0.03,0.21,0.12,-0.01,0.08,0.37,-0.10,0.08,0.17,-0.25,-0.14,-0.28,0.00,0.00,-0.04,0.10,0.20,-0.10
2009-10-01,0.10,0.17,-0.20,0.01,-0.58,0.84,0.02,0.09,-0.44,0.17,0.69,0.04,-0.24,-0.05,-0.26,0.08,0.47,0.05,0.23,0.37,0.75
2010-01-01,0.13,0.46,-0.14,0.10,-0.47,0.71,0.02,0.17,-0.16,-0.23,-0.11,0.17,-0.16,-0.12,0.29,0.74,-0.09,-0.01,0.01,0.37,-0.24
2010-04-01,0.18,0.18,0.25,0.05,0.30,1.19,0.02,0.21,-0.10,0.20,0.13,0.14,0.10,0.06,0.25,0.71,0.19,-0.04,0.08,-0.26,0.46
