date,CES7000000008,CES5000000008,CES6500000008,CES2000000008,CES1000000008,CES5500000008,CES4000000008,AHETPI,CWUR0000SA0,CES6000000008,CES3000000008
1980-01-01,3.81,9.15,5.67,8.88,8.57,5.53,6.8,6.57,78.3,6.95,6.82
1980-02-01,3.83,9.2,5.72,9.06,8.65,5.59,6.83,6.63,79.4,7.0,6.88
1980-03-01,3.87,9.29,5.79,9.14,8.73,5.71,6.91,6.7,80.5,7.08,6.95
1980-04-01,3.88,9.33,5.81,9.21,8.82,5.71,6.94,6.72,81.4,7.1,6.97
1980-05-01,3.93,9.37,5.87,9.27,8.88,5.74,6.97,6.76,82.3,7.15,7.02
1980-06-01,3.97,9.43,5.93,9.34,8.95,5.82,7.01,6.82,83.2,7.21,7.1
1980-07-01,4.01,9.49,5.94,9.39,8.97,5.82,7.07,6.86,83.3,7.23,7.16
1980-08-01,4.04,9.53,5.99,9.48,9.09,5.89,7.1,6.91,83.8,7.28,7.24
1980-09-01,4.06,9.58,6.02,9.53,9.15,5.92,7.15,6.95,84.6,7.3,7.3
1980-10-01,4.09,9.7,6.06,9.61,9.25,5.96,7.2,7.02,85.3,7.37,7.38
1980-11-01,4.14,9.77,6.14,9.69,9.33,6.05,7.25,7.09,86.1,7.44,7.47
1980-12-01,4.16,9.83,6.16,9.75,9.42,6.06,7.28,7.13,86.9,7.48,7.52
1981-01-01,4.2,9.87,6.22,9.84,9.54,6.11,7.33,7.19,87.5,7.53,7.58
1981-02-01,4.24,9.95,6.29,9.89,9.62,6.19,7.39,7.23,88.5,7.59,7.62
1981-03-01,4.27,10.0,6.35,9.94,9.69,6.22,7.43,7.29,89.0,7.64,7.68
1981-04-01,4.3,10.07,6.37,9.99,9.72,6.23,7.47,7.33,89.6,7.67,7.76
1981-05-01,4.32,10.15,6.42,10.06,9.78,6.28,7.51,7.37,90.3,7.73,7.81
1981-06-01,4.34,10.19,6.46,10.18,9.84,6.3,7.55,7.42,91.1,7.77,7.85
1981-07-01,4.36,10.21,6.5,10.29,9.93,6.34,7.57,7.46,92.2,7.8,7.89
1981-08-01,4.41,10.32,6.59,10.36,10.0,6.44,7.62,7.53,92.8,7.89,7.97
1981-09-01,4.48,10.37,6.59,10.42,10.06,6.44,7.67,7.57,93.7,7.91,8.03
1981-10-01,4.44,10.39,6.64,10.52,10.12,6.48,7.66,7.59,93.9,7.95,8.06
1981-11-01,4.47,10.45,6.71,10.63,10.22,6.55,7.7,7.64,94.1,8.01,8.08
1981-12-01,4.48,10.47,6.7,10.66,10.26,6.53,7.72,7.64,94.4,8.03,8.09
1982-01-01,4.51,10.59,6.8,11.02,10.45,6.57,7.77,7.72,94.7,8.12,8.26
1982-02-01,4.51,10.58,6.82,10.79,10.4,6.6,7.78,7.73,95.0,8.11,8.21
1982-03-01,4.53,10.61,6.84,10.85,10.44,6.62,7.81,7.76,94.8,8.15,8.24
1982-04-01,4.56,10.64,6.88,10.86,10.41,6.67,7.82,7.77,95.2,8.19,8.28
