DATE,PAYEMS_CHG
1939-02-01,178
1939-03-01,179
1939-04-01,-186
1939-05-01,206
1939-06-01,202
1939-07-01,-83
1939-08-01,244
1939-09-01,369
1939-10-01,376
1939-11-01,61
1939-12-01,70
1940-01-01,64
1940-02-01,112
1940-03-01,111
1940-04-01,-126
1940-05-01,180
1940-06-01,98
1940-07-01,-36
1940-08-01,410
1940-09-01,458
1940-10-01,455
1940-11-01,403
1940-12-01,504
1941-01-01,308
1941-02-01,364
1941-03-01,250
1941-04-01,375
1941-05-01,713
1941-06-01,469
1941-07-01,486
1941-08-01,407
1941-09-01,291
1941-10-01,113
1941-11-01,76
1941-12-01,80
1942-01-01,243
1942-02-01,166
1942-03-01,423
1942-04-01,416
1942-05-01,420
1942-06-01,256
1942-07-01,443
1942-08-01,517
1942-09-01,267
1942-10-01,260
1942-11-01,158
1942-12-01,242
1943-01-01,257
1943-02-01,223
1943-03-01,158
1943-04-01,94
1943-05-01,-51
1943-06-01,185
1943-07-01,-80
1943-08-01,-155
1943-09-01,-61
1943-10-01,190
1943-11-01,145
1943-12-01,-74
1944-01-01,-91
1944-02-01,-111
1944-03-01,-252
1944-04-01,-229
1944-05-01,-78
1944-06-01,-38
1944-07-01,-42
1944-08-01,-55
1944-09-01,-178
1944-10-01,37
1944-11-01,3
1944-12-01,149
1945-01-01,36
1945-02-01,7
1945-03-01,-108
1945-04-01,-353
1945-05-01,-139
1945-06-01,-155
1945-07-01,-276
1945-08-01,-406
1945-09-01,-1967
1945-10-01,99
1945-11-01,398
1945-12-01,115
1946-01-01,720
1946-02-01,-581
1946-03-01,942
1946-04-01,716
1946-05-01,440
1946-06-01,384
1946-07-01,420
1946-08-01,490
1946-09-01,266
1946-10-01,185
1946-11-01,303
1946-12-01,-18
1947-01-01,160
1947-02-01,24
1947-03-01,43
1947-04-01,-114
1947-05-01,146
1947-06-01,170
1947-07-01,-65
1947-08-01,216
1947-09-01,242
1947-10-01,214
1947-11-01,72
1947-12-01,92
1948-01-01,103
1948-02-01,-145
1948-03-01,144
1948-04-01,-311
1948-05-01,425
1948-06-01,238
1948-07-01,127
1948-08-01,16
1948-09-01,119
1948-10-01,-44
1948-11-01,-57
1948-12-01,-165
1949-01-01,-358
1949-02-01,-171
1949-03-01,-262
1949-04-01,-8
1949-05-01,-248
1949-06-01,-243
1949-07-01,-210
1949-08-01,93
1949-09-01,162
1949-10-01,-834
1949-11-01,295
1949-12-01,272
1950-01-01,11
1950-02-01,-230
1950-03-01,654
1950-04-01,424
1950-05-01,342
1950-06-01,366
1950-07-01,370
1950-08-01,734
1950-09-01,254
1950-10-01,270
1950-11-01,66
1950-12-01,77
1951-01-01,433
1951-02-01,289
1951-03-01,294
