Date,PRS85006092
2000Q1,-1.9
2000Q2,8.2
2000Q3,-0.2
2000Q4,4.1
2001Q1,-1.6
2001Q2,7
2001Q3,2.1
2001Q4,5.2
2002Q1,9.4
2002Q2,0.2
2002Q3,3.1
2002Q4,-0.6
2003Q1,4.1
2003Q2,5.4
2003Q3,9
2003Q4,4
2004Q1,-0.1
2004Q2,3.8
2004Q3,1.4
2004Q4,1.3
2005Q1,4.5
2005Q2,-0.4
2005Q3,3
2005Q4,0.2
2006Q1,2.4
2006Q2,-0.4
2006Q3,-1.7
2006Q4,3
2007Q1,0.4
2007Q2,2.5
2007Q3,4.9
2007Q4,1.7
2008Q1,-3.8
2008Q2,4.1
2008Q3,1.1
2008Q4,-2.6
2009Q1,3
2009Q2,8
2009Q3,5.8
2009Q4,4.9
2010Q1,2.1
2010Q2,1.4
2010Q3,2
2010Q4,1.7
2011Q1,-3.3
2011Q2,1.3
2011Q3,-0.7
2011Q4,2.8
2012Q1,0.6
2012Q2,2.3
2012Q3,-0.8
2012Q4,-1.7
2013Q1,0.9
2013Q2,-0.6
2013Q3,1.6
2013Q4,4.1
2014Q1,-3.2
2014Q2,2.5
2014Q3,4.2
2014Q4,-2.1
2015Q1,3
2015Q2,1.3
2015Q3,1.2
2015Q4,-2.7
2016Q1,-1.1
2016Q2,1
2016Q3,2.4
2016Q4,1.2
2017Q1,0.2
2017Q2,1.7
2017Q3,2.6
2017Q4,0.3
2018Q1,0.7
