DATE,BOPGSTB_GDP
1992-01-01,-0.34466
1992-04-01,-0.60700
1992-07-01,-0.65382
1992-10-01,-0.78184
1993-01-01,-0.84432
1993-04-01,-1.03918
1993-07-01,-1.10043
1993-10-01,-1.09936
1994-01-01,-1.22854
1994-04-01,-1.32025
1994-07-01,-1.37928
1994-10-01,-1.45675
1995-01-01,-1.47636
1995-04-01,-1.54226
1995-07-01,-1.05448
1995-10-01,-0.96924
1996-01-01,-1.19293
1996-04-01,-1.26343
1996-07-01,-1.50429
1996-10-01,-1.17668
1997-01-01,-1.40099
1997-04-01,-1.10543
1997-07-01,-1.15259
1997-10-01,-1.37291
1998-01-01,-1.58475
1998-04-01,-1.84059
1998-07-01,-1.95908
1998-10-01,-1.91871
1999-01-01,-2.22849
1999-04-01,-2.57813
1999-07-01,-2.85400
1999-10-01,-3.02604
2000-01-01,-3.51597
2000-04-01,-3.48613
2000-07-01,-3.68736
2000-10-01,-3.79230
2001-01-01,-3.68850
2001-04-01,-3.30137
2001-07-01,-3.36080
2001-10-01,-3.26745
2002-01-01,-3.41382
2002-04-01,-3.74904
2002-07-01,-3.83841
2002-10-01,-4.25399
2003-01-01,-4.39740
2003-04-01,-4.30536
2003-07-01,-4.22777
2003-10-01,-4.23721
2004-01-01,-4.50962
2004-04-01,-4.93704
2004-07-01,-5.04855
2004-10-01,-5.35831
2005-01-01,-5.17052
2005-04-01,-5.29175
2005-07-01,-5.49392
2005-10-01,-5.84670
2006-01-01,-5.62990
2006-04-01,-5.54121
2006-07-01,-5.73129
2006-10-01,-5.09462
2007-01-01,-5.00044
2007-04-01,-4.97346
2007-07-01,-4.79662
2007-10-01,-4.72333
2008-01-01,-5.05987
2008-04-01,-5.03205
2008-07-01,-5.10542
2008-10-01,-4.05164
2009-01-01,-2.63548
2009-04-01,-2.27173
2009-07-01,-2.74046
2009-10-01,-2.99350
2010-01-01,-3.22227
2010-04-01,-3.46058
2010-07-01,-3.44162
2010-10-01,-3.11470
2011-01-01,-3.54476
2011-04-01,-3.59205
2011-07-01,-3.45595
2011-10-01,-3.57662
2012-01-01,-3.62692
2012-04-01,-3.39236
2012-07-01,-3.15449
2012-10-01,-3.13828
2013-01-01,-2.89080
2013-04-01,-2.83326
2013-07-01,-2.80426
2013-10-01,-2.52891
2014-01-01,-2.86207
2014-04-01,-2.88876
2014-07-01,-2.71436
2014-10-01,-2.77509
2015-01-01,-2.81309
2015-04-01,-2.68549
2015-07-01,-2.79862
2015-10-01,-2.70819
2016-01-01,-2.73420
2016-04-01,-2.63456
2016-07-01,-2.60068
2016-10-01,-2.81126
2017-01-01,-2.83264
2017-04-01,-2.84052
2017-07-01,-2.72383
10/1/2017,-3.116031293
1/1/2018,-3.272954321
