DATE,POP
1960-01-01,180638
1961-01-01,183618
1962-01-01,186474
1963-01-01,189188
1964-01-01,191820
1965-01-01,194249
1966-01-01,196507
1967-01-01,198664
1968-01-01,200663
1969-01-01,202648
1970-01-01,204982
1971-01-01,207589
1972-01-01,209837
1973-01-01,211857
1974-01-01,213814
1975-01-01,215890
1976-01-01,217999
1977-01-01,220193
1978-01-01,222525
1979-01-01,225002
1980-01-01,227621
1981-01-01,229915
1982-01-01,232127
1983-01-01,234246
1984-01-01,236307
1985-01-01,238415
1986-01-01,240592
1987-01-01,242750
1988-01-01,244967
1989-01-01,247285
1990-01-01,250047
1991-01-01,253391
1992-01-01,256777
1993-01-01,260146
1994-01-01,263324
1995-01-01,266458
1996-01-01,269580
1997-01-01,272822
1998-01-01,276022
1999-01-01,279194
2000-01-01,282295
2001-01-01,285215
2002-01-01,288019
2003-01-01,290733
2004-01-01,293388
2005-01-01,296114
2006-01-01,298929
2007-01-01,301903
2008-01-01,304718
2009-01-01,307373
2010-01-01,309755
2011-01-01,312019
2012-01-01,314283
2013-01-01,316476
2014-01-01,318789
2015-01-01,321080
2016-01-01,323298
2017-01-01,324936
