,footnotes,period,periodName,value,year,date,,,Date,Emp,,,,Date,Emp
0,[{}],M12,December,17881,1989,December 1989,,12,12/1/1989,17881,,,,1/1/1970,18424
1,[{}],M11,November,17886,1989,November 1989,,11,11/1/1989,17886,,,,2/1/1970,18361
2,[{}],M10,October,17895,1989,October 1989,,10,10/1/1989,17895,,,,3/1/1970,18360
3,[{}],M09,September,17922,1989,September 1989,,09,9/1/1989,17922,,,,4/1/1970,18207
4,[{}],M08,August,17964,1989,August 1989,,08,8/1/1989,17964,,,,5/1/1970,18029
5,[{}],M07,July,17980,1989,July 1989,,07,7/1/1989,17980,,,,6/1/1970,17930
6,[{}],M06,June,18013,1989,June 1989,,06,6/1/1989,18013,,,,7/1/1970,17877
7,[{}],M05,May,18040,1989,May 1989,,05,5/1/1989,18040,,,,8/1/1970,17779
8,[{}],M04,April,18055,1989,April 1989,,04,4/1/1989,18055,,,,9/1/1970,17692
9,[{}],M03,March,18060,1989,March 1989,,03,3/1/1989,18060,,,,10/1/1970,17173
10,[{}],M02,February,18055,1989,February 1989,,02,2/1/1989,18055,,,,11/1/1970,17024
11,[{}],M01,January,18057,1989,January 1989,,01,1/1/1989,18057,,,,12/1/1970,17309
12,[{}],M12,December,18025,1988,December 1988,,12,12/1/1988,18025,,,,1/1/1971,17280
13,[{}],M11,November,18003,1988,November 1988,,11,11/1/1988,18003,,,,2/1/1971,17216
14,[{}],M10,October,17966,1988,October 1988,,10,10/1/1988,17966,,,,3/1/1971,17154
15,[{}],M09,September,17914,1988,September 1988,,09,9/1/1988,17914,,,,4/1/1971,17149
16,[{}],M08,August,17891,1988,August 1988,,08,8/1/1988,17891,,,,5/1/1971,17225
17,[{}],M07,July,17926,1988,July 1988,,07,7/1/1988,17926,,,,6/1/1971,17139
18,[{}],M06,June,17916,1988,June 1988,,06,6/1/1988,17916,,,,7/1/1971,17126
19,[{}],M05,May,17892,1988,May 1988,,05,5/1/1988,17892,,,,8/1/1971,17115
20,[{}],M04,April,17874,1988,April 1988,,04,4/1/1988,17874,,,,9/1/1971,17154
21,[{}],M03,March,17844,1988,March 1988,,03,3/1/1988,17844,,,,10/1/1971,17126
22,[{}],M02,February,17823,1988,February 1988,,02,2/1/1988,17823,,,,11/1/1971,17166
23,[{}],M01,January,17790,1988,January 1988,,01,1/1/1988,17790,,,,12/1/1971,17202
24,[{}],M12,December,17809,1987,December 1987,,12,12/1/1987,17809,,,,1/1/1972,17283
25,[{}],M11,November,17775,1987,November 1987,,11,11/1/1987,17775,,,,2/1/1972,17361
26,[{}],M10,October,17729,1987,October 1987,,10,10/1/1987,17729,,,,3/1/1972,17447
27,[{}],M09,September,17691,1987,September 1987,,09,9/1/1987,17691,,,,4/1/1972,17508
28,[{}],M08,August,17630,1987,August 1987,,08,8/1/1987,17630,,,,5/1/1972,17602
29,[{}],M07,July,17593,1987,July 1987,,07,7/1/1987,17593,,,,6/1/1972,17641
30,[{}],M06,June,17537,1987,June 1987,,06,6/1/1987,17537,,,,7/1/1972,17556
31,[{}],M05,May,17542,1987,May 1987,,05,5/1/1987,17542,,,,8/1/1972,17741
32,[{}],M04,April,17525,1987,April 1987,,04,4/1/1987,17525,,,,9/1/1972,17774
33,[{}],M03,March,17507,1987,March 1987,,03,3/1/1987,17507,,,,10/1/1972,17893
34,[{}],M02,February,17499,1987,February 1987,,02,2/1/1987,17499,,,,11/1/1972,18005
35,[{}],M01,January,17465,1987,January 1987,,01,1/1/1987,17465,,,,12/1/1972,18158
36,[{}],M12,December,17478,1986,December 1986,,12,12/1/1986,17478,,,,1/1/1973,18276
