,1979-1988 Mean,1979-1988 Change,1989-1999 Mean,1989-1999 Change,2000-2013 Mean,2000-2013 Change,2014-2017 Mean,2014-2017 Change,1979-2017 Mean,1979-2017 Change
Male: 16-24: LTHS,0.47,-0.05,0.44,-0.04,0.32,-0.23,0.24,0.03,0.38,-0.27
Male: 16-24: HS,0.8,-0.02,0.74,-0.08,0.63,-0.19,0.6,0.04,0.7,-0.23
Male: 16-24: Some college,0.64,0.01,0.67,0.0,0.62,-0.12,0.59,0.02,0.64,-0.06
Male: 16-24: College,0.82,0.02,0.81,-0.01,0.79,-0.09,0.77,0.0,0.8,-0.06
Male: 16-24: Advanced,0.58,0.09,0.75,0.14,0.73,-0.12,0.73,-0.05,0.7,0.12
Male: 16-24: LTHS or HS,0.61,-0.05,0.57,-0.05,0.46,-0.2,0.42,0.04,0.52,-0.23
Male: 16-24: College or Advanced,0.79,0.03,0.8,0.01,0.78,-0.09,0.77,0.0,0.79,-0.03
Male: 25-34: LTHS,0.77,-0.05,0.77,-0.01,0.77,-0.08,0.74,-0.01,0.77,-0.11
Male: 25-34: HS,0.88,-0.03,0.88,-0.01,0.82,-0.11,0.8,0.01,0.85,-0.12
Male: 25-34: Some college,0.89,-0.01,0.9,0.0,0.86,-0.09,0.84,0.03,0.88,-0.07
Male: 25-34: College,0.94,0.0,0.93,-0.02,0.91,-0.05,0.9,0.0,0.92,-0.05
Male: 25-34: Advanced,0.91,0.0,0.93,0.02,0.92,-0.02,0.91,0.0,0.92,-0.02
Male: 25-34: LTHS or HS,0.85,-0.03,0.85,-0.01,0.81,-0.1,0.78,0.01,0.83,-0.11
Male: 25-34: College or Advanced,0.93,0.0,0.93,-0.01,0.91,-0.04,0.9,0.0,0.92,-0.04
Male: 35-44: LTHS,0.8,-0.07,0.75,-0.02,0.76,-0.02,0.79,0.01,0.77,-0.07
Male: 35-44: HS,0.9,-0.04,0.88,-0.01,0.84,-0.08,0.82,0.01,0.86,-0.12
Male: 35-44: Some college,0.92,-0.03,0.91,-0.01,0.88,-0.06,0.87,0.01,0.9,-0.08
Male: 35-44: College,0.96,-0.01,0.95,-0.01,0.93,-0.03,0.93,0.0,0.94,-0.04
Male: 35-44: Advanced,0.97,0.0,0.96,-0.01,0.95,-0.01,0.95,0.0,0.96,-0.02
Male: 35-44: LTHS or HS,0.87,-0.04,0.85,-0.01,0.82,-0.07,0.81,0.01,0.84,-0.09
Male: 35-44: College or Advanced,0.96,-0.01,0.95,-0.01,0.94,-0.02,0.94,0.0,0.95,-0.03
Male: 45-54: LTHS,0.77,-0.06,0.7,-0.07,0.67,-0.05,0.68,0.03,0.7,-0.13
Male: 45-54: HS,0.89,-0.02,0.85,-0.05,0.8,-0.08,0.78,0.02,0.83,-0.12
Male: 45-54: Some college,0.9,-0.01,0.88,-0.03,0.84,-0.06,0.83,0.01,0.87,-0.09
Male: 45-54: College,0.94,-0.02,0.93,-0.01,0.91,-0.04,0.91,0.0,0.92,-0.05
Male: 45-54: Advanced,0.96,-0.01,0.95,-0.02,0.93,-0.02,0.93,0.0,0.95,-0.04
Male: 45-54: LTHS or HS,0.84,-0.03,0.8,-0.04,0.77,-0.07,0.76,0.02,0.79,-0.1
Male: 45-54: College or Advanced,0.95,-0.01,0.94,-0.01,0.92,-0.03,0.92,0.0,0.93,-0.04
Male: 55-64: LTHS,0.57,-0.08,0.51,-0.02,0.48,-0.05,0.5,0.02,0.51,-0.11
Male: 55-64: HS,0.68,-0.11,0.64,-0.02,0.61,-0.01,0.63,0.02,0.64,-0.12
Male: 55-64: Some college,0.71,-0.07,0.68,-0.01,0.67,-0.03,0.67,0.0,0.68,-0.1
Male: 55-64: College,0.79,-0.08,0.74,0.01,0.75,0.01,0.77,0.01,0.76,-0.05
Male: 55-64: Advanced,0.84,-0.03,0.79,-0.04,0.8,0.03,0.81,0.01,0.81,-0.05
Male: 55-64: LTHS or HS,0.62,-0.09,0.59,0.0,0.58,-0.01,0.6,0.02,0.59,-0.07
Male: 55-64: College or Advanced,0.81,-0.06,0.76,-0.01,0.77,0.02,0.78,0.01,0.78,-0.05
Male: 65+: LTHS,0.12,-0.04,0.1,-0.01,0.12,0.02,0.12,0.0,0.11,-0.03
Male: 65+: HS,0.19,-0.06,0.15,-0.02,0.17,0.02,0.18,0.01,0.17,-0.05
Male: 65+: Some college,0.22,-0.05,0.19,-0.01,0.21,0.02,0.23,0.0,0.21,-0.02
Male: 65+: College,0.25,0.0,0.24,-0.01,0.25,0.05,0.29,0.0,0.25,0.03
Male: 65+: Advanced,0.37,-0.07,0.31,-0.05,0.32,0.06,0.34,0.0,0.33,-0.07
Male: 65+: LTHS or HS,0.14,-0.04,0.12,-0.01,0.15,0.03,0.16,0.01,0.14,-0.01
Male: 65+: College or Advanced,0.3,-0.02,0.27,-0.03,0.28,0.06,0.31,0.0,0.28,0.0
Male: 16+: LTHS,0.5,-0.06,0.47,-0.02,0.45,-0.08,0.42,0.01,0.47,-0.14
Male: 16+: HS,0.78,-0.06,0.73,-0.04,0.67,-0.11,0.63,0.02,0.71,-0.19
Male: 16+: Some college,0.77,-0.01,0.77,-0.02,0.72,-0.1,0.68,0.0,0.74,-0.11
Male: 16+: College,0.87,-0.02,0.84,-0.02,0.8,-0.06,0.77,-0.01,0.83,-0.11
Male: 16+: Advanced,0.87,-0.02,0.84,-0.05,0.79,-0.05,0.76,0.0,0.82,-0.13
Male: 16+: LTHS or HS,0.65,-0.04,0.63,-0.02,0.59,-0.09,0.57,0.02,0.62,-0.11
Male: 16+: College or Advanced,0.87,-0.02,0.84,-0.03,0.8,-0.06,0.77,-0.01,0.83,-0.12
Male: 25-54: LTHS,0.78,-0.06,0.75,-0.03,0.74,-0.05,0.74,0.01,0.75,-0.1
Male: 25-54: HS,0.89,-0.03,0.87,-0.02,0.82,-0.09,0.8,0.02,0.85,-0.12
Male: 25-54: Some college,0.9,-0.01,0.9,-0.01,0.86,-0.07,0.85,0.02,0.88,-0.08
Male: 25-54: College,0.95,0.0,0.94,-0.01,0.92,-0.04,0.91,0.0,0.93,-0.04
Male: 25-54: Advanced,0.94,0.0,0.95,0.0,0.94,-0.02,0.93,0.0,0.94,-0.02
Male: 25-54: LTHS or HS,0.85,-0.03,0.84,-0.02,0.8,-0.08,0.78,0.02,0.82,-0.1
Male: 25-54: College or Advanced,0.95,0.0,0.94,-0.01,0.92,-0.03,0.92,0.0,0.93,-0.03
Female: 16-24: LTHS,0.34,0.0,0.35,0.0,0.28,-0.18,0.22,0.03,0.31,-0.13
Female: 16-24: HS,0.65,0.02,0.62,-0.05,0.54,-0.15,0.52,0.05,0.59,-0.11
Female: 16-24: Some college,0.63,0.05,0.66,0.03,0.63,-0.1,0.59,0.02,0.63,-0.02
Female: 16-24: College,0.83,0.03,0.83,-0.06,0.78,-0.06,0.76,0.03,0.8,-0.04
Female: 16-24: Advanced,0.63,0.1,0.73,-0.08,0.75,0.02,0.73,-0.08,0.71,0.09
Female: 16-24: LTHS or HS,0.49,0.0,0.47,-0.02,0.4,-0.16,0.36,0.04,0.44,-0.12
