DATE,OPHNFB
2000-01-01,-1.93299
2000-04-01,8.20998
2000-07-01,-0.15398
2000-10-01,4.05272
2001-01-01,-1.62441
2001-04-01,6.97196
2001-07-01,2.1262
2001-10-01,5.17423
2002-01-01,9.30297
2002-04-01,0.28514
2002-07-01,3.13924
2002-10-01,-0.70193
2003-01-01,4.16376
2003-04-01,5.48574
2003-07-01,8.99584
2003-10-01,3.94099
2004-01-01,-0.06585
2004-04-01,3.78573
2004-07-01,1.4173
2004-10-01,1.32469
2005-01-01,4.47271
2005-04-01,-0.38844
2005-07-01,3.01595
2005-10-01,0.13173
2006-01-01,2.4162788
2006-04-01,-0.32460585
2006-07-01,-1.7581567
2006-10-01,2.994529
2007-01-01,0.40071118
2007-04-01,2.4541728
2007-07-01,4.8707151
2007-10-01,1.7302667
2008-01-01,-3.8082652
2008-04-01,4.0232148
2008-07-01,1.0159631
2008-10-01,-2.4880097
2009-01-01,3.1208074
2009-04-01,7.8650227
2009-07-01,5.871542
2009-10-01,4.9003277
2010-01-01,2.0605595
2010-04-01,1.4458771
2010-07-01,2.0228684
2010-10-01,1.6445284
2011-01-01,-3.2874174
2011-04-01,1.3337512
2011-07-01,-0.72129142
2011-10-01,2.7993329
2012-01-01,0.55915642
2012-04-01,2.3490825
2012-07-01,-0.6744898
2012-10-01,-1.7677046
2013-01-01,0.88321203
2013-04-01,-0.65048248
2013-07-01,1.6428308
2013-10-01,4.4140401
2014-01-01,-3.3707461
2014-04-01,2.3570068
2014-07-01,4.4133377
2014-10-01,-1.8382974
2015-01-01,2.7091737
2015-04-01,1.2536502
2015-07-01,1.2949902
2015-10-01,-2.5591719
2016-01-01,-1.17532
2016-04-01,0.83328819
2016-07-01,2.487272
2016-10-01,1.254751
2017-01-01,0.12643439
2017-04-01,1.5131881
2017-07-01,2.7
2017-10-01,-0.1
