DATE,A006RY,A019RY,A191RL,A822RY,DPCERY
2000-01-01,-0.71,-1.54,1.2,-0.59,4.01
2000-04-01,4.72,-0.47,7.8,0.90,2.62
2000-07-01,-1.01,-0.92,0.5,-0.15,2.55
2000-10-01,0.06,-0.34,2.3,0.23,2.35
2001-01-01,-3.60,0.31,-1.1,1.07,1.09
2001-04-01,-0.24,0.28,2.1,1.43,0.67
2001-07-01,-1.29,-0.88,-1.3,-0.05,0.96
2001-10-01,-3.54,-0.48,1.1,1.07,4.06
2002-01-01,2.50,-0.69,3.7,1.11,0.82
2002-04-01,0.73,-0.60,2.2,0.73,1.37
2002-07-01,0.00,-0.51,2.0,0.59,1.88
2002-10-01,-0.14,-1.60,0.3,0.55,1.44
2003-01-01,0.57,0.57,2.1,-0.24,1.19
2003-04-01,0.37,-0.86,3.8,1.23,3.02
2003-07-01,2.51,0.30,6.9,0.02,4.04
2003-10-01,2.53,-0.31,4.8,0.43,2.12
2004-01-01,0.07,-0.58,2.3,0.21,2.62
2004-04-01,2.60,-1.84,3.0,0.44,1.76
2004-07-01,1.17,-0.37,3.7,0.30,2.59
2004-10-01,1.52,-0.47,3.5,-0.33,2.78
2005-01-01,2.17,-0.10,4.3,0.18,2.09
2005-04-01,-0.99,0.04,2.1,0.14,2.92
2005-07-01,0.81,-0.10,3.4,0.60,2.09
2005-10-01,2.32,-0.73,2.3,-0.29,1.00
2006-01-01,1.10,0.18,4.9,0.61,3.01
2006-04-01,-0.51,0.02,1.2,0.27,1.41
2006-07-01,-0.80,-0.57,0.4,0.16,1.56
2006-10-01,-1.83,1.74,3.2,0.51,2.75
2007-01-01,-0.71,-0.31,0.2,-0.16,1.43
2007-04-01,1.02,0.48,3.1,0.66,0.93
2007-07-01,-0.44,1.39,2.7,0.56,1.21
2007-10-01,-1.44,2.22,1.4,0.31,0.34
2008-01-01,-2.36,-0.11,-2.7,0.32,-0.56
2008-04-01,-1.21,2.11,2.0,0.62,0.48
2008-07-01,-1.86,0.77,-1.9,1.13,-1.94
2008-10-01,-5.74,0.15,-8.2,0.56,-3.16
2009-01-01,-7.02,2.30,-5.4,0.15,-0.86
2009-04-01,-3.25,2.34,-0.5,1.56,-1.19
2009-07-01,-0.40,-0.45,1.3,0.48,1.68
2009-10-01,4.05,0.06,3.9,-0.17,-0.01
2010-01-01,1.77,-0.85,1.7,-0.63,1.46
2010-04-01,2.86,-1.77,3.9,0.61,2.23
2010-07-01,1.86,-0.83,2.7,-0.07,1.77
2010-10-01,-0.51,1.12,2.5,-0.87,2.79
2011-01-01,-1.07,-0.24,-1.5,-1.60,1.38
2011-04-01,2.14,0.31,2.9,-0.08,0.57
2011-07-01,0.15,0.01,0.8,-0.52,1.20
2011-10-01,4.16,-0.21,4.6,-0.31,0.94
2012-01-01,1.47,-0.02,2.7,-0.40,1.63
2012-04-01,1.53,0.28,1.9,-0.39,0.45
2012-07-01,-0.18,0.16,0.5,-0.22,0.72
2012-10-01,-0.51,0.58,0.1,-0.75,0.78
2013-01-01,2.04,0.30,2.8,-0.83,1.32
2013-04-01,0.78,-0.21,0.8,-0.37,0.58
2013-07-01,2.08,0.13,3.1,-0.37,1.28
2013-10-01,0.91,1.29,4.0,-0.53,2.29
2014-01-01,-0.93,-1.14,-0.9,-0.11,1.27
2014-04-01,2.47,-0.40,4.6,0.20,2.33
2014-07-01,1.90,0.28,5.2,0.39,2.65
2014-10-01,-0.21,-1.02,2.0,-0.11,3.36
2015-01-01,2.12,-1.64,3.2,0.27,2.48
2015-04-01,0.14,-0.03,2.7,0.60,2.03
2015-07-01,0.33,-0.77,1.6,0.21,1.86
2015-10-01,-1.08,-0.28,0.5,0.05,1.80
2016-01-01,-0.68,-0.28,0.6,0.32,1.23
2016-04-01,-0.45,0.28,2.2,-0.16,2.57
2016-07-01,0.40,0.36,2.8,0.09,1.92
2016-10-01,1.34,-1.61,1.8,0.03,1.99
2017-01-01,-0.20,0.22,1.2,-0.11,1.32
2017-04-01,0.64,0.21,3.1,-0.03,2.24
2017-07-01,1.19,0.36,3.2,0.12,1.49
2017-10-01,0.78,-1.16,2.9,0.51,2.75
