DATE,A008RZ,B009RZ,Y001RZ,Y033RZ
2000-01-01,11.07,1.37,2.48,7.22
2000-04-01,9.75,2.65,1.19,5.91
2000-07-01,3.17,2.24,0.44,0.49
2000-10-01,0.76,0.25,0.88,-0.36
2001-01-01,-2.48,-1.85,0.65,-1.27
2001-04-01,-6.75,0.39,-0.95,-6.19
2001-07-01,-3.84,0.55,-0.69,-3.70
2001-10-01,-8.20,-6.60,-1.26,-0.34
2002-01-01,-5.86,-3.49,-0.09,-2.28
2002-04-01,-3.80,-3.44,1.21,-1.57
2002-07-01,-1.69,-2.80,0.86,0.25
2002-10-01,-3.44,-0.76,-0.40,-2.28
2003-01-01,0.63,-0.29,1.09,-0.17
2003-04-01,6.85,1.65,0.74,4.46
2003-07-01,5.91,-0.17,1.94,4.14
2003-10-01,4.09,0.10,1.29,2.70
2004-01-01,-2.92,-1.18,0.30,-2.05
2004-04-01,6.24,0.36,0.59,5.29
2004-07-01,7.38,0.86,1.90,4.62
2004-10-01,5.77,0.01,1.69,4.08
2005-01-01,3.35,0.74,1.45,1.17
2005-04-01,3.88,-0.27,1.29,2.86
2005-07-01,4.93,-0.28,0.80,4.42
2005-10-01,1.09,0.50,-0.29,0.88
2006-01-01,9.90,2.16,0.92,6.82
2006-04-01,3.37,1.80,1.08,0.49
2006-07-01,3.27,1.12,1.78,0.36
2006-10-01,1.82,-0.07,1.38,0.50
2007-01-01,4.77,2.42,0.75,1.61
2007-04-01,5.60,3.81,0.28,1.50
2007-07-01,4.52,3.49,0.34,0.69
2007-10-01,5.04,1.94,1.74,1.36
2008-01-01,0.24,0.35,1.45,-1.56
2008-04-01,-1.67,1.44,0.34,-3.44
2008-07-01,-8.01,-0.50,-0.79,-6.73
2008-10-01,-16.60,-1.76,-0.82,-14.03
2009-01-01,-20.51,-6.29,-1.08,-13.13
2009-04-01,-9.69,-6.94,1.14,-3.89
2009-07-01,-4.13,-6.08,0.29,1.66
2009-10-01,-2.87,-7.11,1.78,2.46
2010-01-01,3.34,-5.41,-0.49,9.23
2010-04-01,9.39,2.10,-0.54,7.82
2010-07-01,6.52,-1.09,1.61,6.00
2010-10-01,7.07,1.39,1.38,4.31
2011-01-01,-0.74,-5.36,0.37,4.25
2011-04-01,7.25,4.62,0.89,1.74
2011-07-01,15.83,4.28,1.45,10.10
2011-10-01,7.89,2.44,1.82,3.64
2012-01-01,10.27,3.48,0.66,6.14
2012-04-01,6.16,1.86,0.97,3.32
2012-07-01,-1.71,-0.75,0.35,-1.31
2012-10-01,3.17,-1.36,1.70,2.82
2013-01-01,4.38,-0.99,1.84,3.54
2013-04-01,2.08,1.67,-0.85,1.25
2013-07-01,1.73,2.79,0.86,-1.91
2013-10-01,7.48,0.42,0.28,6.78
2014-01-01,5.65,3.72,1.69,0.24
2014-04-01,7.61,2.36,1.26,3.99
2014-07-01,8.33,-0.25,1.83,6.75
2014-10-01,-1.84,0.86,1.90,-4.60
2015-01-01,1.81,-0.43,-0.70,2.94
2015-04-01,2.35,0.84,1.16,0.35
2015-07-01,1.18,-3.04,0.70,3.52
2015-10-01,-4.00,-4.17,1.87,-1.70
2016-01-01,-3.13,0.38,1.50,-5.00
2016-04-01,2.52,0.09,2.64,-0.22
2016-07-01,2.61,2.29,1.05,-0.73
2016-10-01,0.14,-0.38,-0.09,0.60
2017-01-01,5.52,2.51,1.43,1.58
2017-04-01,5.00,1.20,0.91,2.89
2017-07-01,3.53,-1.28,1.26,3.54
2017-10-01,5.31,0.28,1.12,3.91
