DATE,A782RC,W170RC,W987RC,W988RC
2006-01-01,"534,251","3,233,905","1,792,812","906,842"
2006-04-01,"553,727","3,250,678","1,819,147","877,804"
2006-07-01,"555,759","3,240,164","1,843,596","840,809"
2006-10-01,"565,653","3,207,235","1,826,660","814,922"
2007-01-01,"575,574","3,209,784","1,851,007","783,203"
2007-04-01,"590,708","3,262,619","1,912,850","759,061"
2007-07-01,"597,231","3,255,468","1,934,672","723,565"
2007-10-01,"605,312","3,215,926","1,931,922","678,692"
2008-01-01,"611,363","3,138,377","1,904,227","622,787"
2008-04-01,"632,755","3,126,016","1,892,436","600,825"
2008-07-01,"645,756","3,081,628","1,861,955","573,917"
2008-10-01,"648,629","2,891,740","1,718,897","524,214"
2009-01-01,"642,749","2,614,895","1,487,292","484,854"
2009-04-01,"651,900","2,477,790","1,369,374","456,516"
2009-07-01,"651,397","2,437,795","1,319,945","466,453"
2009-10-01,"642,072","2,570,103","1,463,270","464,761"
2010-01-01,"635,405","2,624,944","1,535,195","454,344"
2010-04-01,"655,321","2,748,037","1,624,314","468,402"
2010-07-01,"660,509","2,825,075","1,725,423","439,143"
2010-10-01,"656,030","2,812,487","1,708,847","447,610"
2011-01-01,"637,677","2,761,135","1,682,994","440,464"
2011-04-01,"639,099","2,851,774","1,765,785","446,890"
2011-07-01,"637,455","2,865,676","1,772,918","455,303"
2011-10-01,"637,296","3,032,465","1,930,236","464,933"
2012-01-01,"623,585","3,084,365","1,969,203","491,577"
2012-04-01,"622,846","3,157,618","2,038,389","496,382"
2012-07-01,"612,912","3,142,838","2,022,383","507,544"
2012-10-01,"598,402","3,119,740","1,995,550","525,788"
2013-01-01,"591,426","3,209,015","2,061,824","555,765"
2013-04-01,"590,252","3,248,385","2,089,501","568,632"
2013-07-01,"594,833","3,345,666","2,170,720","580,112"
2013-10-01,"592,790","3,391,419","2,218,333","580,296"
2014-01-01,"583,244","3,363,945","2,193,285","587,417"
2014-04-01,"594,825","3,489,838","2,291,349","603,663"
2014-07-01,"596,982","3,589,008","2,375,641","616,384"
2014-10-01,"602,372","3,600,241","2,361,438","636,432"
2015-01-01,"596,009","3,690,591","2,443,267","651,316"
2015-04-01,"613,388","3,709,715","2,425,541","670,785"
2015-07-01,"615,464","3,731,131","2,422,785","692,882"
2015-10-01,"607,616","3,675,359","2,356,668","711,075"
2016-01-01,"618,506","3,650,143","2,304,234","727,403"
2016-04-01,"609,663","3,632,782","2,293,004","730,114"
2016-07-01,"601,976","3,649,946","2,313,686","734,283"
2016-10-01,"608,682","3,734,860","2,371,614","754,565"
2017-01-01,"618,936","3,747,675","2,366,325","762,414"
2017-04-01,"617,532","3,795,681","2,422,023","756,126"
2017-07-01,"615,566","3,864,738","2,493,858","755,314"
2017-10-01,"631,645","3,918,184","2,496,177","790,361"
