date,A006RY,A019RY,A191RL,A822RY,DPCERY
1947-04-01,-4.71,-0.68,-1.0,0.03,4.30
1947-07-01,-1.83,-0.16,-0.8,0.23,0.94
1947-10-01,10.69,-4.23,6.4,-0.30,0.25
1948-01-01,6.28,-2.98,6.2,1.35,1.51
1948-04-01,4.32,-3.00,6.8,2.34,3.12
1948-07-01,0.92,-0.32,2.3,1.35,0.37
1948-10-01,-3.04,-0.60,0.4,2.26,1.83
1949-01-01,-9.91,2.85,-5.4,1.49,0.17
1949-04-01,-7.86,0.02,-1.4,2.92,3.57
1949-07-01,4.98,-1.32,4.2,0.38,0.15
1949-10-01,-2.51,-2.86,-3.3,-1.22,3.28
1950-01-01,14.11,-0.57,16.7,-0.90,4.03
1950-04-01,7.61,-0.49,12.8,1.62,4.02
1950-07-01,6.43,-2.77,16.4,-0.70,13.41
1950-10-01,9.63,1.25,7.9,4.72,-7.72
1951-01-01,-8.88,0.80,5.5,7.31,6.32
1951-04-01,1.66,2.33,7.1,10.01,-6.88
1951-07-01,-5.58,1.96,8.5,9.24,2.88
1951-10-01,-5.41,0.15,0.9,4.84,1.31
1952-01-01,1.72,-0.76,4.3,3.04,0.35
1952-04-01,-4.71,-2.23,0.9,3.34,4.47
1952-07-01,3.27,-2.41,2.9,1.01,1.05
1952-10-01,4.67,-1.28,13.8,1.82,8.59
1953-01-01,1.35,0.24,7.6,3.24,2.81
1953-04-01,0.41,-0.70,3.1,2.11,1.32
1953-07-01,-1.20,0.68,-2.2,-0.98,-0.72
1953-10-01,-4.25,0.24,-5.9,-0.14,-1.78
1954-01-01,-0.16,0.13,-1.9,-2.52,0.66
1954-04-01,0.07,0.67,0.4,-3.26,2.96
1954-07-01,3.02,0.36,4.6,-1.96,3.18
1954-10-01,2.90,0.48,8.1,-0.42,5.09
1955-01-01,6.42,-0.39,11.9,0.34,5.55
1955-04-01,4.08,-1.37,6.7,-0.66,4.63
1955-07-01,1.06,0.70,5.5,0.79,2.96
1955-10-01,1.55,-0.56,2.4,-1.63,3.07
1956-01-01,-2.11,0.07,-1.5,0.13,0.37
1956-04-01,-0.58,1.25,3.3,1.89,0.78
1956-07-01,-0.61,0.43,-0.4,-0.69,0.51
1956-10-01,-0.54,1.63,6.7,2.30,3.35
1957-01-01,-0.96,-0.01,2.6,1.90,1.65
1957-04-01,-0.06,-0.80,-0.9,-0.42,0.41
1957-07-01,1.43,-0.26,4.0,0.87,1.94
1957-10-01,-5.19,-0.62,-4.1,1.60,0.13
1958-01-01,-4.12,-2.05,-10.0,-0.56,-3.25
1958-04-01,-1.24,-0.63,2.7,2.40,2.12
1958-07-01,4.41,0.28,9.6,0.62,4.27
1958-10-01,5.26,-0.97,9.7,1.89,3.51
1959-01-01,3.82,0.64,7.9,-1.14,4.60
1959-04-01,5.34,-1.01,9.3,1.08,3.92
1959-07-01,-4.43,1.41,0.3,0.70,2.61
1959-10-01,2.05,-0.46,1.1,-0.77,0.32
1960-01-01,6.63,1.72,9.3,-1.44,2.39
1960-04-01,-6.61,0.46,-2.1,0.96,3.05
1960-07-01,-0.17,0.96,2.0,2.15,-0.97
1960-10-01,-6.92,0.91,-5.0,0.63,0.34
1961-01-01,1.52,-0.07,2.7,1.35,-0.07
1961-04-01,4.16,-1.14,7.0,0.25,3.69
1961-07-01,4.86,-0.17,7.9,1.98,1.23
1961-10-01,1.22,-0.07,8.1,2.03,4.90
1962-01-01,3.56,-0.61,7.3,1.80,2.58
1962-04-01,-0.47,0.73,3.7,0.46,2.95
1962-07-01,1.15,-0.24,5.0,2.14,1.96
1962-10-01,-1.90,-0.82,1.3,0.65,3.39
1963-01-01,3.28,0.68,4.4,-1.23,1.71
1963-04-01,1.06,1.13,4.6,0.09,2.29
1963-07-01,2.15,-0.50,9.1,4.12,3.32
1963-10-01,0.83,0.81,2.6,-0.99,1.99
1964-01-01,2.60,1.04,8.7,0.31,4.75
1964-04-01,-0.18,-0.44,4.4,0.81,4.24
1964-07-01,1.58,0.21,6.4,0.13,4.48
1964-10-01,0.59,-0.03,1.2,-0.03,0.70
1965-01-01,6.38,-1.79,10.0,-0.02,5.47
1965-04-01,0.17,1.23,5.1,1.07,2.68
1965-07-01,2.53,-0.52,9.2,2.99,4.20
1965-10-01,0.61,0.41,9.5,1.74,6.78
1966-01-01,5.72,-0.95,10.1,1.74,3.59
1966-04-01,-1.06,0.16,1.4,1.67,0.60
1966-07-01,-0.51,-1.23,3.4,2.47,2.70
1966-10-01,0.42,0.31,3.3,1.60,0.99
1967-01-01,-1.72,-0.01,3.6,3.95,1.37
1967-04-01,-2.46,-0.11,0.2,-0.40,3.21
1967-07-01,1.91,-0.39,3.8,1.09,1.23
1967-10-01,1.42,-0.58,3.0,0.75,1.46
1968-01-01,1.44,-0.54,8.4,1.81,5.71
1968-04-01,2.62,0.05,6.9,0.55,3.64
1968-07-01,-1.85,0.25,3.1,0.31,4.42
1968-10-01,0.71,-0.30,1.6,0.10,1.07
1969-01-01,3.98,-0.47,6.4,0.25,2.65
1969-04-01,-0.40,0.40,1.2,-0.29,1.52
1969-07-01,1.42,-0.09,2.7,0.19,1.15
1969-10-01,-3.31,0.77,-1.9,-1.28,1.88
1970-01-01,-1.94,0.35,-0.6,-0.48,1.47
1970-04-01,0.14,0.44,0.6,-1.11,1.10
1970-07-01,1.05,0.14,3.7,0.40,2.14
1970-10-01,-3.42,-0.27,-4.2,0.06,-0.59
1971-01-01,7.31,0.50,11.3,-1.31,4.81
1971-04-01,1.85,-1.71,2.2,-0.21,2.25
1971-07-01,0.84,0.61,3.3,-0.05,1.94
1971-10-01,-1.82,-0.55,0.9,-0.66,3.97
1972-01-01,4.54,-0.71,7.6,0.52,3.21
1972-04-01,4.15,0.22,9.4,0.41,4.61
1972-07-01,1.09,0.79,3.8,-1.72,3.67
1972-10-01,0.57,-0.11,6.9,0.77,5.64
1973-01-01,4.39,0.58,10.3,0.84,4.46
1973-04-01,3.24,1.90,4.4,-0.59,-0.11
1973-07-01,-2.67,0.75,-2.1,-1.00,0.83
1973-10-01,2.80,1.12,3.8,0.63,-0.70
