DATE,cpi
1913-01-01,5.82
1913-02-01,5.82
1913-03-01,5.82
1913-04-01,5.82
1913-05-01,5.76
1913-06-01,5.82
1913-07-01,5.88
1913-08-01,5.88
1913-09-01,5.94
1913-10-01,5.94
1913-11-01,6
1913-12-01,5.94
1914-01-01,5.94
1914-02-01,5.88
1914-03-01,5.88
1914-04-01,5.82
1914-05-01,5.88
1914-06-01,5.88
1914-07-01,5.94
1914-08-01,6.06
1914-09-01,6.06
1914-10-01,6
1914-11-01,6.06
1914-12-01,6
1915-01-01,6
1915-02-01,5.94
1915-03-01,5.88
1915-04-01,5.94
1915-05-01,6
1915-06-01,6
1915-07-01,6
1915-08-01,6
1915-09-01,6
1915-10-01,6.06
1915-11-01,6.12
1915-12-01,6.12
1916-01-01,6.18
1916-02-01,6.18
1916-03-01,6.24
1916-04-01,6.3
1916-05-01,6.36
1916-06-01,6.42
1916-07-01,6.42
1916-08-01,6.48
1916-09-01,6.6
1916-10-01,6.71
1916-11-01,6.83
1916-12-01,6.89
1917-01-01,6.95
1917-02-01,7.13
1917-03-01,7.13
1917-04-01,7.49
1917-05-01,7.61
1917-06-01,7.72
1917-07-01,7.61
1917-08-01,7.72
1917-09-01,7.9
1917-10-01,8.02
1917-11-01,8.02
1917-12-01,8.14
1918-01-01,8.32
1918-02-01,8.38
1918-03-01,8.32
1918-04-01,8.44
1918-05-01,8.62
1918-06-01,8.73
1918-07-01,8.97
1918-08-01,9.15
1918-09-01,9.33
1918-10-01,9.51
1918-11-01,9.69
1918-12-01,9.8
1919-01-01,9.8
1919-02-01,9.63
1919-03-01,9.74
1919-04-01,9.92
1919-05-01,10.04
1919-06-01,10.04
1919-07-01,10.34
1919-08-01,10.52
1919-09-01,10.58
1919-10-01,10.75
1919-11-01,10.99
1919-12-01,11.23
1920-01-01,11.47
1920-02-01,11.59
1920-03-01,11.71
1920-04-01,12.06
1920-05-01,12.24
1920-06-01,12.42
1920-07-01,12.36
1920-08-01,12.06
1920-09-01,11.88
1920-10-01,11.82
1920-11-01,11.76
1920-12-01,11.53
1921-01-01,11.29
1921-02-01,10.93
1921-03-01,10.87
1921-04-01,10.75
1921-05-01,10.52
1921-06-01,10.46
1921-07-01,10.52
1921-08-01,10.52
1921-09-01,10.4
1921-10-01,10.4
1921-11-01,10.34
1921-12-01,10.28
1922-01-01,10.04
1922-02-01,10.04
1922-03-01,9.92
1922-04-01,9.92
1922-05-01,9.92
1922-06-01,9.92
1922-07-01,9.98
1922-08-01,9.86
1922-09-01,9.86
1922-10-01,9.92
1922-11-01,9.98
1922-12-01,10.04
1923-01-01,9.98
1923-02-01,9.98
1923-03-01,9.98
1923-04-01,10.04
1923-05-01,10.04
1923-06-01,10.1
1923-07-01,10.22
1923-08-01,10.16
1923-09-01,10.22
1923-10-01,10.28
1923-11-01,10.28
1923-12-01,10.28
1924-01-01,10.28
1924-02-01,10.22
