DATE,A445RC1Q027SBEA,W273RC1Q027SBEA,PNFI,A027RC1Q027SBEA,CP before tax to NNP,CP after tax to NNP,Investment to NNP,tax_NNP
1964-01-01,72.5,44.6,69.1,595.6,12.17,7.49,11.6,4.68
1964-04-01,72.9,44.9,71.1,603.9,12.07,7.44,11.77,4.63
1964-07-01,74.0,45.4,73.4,614.9,12.03,7.38,11.94,4.65
1964-10-01,73.6,45.4,75.3,618.9,11.89,7.34,12.17,4.55
1965-01-01,81.1,51.5,80.2,639.1,12.69,8.06,12.55,4.63
1965-04-01,83.1,52.6,83.4,650.9,12.77,8.08,12.81,4.69
1965-07-01,84.6,53.6,86.7,666.7,12.69,8.04,13.0,4.65
1965-10-01,89.5,56.4,90.6,687.4,13.02,8.2,13.18,4.82
1966-01-01,93.0,58.9,94.4,710.0,13.1,8.3,13.3,4.8
1966-04-01,91.9,57.7,96.8,717.9,12.8,8.04,13.48,4.76
1966-07-01,90.3,56.4,98.3,729.5,12.38,7.73,13.47,4.65
1966-10-01,91.2,57.9,99.2,741.8,12.29,7.81,13.37,4.48
1967-01-01,88.7,56.2,98.0,751.0,11.81,7.48,13.05,4.33
1967-04-01,87.7,55.5,98.3,753.8,11.63,7.36,13.04,4.27
1967-07-01,88.2,55.7,98.8,767.7,11.49,7.26,12.87,4.23
1967-10-01,91.8,57.4,101.7,781.9,11.74,7.34,13.01,4.4
1968-01-01,92.9,54.2,105.6,807.5,11.5,6.71,13.08,4.79
1968-04-01,96.6,57.1,105.3,830.4,11.63,6.88,12.68,4.75
1968-07-01,96.9,57.3,107.6,844.1,11.48,6.79,12.75,4.69
1968-10-01,98.0,57.4,112.2,859.0,11.41,6.68,13.06,4.73
1969-01-01,97.2,55.8,116.0,881.3,11.03,6.33,13.16,4.7
1969-04-01,93.9,53.5,118.4,894.1,10.5,5.98,13.24,4.52
1969-07-01,90.7,51.5,122.4,911.7,9.95,5.65,13.43,4.3
1969-10-01,85.5,46.6,123.3,917.5,9.32,5.08,13.44,4.24
1970-01-01,77.5,43.0,123.8,927.6,8.35,4.64,13.35,3.71
1970-04-01,81.1,46.4,125.0,941.5,8.61,4.93,13.28,3.68
1970-07-01,81.1,45.4,126.3,956.8,8.48,4.74,13.2,3.74
1970-10-01,76.9,42.7,123.5,956.1,8.04,4.47,12.92,3.57
1971-01-01,89.1,51.3,126.3,1000.7,8.9,5.13,12.62,3.77
1971-04-01,90.8,52.2,129.5,1019.8,8.9,5.12,12.7,3.78
1971-07-01,93.7,55.8,131.2,1037.3,9.03,5.38,12.65,3.65
1971-10-01,97.6,59.2,134.7,1048.3,9.31,5.65,12.85,3.66
1972-01-01,102.7,62.3,140.6,1085.9,9.46,5.74,12.95,3.72
1972-04-01,104.3,63.7,144.0,1119.2,9.32,5.69,12.87,3.63
1972-07-01,108.2,66.3,147.0,1140.4,9.49,5.81,12.89,3.68
1972-10-01,115.5,69.1,155.0,1175.0,9.83,5.88,13.19,3.95
1973-01-01,121.0,71.3,162.8,1221.1,9.91,5.84,13.33,4.07
1973-04-01,117.2,67.0,171.3,1254.1,9.35,5.34,13.66,4.01
1973-07-01,116.6,68.0,176.6,1270.3,9.18,5.35,13.9,3.83
1973-10-01,119.1,67.8,180.1,1306.8,9.11,5.19,13.78,3.92
1974-01-01,111.1,61.3,183.4,1318.1,8.43,4.65,13.91,3.78
1974-04-01,110.8,58.6,188.8,1349.0,8.21,4.34,14.0,3.87
1974-07-01,107.3,49.9,194.5,1368.3,7.84,3.65,14.21,4.19
1974-10-01,103.8,51.9,197.6,1397.3,7.43,3.71,14.14,3.72
1975-01-01,103.9,60.1,193.1,1403.3,7.4,4.28,13.76,3.12
1975-04-01,115.6,68.8,193.3,1433.1,8.07,4.8,13.49,3.27
1975-07-01,135.4,78.2,197.8,1485.7,9.11,5.26,13.31,3.85
1975-10-01,142.0,83.2,202.9,1535.4,9.25,5.42,13.21,3.83
1976-01-01,159.1,92.5,209.5,1589.5,10.01,5.82,13.18,4.19
1976-04-01,156.6,91.4,215.0,1617.8,9.68,5.65,13.29,4.03
1976-07-01,158.4,93.5,222.6,1645.9,9.62,5.68,13.52,3.94
1976-10-01,157.1,92.7,230.2,1687.7,9.31,5.49,13.64,3.82
1977-01-01,165.0,96.2,243.3,1737.1,9.5,5.54,14.01,3.96
1977-04-01,185.7,111.3,253.7,1796.8,10.34,6.19,14.12,4.15
1977-07-01,199.9,123.1,263.3,1851.1,10.8,6.65,14.22,4.15
1977-10-01,196.1,118.3,275.9,1886.6,10.39,6.27,14.62,4.12
1978-01-01,187.5,115.0,282.4,1920.9,9.76,5.99,14.7,3.77
1978-04-01,220.0,133.4,309.3,2035.6,10.81,6.55,15.19,4.26
1978-07-01,223.8,136.3,325.1,2089.8,10.71,6.52,15.56,4.19
