A,mark,max,min,neg
Germany,0.25,1.8899999999999999,0,-0.14999999999999999
Netherlands,0.503,2.2949999999999999,0.027,0
Austria,0.55469999999999997,2.2363999999999997,0.10680000000000001,0
Belgium,0.62,2.6000000000000001,0.14999999999999999,0
France,0.66000000000000003,2.3400000000000003,0.14999999999999999,0
Ireland,0.69999999999999996,5.7199999999999998,0.40000000000000002,0
Spain,1.4530000000000001,5.7859999999999996,1.008,0
Italy,2.0529999999999999,4.8200000000000003,1.1759999999999999,0
Portugal,2.968,8.75,1.742,0
Greece,5.7599999999999998,20.060000000000002,5.7599999999999998,0
