date,EPOP
1994-03-31,78.9
1994-06-30,79
1994-09-30,79.3
1994-12-31,79.7333333333
1995-03-31,79.8666666667
1995-06-30,79.6666666667
1995-09-30,79.7
1995-12-31,79.7333333333
1996-03-31,79.8666666667
1996-06-30,80
1996-09-30,80.4333333333
1996-12-31,80.5333333333
1997-03-31,80.5
1997-06-30,80.7333333333
1997-09-30,81.1666666667
1997-12-31,81.0333333333
1998-03-31,81
1998-06-30,81.0333333333
1998-09-30,81.2
1998-12-31,81.2
1999-03-31,81.5333333333
1999-06-30,81.3666666667
1999-09-30,81.2666666667
1999-12-31,81.5333333333
2000-03-31,81.7666666667
2000-06-30,81.6333333333
2000-09-30,81.1666666667
2000-12-31,81.2666666667
2001-03-31,81.3333333333
2001-06-30,80.7666666667
2001-09-30,80.3
2001-12-31,79.8
2002-03-31,79.6666666667
2002-06-30,79.3666666667
2002-09-30,79.2666666667
2002-12-31,79
2003-03-31,78.9333333333
2003-06-30,78.9666666667
2003-09-30,78.7
2003-12-31,78.7
2004-03-31,78.8
2004-06-30,79
2004-09-30,79.0666666667
2004-12-31,79
2005-03-31,79.2
2005-06-30,79.3666666667
2005-09-30,79.4666666667
2005-12-31,79.2666666667
2006-03-31,79.7
2006-06-30,79.7
2006-09-30,79.8333333333
2006-12-31,80.0666666667
2007-03-31,80.2
2007-06-30,79.9666666667
2007-09-30,79.7666666667
2007-12-31,79.6666666667
2008-03-31,79.9
2008-06-30,79.5
2008-09-30,78.9333333333
2008-12-31,78.0333333333
2009-03-31,76.6333333333
2009-06-30,76
2009-09-30,75.5
2009-12-31,75
2010-03-31,75.1
2010-06-30,75.2333333333
2010-09-30,75.0666666667
2010-12-31,74.9333333333
2011-03-31,75.2
2011-06-30,75.1
2011-09-30,75
2011-12-31,75.2
2012-03-31,75.5666666667
2012-06-30,75.6666666667
2012-09-30,75.7666666667
2012-12-31,75.9666666667
2013-03-31,75.7333333333
2013-06-30,75.9333333333
2013-09-30,75.9666666667
2013-12-31,75.9666666667
2014-03-31,76.4666666667
2014-06-30,76.5666666667
2014-09-30,76.7666666667
2014-12-31,77.0333333333
2015-03-31,77.1666666667
2015-06-30,77.2
2015-09-30,77.2
2015-12-31,77.4333333333
2016-03-31,77.8333333333
2016-06-30,77.7666666667
2016-09-30,77.9333333333
2016-12-31,78.2
2017-03-31,78.3333333333
2017-06-30,78.5
