date,"(Unadj) Employment-Population Ratio - 55-64 yrs., White Men","(Unadj) Employment-Population Ratio - 35-44 yrs., White Men","(Unadj) Employment-Population Ratio - 25-34 yrs., White Men","(Unadj) Employment-Population Ratio - 65 yrs. & over, White Men","(Unadj) Employment-Population Ratio - 35-44 yrs., White Women","(Unadj) Employment-Population Ratio - 45-54 yrs., White Women",(Unadj) Employment-Population Ratio - 45-54 yrs. Hispanic or Latino Women,(Unadj) Employment-Population Ratio - 35-44 yrs. Hispanic or Latino Women,(Unadj) Employment-Population Ratio - 25-34 yrs. Hispanic or Latino Women,"(Unadj) Employment-Population Ratio - 55-64 yrs., White Women",(Unadj) Employment-Population Ratio - 55-64 yrs. Hispanic or Latino Women,(Unadj) Employment-Population Ratio - 25-34 yrs. Hispanic or Latino Men,"(Unadj) Employment-Population Ratio - 20-24 yrs. Hispanic or Latino, Hispanic or Latino Women","(Unadj) Employment-Population Ratio - 20-24 yrs. Hispanic or Latino, Hispanic or Latino Men","(Unadj) Employment-Population Ratio - 20-24 yrs., Black or African American Women","(Unadj) Employment-Population Ratio - 20-24 yrs., Black or African American Men","(Unadj) Employment-Population Ratio - 20-24 yrs., White Women","(Unadj) Employment-Population Ratio - 20-24 yrs., White Men","(Unadj) Employment-Population Ratio - 45-54 yrs., White Men","(Unadj) Employment-Population Ratio - 25-34 yrs., White Women","(Unadj) Employment-Population Ratio - 65 yrs. & over, Hispanic or Latino Women","(Unadj) Employment-Population Ratio - 65 yrs. & over, Hispanic or Latino Men",(Unadj) Employment-Population Ratio - 55-64 yrs. Hispanic or Latino Men,(Unadj) Employment-Population Ratio - 45-54 yrs. Hispanic or Latino Men,(Unadj) Employment-Population Ratio - 35-44 yrs. Hispanic or Latino Men,"(Unadj) Employment-population ratio - 25 to 34 years, Asian, men","(Unadj) Employment-Population Ratio - 45-54 yrs., Black or African American Men","(Unadj) Employment-Population Ratio - 65 yrs. & over, Black or African American Men","(Unadj) Employment-population ratio - 35 to 44 years, Asian, women","(Unadj) Employment-Population Ratio - 65 yrs. & over, Black or African American Women","(Unadj) Employment-Population Ratio - 45-54 yrs., Black or African American Women","(Unadj) Employment-Population Ratio - 55-64 yrs., Black or African American Women","(Unadj) Employment-population ratio - 55 to 64 years, Asian, men","(Unadj) Employment-population ratio - 65 years and over, Asian, men","(Unadj) Employment-population ratio - 35 to 44 years, Asian, men","(Unadj) Employment-population ratio - 45 to 54 years, Asian, men","(Unadj) Employment-population ratio - 25 to 34 years, Asian, women","(Unadj) Employment-Population Ratio - 35-44 yrs., Black or African American Men","(Unadj) Employment-population ratio - 45 to 54 years, Asian, women","(Unadj) Employment-population ratio - 55 to 64 years, Asian, women","(Unadj) Employment-Population Ratio - 55-64 yrs., Black or African American Men","(Unadj) Employment-population ratio - 65 years and over, Asian, women","(Unadj) Employment-Population Ratio - 25-34 yrs., Black or African American Men","(Unadj) Employment-population ratio - 20 to 24 years, Asian, men","(Unadj) Employment-population ratio - 20 to 24 years, Asian, women","(Unadj) Employment-Population Ratio - 65 yrs. & over, White Women","(Unadj) Employment-Population Ratio - 25-34 yrs., Black or African American Women","(Unadj) Employment-Population Ratio - 35-44 yrs., Black or African American Women"
1993-01-01,62.9,88.5,87.1,15.3,72.9,69.6,,,,44.5,,,,,47.4,53.5,65.8,73.8,85.7,70.0,,,,,,,72.6,9.6,,7.0,65.3,41.8,,,,,,75.1,,,54.4,,74.3,,,7.3,59.7,68.0
1993-02-01,64.8,88.4,86.7,15.1,73.4,70.3,,,,45.4,,,,,48.5,53.2,65.2,74.1,85.6,69.5,,,,,,,74.6,10.9,,8.6,65.6,42.9,,,,,,75.1,,,56.0,,75.5,,,7.4,62.3,68.2
1993-03-01,65.1,88.9,87.4,15.0,73.2,70.9,,,,45.9,,,,,49.0,52.0,66.5,75.5,85.3,69.8,,,,,,,72.7,9.9,,8.7,66.2,41.0,,,,,,75.6,,,52.1,,76.3,,,7.6,61.6,70.1
1993-04-01,65.5,89.7,88.7,14.8,73.0,70.4,,,,45.9,,,,,49.8,53.2,66.7,75.0,85.9,69.7,,,,,,,73.2,10.1,,7.6,65.9,41.0,,,,,,75.3,,,53.7,,75.1,,,7.7,60.9,70.7
1993-05-01,65.2,90.5,89.3,15.6,73.5,71.1,,,,46.2,,,,,47.7,54.3,67.2,76.1,86.9,70.0,,,,,,,74.6,12.7,,8.2,66.5,41.5,,,,,,78.0,,,53.2,,75.4,,,7.7,62.1,70.3
1993-06-01,65.3,90.5,89.4,15.7,73.0,70.2,,,,45.9,,,,,51.7,57.4,70.2,80.9,87.2,69.8,,,,,,,74.0,10.6,,8.1,65.6,43.9,,,,,,77.8,,,53.7,,75.6,,,7.9,60.3,69.9
1993-07-01,63.3,90.3,89.4,15.7,72.8,69.3,,,,44.5,,,,,50.3,61.8,71.0,82.8,87.2,69.9,,,,,,,73.0,10.4,,8.2,65.3,41.2,,,,,,79.9,,,52.8,,76.6,,,7.9,60.1,69.8
1993-08-01,63.6,90.4,89.5,15.5,72.5,69.9,,,,45.3,,,,,50.1,60.6,69.3,81.8,87.7,69.7,,,,,,,73.4,10.9,,8.7,66.0,41.9,,,,,,80.8,,,53.2,,76.5,,,8.0,60.5,70.7
1993-09-01,63.3,90.5,89.6,15.9,73.2,70.9,,,,45.9,,,,,47.6,61.4,67.1,76.7,88.2,70.0,,,,,,,73.5,11.1,,7.9,67.3,42.5,,,,,,77.8,,,51.3,,77.6,,,8.0,61.5,72.7
1993-10-01,64.1,90.3,89.6,16.0,73.7,71.7,,,,46.0,,,,,50.5,61.7,67.2,77.5,88.4,70.5,,,,,,,74.4,11.4,,7.7,70.7,41.9,,,,,,77.0,,,51.4,,79.0,,,8.4,63.5,70.7
1993-11-01,63.5,90.3,89.3,15.4,73.9,72.6,,,,46.8,,,,,51.3,55.8,67.2,77.1,88.5,70.4,,,,,,,72.9,11.5,,7.4,71.0,43.3,,,,,,76.3,,,50.0,,79.8,,,8.5,63.9,70.3
1993-12-01,63.7,89.4,89.3,15.3,74.0,72.5,,,,47.1,,,,,50.9,59.9,68.3,76.1,88.0,70.6,,,,,,,73.4,11.6,,7.3,69.4,42.1,,,,,,76.4,,,50.1,,77.6,,,8.3,64.6,71.4
1994-01-01,63.4,88.7,87.2,16.5,73.5,72.3,,,,46.5,,,,,47.7,48.8,65.8,72.3,86.8,69.9,,,,,,,72.6,11.6,,8.3,67.5,42.5,,,,,,74.4,,,51.3,,74.2,,,9.1,61.8,68.6
1994-02-01,62.9,88.9,87.1,16.1,74.5,72.9,,,,46.9,,,,,49.7,56.1,66.7,74.2,85.8,70.5,,,,,,,73.2,9.8,,9.5,66.0,43.9,,,,,,75.5,,,49.4,,75.1,,,9.0,62.4,68.8
1994-03-01,62.3,89.2,88.0,16.1,74.1,72.4,,,,47.1,,,,,51.8,58.4,66.9,74.1,86.6,70.7,,,,,,,75.3,12.8,,9.6,67.8,43.7,,,,,,76.2,,,51.3,,74.7,,,8.7,61.6,70.2
1994-04-01,62.4,90.1,88.3,16.5,74.3,72.2,,,,47.8,,,,,51.6,58.5,66.5,76.2,86.5,71.0,,,,,,,74.2,13.5,,9.1,67.4,44.9,,,,,,78.8,,,50.1,,75.5,,,8.5,62.3,70.5
1994-05-01,62.8,90.9,88.9,16.8,75.0,72.2,,,,48.7,,,,,52.4,58.2,66.9,78.0,87.1,71.3,,,,,,,74.9,14.9,,9.5,67.1,44.5,,,,,,80.0,,,53.3,,76.9,,,9.0,62.9,68.9
1994-06-01,63.2,90.7,89.2,16.6,73.2,70.7,,,,47.2,,,,,54.7,59.2,71.1,82.4,86.7,70.3,,,,,,,74.9,12.5,,11.1,66.0,44.2,,,,,,79.2,,,50.3,,76.4,,,8.8,64.1,69.5
1994-07-01,63.4,90.8,89.2,16.3,73.4,70.9,,,,46.2,,,,,56.0,63.4,70.8,82.8,86.8,70.7,,,,,,,74.5,9.9,,10.2,66.9,42.3,,,,,,79.2,,,48.1,,75.7,,,8.5,64.0,68.9
1994-08-01,63.7,90.5,89.4,16.8,72.9,71.6,,,,46.9,,,,,52.6,59.8,69.9,82.9,86.9,70.9,,,,,,,75.4,9.2,,9.0,69.5,39.3,,,,,,76.4,,,49.1,,78.6,,,8.7,65.4,69.2
1994-09-01,64.3,90.8,90.1,16.9,74.9,73.4,,,,47.9,,,,,50.5,58.4,66.9,78.6,87.4,71.6,,,,,,,73.0,11.0,,8.3,69.0,41.1,,,,,,80.3,,,52.8,,78.3,,,9.1,65.4,71.3
1994-10-01,64.8,90.9,90.1,16.7,75.5,73.1,,,,48.4,,,,,52.2,63.7,68.0,79.2,87.7,72.3,,,,,,,73.3,11.8,,7.8,69.3,42.9,,,,,,79.5,,,54.3,,79.8,,,8.9,64.0,73.0
1994-11-01,65.6,90.7,90.7,16.8,75.2,74.1,56.1,62.2,55.7,48.5,37.6,87.7,48.4,78.8,49.5,65.1,68.3,77.6,87.4,72.2,7.5,12.4,61.0,81.1,86.8,,73.4,10.7,,7.3,69.0,42.4,,,,,,77.5,,,49.5,,80.0,,,9.4,63.5,74.0
1994-12-01,65.5,90.6,89.8,16.6,75.3,73.6,56.1,62.7,54.5,48.3,35.9,83.8,49.9,76.8,53.6,64.0,68.0,78.1,87.6,71.7,6.5,14.2,60.2,80.0,86.6,,73.2,12.2,,6.3,68.1,44.4,,,,,,79.6,,,54.8,,80.3,,,8.7,64.8,71.5
1995-01-01,64.1,89.3,88.6,16.4,74.4,72.9,52.3,59.0,52.4,47.4,34.8,83.4,48.7,73.8,53.8,59.3,66.7,75.1,86.8,70.9,5.8,17.7,56.3,78.9,83.1,,70.6,14.5,,7.3,67.6,45.2,,,,,,76.8,,,55.5,,77.2,,,8.3,63.2,71.6
1995-02-01,64.1,89.7,88.6,16.2,74.5,73.7,56.8,59.4,54.3,48.3,34.3,82.7,46.6,76.4,52.4,62.3,65.9,76.5,86.7,72.0,5.2,12.2,56.1,79.5,86.0,,72.9,14.6,,7.8,67.2,46.9,,,,,,78.3,,,52.7,,79.6,,,8.2,65.1,70.6
1995-03-01,64.2,89.9,89.4,16.5,74.5,73.6,59.6,58.7,54.2,47.6,34.5,85.7,50.3,75.7,50.6,65.1,66.6,76.2,86.8,71.9,4.3,12.1,56.6,80.7,84.6,,75.3,15.0,,8.5,68.1,47.5,,,,,,77.7,,,53.5,,80.6,,,8.4,65.0,70.6
1995-04-01,64.3,89.7,89.8,16.5,74.7,73.2,56.8,61.0,53.2,47.7,35.4,85.3,50.3,76.8,50.8,63.7,67.5,77.3,87.0,72.2,6.5,11.3,55.0,82.1,86.2,,75.4,16.3,,8.7,68.4,47.7,,,,,,77.6,,,53.9,,79.1,,,8.4,64.1,72.1
1995-05-01,64.1,90.1,89.7,16.0,75.3,73.1,55.6,61.2,53.1,47.0,32.3,87.0,49.6,77.8,52.2,59.8,66.4,78.4,87.6,71.5,7.0,10.9,55.9,83.8,85.8,,76.1,14.1,,8.3,68.4,46.8,,,,,,77.6,,,53.7,,81.1,,,8.8,67.0,70.2
1995-06-01,64.1,90.5,90.5,16.2,73.6,71.9,54.6,59.6,56.0,46.7,31.8,86.5,49.2,78.3,55.5,63.8,68.9,82.6,87.3,71.3,4.4,14.2,57.9,82.4,87.9,,75.2,14.2,,7.4,65.3,44.2,,,,,,77.1,,,50.5,,79.5,,,8.4,64.5,71.5
1995-07-01,65.1,90.1,90.1,15.5,73.8,71.7,53.8,60.9,55.9,46.9,34.1,86.4,50.1,78.8,53.6,60.1,69.8,84.0,87.6,72.2,5.8,17.4,59.1,82.1,86.9,,75.2,12.8,,7.1,64.9,42.7,,,,,,76.2,,,49.2,,80.1,,,8.8,65.8,69.1
1995-08-01,64.7,90.1,90.4,15.3,73.0,72.0,54.9,60.8,56.9,47.4,33.8,86.6,49.6,78.8,51.8,58.5,68.0,82.0,87.2,72.2,6.1,13.1,60.1,79.5,82.8,,74.7,12.0,,6.7,67.6,42.9,,,,,,76.8,,,48.3,,80.4,,,8.9,65.0,70.6
1995-09-01,65.7,90.3,90.3,16.5,75.3,73.0,55.9,62.1,58.1,49.2,40.3,86.5,48.1,80.5,47.6,58.5,64.6,77.5,87.6,72.6,7.9,13.0,58.7,81.5,84.2,,75.8,11.5,,6.2,67.0,42.3,,,,,,79.0,,,48.7,,79.5,,,9.3,66.7,71.5
1995-10-01,66.5,90.3,90.8,16.9,75.4,73.3,57.3,62.4,58.4,49.1,35.8,88.1,46.7,78.9,53.1,60.1,65.7,77.4,87.3,73.0,7.7,15.0,57.7,78.7,85.6,,75.8,12.7,,5.9,68.4,46.6,,,,,,80.0,,,54.1,,79.9,,,9.1,68.2,73.0
1995-11-01,65.9,89.6,90.0,16.7,75.0,73.5,59.4,62.0,58.8,48.6,35.5,87.0,47.4,74.8,53.3,63.9,66.7,76.5,86.9,73.6,7.2,14.6,58.2,76.2,85.4,,72.4,12.5,,7.2,68.9,47.0,,,,,,78.7,,,51.7,,78.2,,,8.8,69.4,76.3
1995-12-01,65.2,89.2,89.6,16.4,74.9,73.4,58.3,61.2,57.2,47.6,33.5,86.6,47.4,73.8,53.9,62.5,66.6,77.0,87.4,72.8,5.3,13.9,57.9,80.9,84.1,,71.4,14.7,,6.9,67.8,45.7,,,,,,77.2,,,52.0,,76.9,,,8.5,69.2,75.3
1996-01-01,64.4,88.9,88.8,16.0,74.0,72.8,58.1,60.5,55.8,48.2,37.1,84.4,44.5,73.2,49.0,59.0,64.2,73.7,86.3,71.5,3.0,14.6,57.4,81.9,84.3,,69.0,12.2,,8.0,68.1,46.3,,,,,,77.1,,,53.0,,76.2,,,7.8,67.0,73.0
1996-02-01,65.1,89.3,89.1,16.2,74.4,73.5,57.2,60.3,55.5,48.6,34.7,84.0,48.6,74.2,50.8,57.2,66.3,74.4,86.4,71.9,4.4,12.5,59.7,81.9,83.9,,70.2,10.5,,7.6,69.4,43.1,,,,,,77.7,,,51.0,,77.2,,,8.6,65.9,72.5
1996-03-01,65.4,89.4,89.2,16.7,74.5,73.9,59.8,59.1,56.5,48.4,36.2,84.1,48.8,75.5,53.4,58.8,67.7,75.7,87.0,72.4,3.9,12.7,60.4,81.6,83.4,,69.9,12.1,,7.8,68.1,44.6,,,,,,78.3,,,52.8,,76.9,,,8.4,66.5,72.7
1996-04-01,66.4,89.6,90.0,16.2,74.8,73.4,57.2,60.1,55.6,47.6,34.0,85.2,51.9,74.6,55.2,58.5,68.2,75.6,87.4,71.9,4.9,12.2,61.4,80.6,83.7,,74.3,11.1,,8.0,69.2,40.7,,,,,,78.1,,,51.9,,75.6,,,8.5,66.5,73.3
1996-05-01,66.8,90.6,90.5,16.7,75.2,73.8,57.0,62.5,54.4,47.6,29.8,86.3,52.7,76.7,54.6,62.1,67.2,77.2,87.7,71.3,4.4,14.6,61.0,81.4,85.4,,75.0,12.7,,7.2,69.8,40.6,,,,,,76.3,,,51.3,,78.9,,,8.6,67.7,73.8
1996-06-01,67.1,90.7,90.6,16.6,74.5,73.4,53.6,59.9,55.8,46.9,30.9,87.9,52.0,77.1,55.7,62.0,69.3,81.7,88.3,71.1,6.7,15.5,62.8,83.2,86.3,,76.5,13.2,,6.9,69.3,45.0,,,,,,75.5,,,51.1,,78.2,,,8.4,67.1,71.6
1996-07-01,65.7,90.6,90.9,16.4,74.1,72.6,56.5,60.4,55.9,47.6,34.9,88.1,50.4,79.2,53.8,61.4,69.0,83.8,88.4,71.5,6.2,14.4,61.6,83.4,86.9,,77.4,13.1,,5.6,70.0,45.3,,,,,,77.2,,,53.2,,78.0,,,8.4,67.6,72.3
1996-08-01,66.1,90.9,91.3,16.2,73.9,73.4,60.0,60.4,56.9,48.1,36.5,88.6,49.1,80.2,53.0,62.5,68.4,81.6,88.2,71.3,8.2,17.0,62.7,83.6,86.8,,76.2,12.4,,5.9,71.2,47.4,,,,,,78.1,,,52.8,,81.9,,,8.3,65.8,72.6
1996-09-01,65.7,91.0,91.2,16.7,75.4,74.1,58.6,62.1,57.2,49.8,42.5,89.0,51.5,75.0,51.4,57.7,67.5,78.1,87.8,72.6,8.7,18.1,63.4,81.0,86.6,,74.8,12.4,,6.5,69.2,46.3,,,,,,78.2,,,53.3,,78.6,,,8.4,68.0,72.8
1996-10-01,66.7,91.4,91.2,17.2,75.8,74.6,61.1,61.5,58.8,49.5,40.3,89.3,50.7,78.7,53.7,56.9,68.5,79.8,87.9,73.1,9.1,16.9,63.9,84.0,89.1,,74.4,12.4,,6.9,69.2,48.3,,,,,,79.2,,,53.3,,82.0,,,8.4,69.1,73.9
1996-11-01,65.8,90.8,91.2,17.4,76.0,74.6,60.1,63.8,59.5,49.7,43.4,89.1,55.5,78.5,53.2,57.7,69.4,77.6,87.4,73.2,9.1,18.5,59.4,84.0,86.8,,73.4,12.7,,8.9,69.1,48.7,,,,,,79.7,,,54.6,,80.0,,,8.3,68.6,73.3
