date,"(Unadj) Employment-Population Ratio - 25-54 yrs., Men","(Unadj) Employment-Population Ratio - 25-54 yrs., Women","(Unadj) Employment-Population Ratio - 65 yrs. & over, Men","(Unadj) Employment-Population Ratio - 65 yrs. & over, Women","(Unadj) Employment-Population Ratio - 25-34 yrs., Men","(Unadj) Employment-Population Ratio - 55-64 yrs., Women","(Unadj) Employment-Population Ratio - 35-44 yrs., Men","(Unadj) Employment-Population Ratio - 20-24 yrs., Men","(Unadj) Employment-Population Ratio - 45-54 yrs., Men","(Unadj) Employment-Population Ratio - 20-24 yrs., Women","(Unadj) Employment-Population Ratio - 16-19 yrs., Men","(Unadj) Employment-Population Ratio - 16-19 yrs., Women","(Unadj) Employment-Population Ratio - 25-34 yrs., Women","(Unadj) Employment-Population Ratio - 45-54 yrs., Women","(Unadj) Employment-Population Ratio - 35-44 yrs., Women","(Unadj) Employment-Population Ratio - 55-64 yrs., Men"
1/1/1993,87.01666667,70.36666667,15.075,7.908333333,86.91666667,45.29166667,88.15833333,73.85833333,85.525,64.025,42.3,40.975,68.41666667,70.15,72.49166667,63.09166667
1/1/1994,87.24166667,71.5,16.16666667,8.791666667,87.15,46.99166667,88.59166667,74.64166667,85.51666667,64.51666667,43.8,42.975,69.44166667,71.61666667,73.43333333,62.60833333
1/1/1995,87.60833333,72.19166667,16.05833333,8.508333333,88.2,47.45833333,88.33333333,75.43333333,85.75,63.99166667,44.68333333,43.75833333,70.7,72,73.775,63.63333333
1/1/1996,87.925,72.75833333,16.28333333,8.241666667,88.64166667,47.925,88.65833333,74.675,86,64.89166667,43.55,43.475,71.05,72.925,74.24166667,64.725
1/1/1997,88.41666667,73.54166667,16.54166667,8.275,89.03333333,49.55,89.18333333,75.225,86.65833333,66.75,43.40833333,43.3,72.06666667,73.84166667,74.64166667,65.5
1/1/1998,88.83333333,73.63333333,15.94166667,8.35,89.54166667,49.975,89.83333333,75.4,86.7,67.33333333,44.65,45.5,72.65,74.1,74.175,66.225
1/1/1999,88.98333333,74.15,16.425,8.658333333,89.91666667,50.10833333,90.16666667,75.61666667,86.48333333,67.94166667,45.10833333,44.28333333,73.01666667,74.74166667,74.64166667,66.08333333
1/1/2000,88.99166667,74.2,17.13333333,9.141666667,90.24166667,50.58333333,90.09166667,76.61666667,86.41666667,67.9,45.4,45,73,74.90833333,74.66666667,65.66666667
1/1/2001,87.93333333,73.425,17.225,9.308333333,88.76666667,51.75,89.175,74.21666667,85.66666667,67.26666667,42.21666667,42.425,71.70833333,74.14166667,74.24166667,65.98333333
1/1/2002,86.60833333,72.26666667,17.25,9.466666667,87.06666667,53.25,87.975,72.49166667,84.71666667,65.55833333,38.91666667,40.3,70.65833333,73.09166667,72.88333333,66.26666667
1/1/2003,85.875,72.01666667,17.825,10.25,86.15833333,54.55,87.48333333,71.53333333,83.85833333,64.15,35.73333333,37.84166667,69.71666667,73.90833333,72.28333333,65.63333333
1/1/2004,86.34166667,71.85,18.275,10.70833333,86.875,54.29166667,87.99166667,71.55833333,84.08333333,64.31666667,35.85,36.975,69.48333333,73.61666667,72.275,66.01666667
1/1/2005,86.925,71.98333333,19.10833333,11.10833333,87.39166667,55.11666667,88.68333333,71.475,84.675,64.51666667,35.13333333,37.79166667,69.76666667,73.30833333,72.60833333,66.98333333
1/1/2006,87.30833333,72.50833333,19.775,11.34166667,87.55833333,56.50833333,89.00833333,72.71666667,85.36666667,64.19166667,36.28333333,37.61666667,70.79166667,73.625,72.925,67.50833333
1/1/2007,87.525,72.5,19.84166667,12.25833333,87.88333333,56.61666667,89.275,71.65833333,85.45,65.00833333,33.85833333,35.8,71.05833333,73.55,72.76666667,67.425
1/1/2008,86.03333333,72.31666667,20.51666667,12.74166667,85.925,56.95833333,88,69.7,84.25,63.80833333,31.58333333,33.70833333,71.025,73.08333333,72.69166667,67.71666667
1/1/2009,81.45833333,70.21666667,20.44166667,12.78333333,80.45,56.35,83.76666667,63.31666667,80.275,61.05833333,26.94166667,29.88333333,68.55833333,71.44166667,70.45,65.24166667
1/1/2010,80.95833333,69.35,20.5,12.90833333,79.925,56.43333333,83.73333333,61.29166667,79.41666667,59.39166667,24.83333333,27.025,67.85833333,70.61666667,69.40833333,64.425
1/1/2011,81.425,68.975,21.34166667,13.1,80.50833333,55.88333333,84.18333333,62.93333333,79.76666667,58.69166667,24.55833333,27.08333333,67.125,70.34166667,69.31666667,64.36666667
1/1/2012,82.53333333,69.2,22.10833333,13.49166667,82.16666667,56.13333333,84.89166667,63.78333333,80.675,59.20833333,24.86666667,27.29166667,67.85833333,70.025,69.68333333,65.53333333
