date,"(Unadj) Employment-Population Ratio - 16-19 yrs., Black or African American Men","(Unadj) Employment-Population Ratio - 35-44 yrs., White Men","(Unadj) Employment-Population Ratio - 25-34 yrs., White Men","(Unadj) Employment-Population Ratio - 16-19 yrs., White Men","(Unadj) Employment-Population Ratio - 16-19 yrs., White Women","(Unadj) Employment-Population Ratio - 25-54 yrs., Black or African American Women",(Unadj) Employment-Population Ratio - 25-34 yrs. Hispanic or Latino Men,"(Unadj) Employment-Population Ratio - 25-54 yrs., White Women","(Unadj) Employment-Population Ratio - 25-54 yrs., White Men","(Unadj) Employment-Population Ratio - 25-54 yrs., Black or African American Men","(Unadj) Employment-Population Ratio - 20-24 yrs. Hispanic or Latino, Hispanic or Latino Women","(Unadj) Employment-Population Ratio - 20-24 yrs. Hispanic or Latino, Hispanic or Latino Men","(Unadj) Employment-Population Ratio - 20-24 yrs., Black or African American Women","(Unadj) Employment-Population Ratio - 20-24 yrs., Black or African American Men","(Unadj) Employment-Population Ratio - 20-24 yrs., White Women","(Unadj) Employment-Population Ratio - 20-24 yrs., White Men","(Unadj) Employment-Population Ratio - 16-19 yrs., Black or African American Women",(Unadj) Employment-Population Ratio - 16-19 yrs. Hispanic or Latino Women,(Unadj) Employment-Population Ratio - 16-19 yrs. Hispanic or Latino Men,"(Unadj) Employment-Population Ratio - 25-54 yrs., Hispanic or Latino Men","(Unadj) Employment-Population Ratio - 65 yrs. & over, Hispanic or Latino Men",(Unadj) Employment-Population Ratio - 55-64 yrs. Hispanic or Latino Men,(Unadj) Employment-Population Ratio - 45-54 yrs. Hispanic or Latino Men,(Unadj) Employment-Population Ratio - 35-44 yrs. Hispanic or Latino Men,(Unadj) Employment-Population Ratio - 25-54 yrs. Hispanic or Latino Women,"(Unadj) Employment-Population Ratio - 55-64 yrs., White Men","(Unadj) Employment-Population Ratio - 65 yrs. & over, White Men","(Unadj) Employment-Population Ratio - 35-44 yrs., White Women","(Unadj) Employment-Population Ratio - 45-54 yrs., White Women","(Unadj) Employment-Population Ratio - 45-54 yrs., Black or African American Men","(Unadj) Employment-Population Ratio - 65 yrs. & over, Black or African American Men",(Unadj) Employment-Population Ratio - 45-54 yrs. Hispanic or Latino Women,(Unadj) Employment-Population Ratio - 35-44 yrs. Hispanic or Latino Women,(Unadj) Employment-Population Ratio - 25-34 yrs. Hispanic or Latino Women,"(Unadj) Employment-Population Ratio - 55-64 yrs., White Women",(Unadj) Employment-Population Ratio - 55-64 yrs. Hispanic or Latino Women,"(Unadj) Employment-Population Ratio - 65 yrs. & over, Black or African American Women","(Unadj) Employment-Population Ratio - 45-54 yrs., Black or African American Women","(Unadj) Employment-Population Ratio - 55-64 yrs., Black or African American Women","(Unadj) Employment-Population Ratio - 35-44 yrs., Black or African American Men","(Unadj) Employment-Population Ratio - 45-54 yrs., White Men","(Unadj) Employment-Population Ratio - 25-34 yrs., White Women","(Unadj) Employment-Population Ratio - 25-34 yrs., Black or African American Men","(Unadj) Employment-Population Ratio - 55-64 yrs., Black or African American Men","(Unadj) Employment-Population Ratio - 65 yrs. & over, Hispanic or Latino Women","(Unadj) Employment-Population Ratio - 65 yrs. & over, White Women","(Unadj) Employment-Population Ratio - 25-34 yrs., Black or African American Women","(Unadj) Employment-Population Ratio - 35-44 yrs., Black or African American Women"
1/1/1993,23.63333333,89.80833333,88.775,46.6,45.65833333,,,,,,,,49.56666667,57.06666667,67.64166667,77.28333333,21.64166667,,,,,,,,,64.19166667,15.44166667,73.25833333,70.78333333,73.525,10.89166667,,,,45.78333333,,7.95,67.06666667,42.08333333,77.09166667,87.05,69.99166667,76.60833333,52.65833333,,7.891666667,61.75,70.23333333
1/1/1994,25.41666667,90.23333333,89,48.29166667,47.54166667,67.05,85.75,72.65,88.90833333,76.75,49.15,77.8,51.85833333,59.46666667,67.98333333,78.03333333,24.45833333,32.05,35.4,85.05,13.3,60.6,80.55,86.7,57.95,63.69166667,16.55833333,74.31666667,72.45,73.99166667,11.65833333,56.1,62.45,55.1,47.53333333,36.75,8.833333333,67.8,43.00833333,78.05,86.94166667,71.09166667,77.125,51.19166667,7,8.866666667,63.51666667,70.36666667
1/1/1995,25.15833333,89.9,89.81666667,49.40833333,48.10833333,68.58333333,85.98333333,73.25,89.13333333,77.53333333,48.66666667,77.03333333,52.38333333,61.46666667,66.95,78.375,26.11666667,31.28333333,37.46666667,84.65,13.78333333,57.45833333,80.525,85.21666667,57.61666667,64.83333333,16.25833333,74.53333333,72.94166667,74.23333333,13.74166667,56.275,60.69166667,55.70833333,47.79166667,34.675,7.333333333,67.46666667,45.45833333,77.75,87.18333333,72.18333333,79.34166667,51.98333333,6.1,8.658333333,66.1,71.86666667
1/1/1996,24.88333333,90.30833333,90.4,48.23333333,47.61666667,69.925,87.1,73.575,89.55833333,77.125,50.95,76.86666667,53.23333333,59.29166667,67.85,78.1,27.06666667,27.31666667,38.75833333,85.80833333,15.28333333,61.46666667,82.6,85.85833333,58.61666667,65.89166667,16.60833333,74.84166667,73.725,73.56666667,12.28333333,58.175,61.10833333,56.75,48.48333333,37.1,7.291666667,69.21666667,45.40833333,77.84166667,87.53333333,72.05833333,78.70833333,52.725,6.3,8.375,67.525,72.83333333
1/1/1997,23.75833333,90.66666667,90.79166667,48.125,47.19166667,70.875,88.69166667,74.33333333,89.95,78.325,55.4,79.36666667,57.89166667,57.86666667,69.2,78.875,28.475,29.33333333,37.54166667,87.06666667,16.1,63.79166667,83.59166667,86.94166667,60.76666667,66.875,16.88333333,75.24166667,74.58333333,75.575,12.14166667,59.85,63.95,58.51666667,50.225,38.04166667,7.616666667,69.93333333,45.65833333,79.13333333,88.04166667,73.08333333,79.28333333,52.025,7.566666667,8.341666667,69.6,72.775
1/1/1998,28.4,91.29166667,91.15,48.58333333,49.30833333,72.70833333,89.125,74.11666667,90.23333333,79.21666667,55.91666667,80.23333333,58.7,58.84166667,69.65,78.91666667,31.74166667,33,38.64166667,87.275,14.14166667,66.44166667,83.08333333,87.35833333,61.43333333,67.325,16.08333333,74.34166667,74.65833333,76.30833333,13.31666667,61.325,63.18333333,59.90833333,50.49166667,39.60833333,7.4,70.875,46.91666667,79.70833333,87.91666667,73.34166667,80.775,54.80833333,5.975,8.45,72.09166667,74.55
1/1/1999,26.675,91.5,91.425,49.30833333,48.34166667,74.59166667,90.00833333,74.46666667,90.38333333,80.34166667,57.29166667,81.19166667,62.98333333,58.48333333,69.40833333,79.41666667,29.025,32.51666667,41.21666667,87.89166667,17.275,65.5,82.35,88.70833333,62.08333333,67.275,16.73333333,74.75,75.325,75.15,12.025,62.78333333,66.06666667,58.09166667,50.71666667,40.575,8.45,71.75833333,46.46666667,81.51666667,87.95,73.3,83.00833333,53.3,6.2,8.683333333,75.25,75.975
1/1/2000,28.95833333,91.50833333,91.69166667,49.475,48.78333333,74.63333333,90.6,74.56666667,90.38333333,79.45833333,59.2,83.28333333,60.9,61.16666667,70.15833333,80.16666667,30.58333333,33.93333333,42.76666667,89.14166667,17.225,66.625,84.81666667,89.80833333,63.95833333,66.59166667,17.40833333,74.89166667,75.675,75.43333333,13.46666667,66.00833333,66.10833333,61.15833333,51.16666667,39.15,9.325,72.3,47.04166667,80.26666667,87.775,73.04166667,81.93333333,55.85,7.316666667,9.141666667,75.66666667,75.45833333
1/1/2001,26.36666667,90.64166667,90.34166667,46.2,46.45833333,73.65,89.04166667,73.775,89.4,77.725,59.28333333,79.81666667,59.39166667,57.44166667,69.71666667,77.60833333,27.01666667,33.46666667,43.325,87.64166667,15.95,64.36666667,83.35,88.46666667,63.26666667,66.925,17.28333333,74.43333333,74.95833333,74.08333333,16.04166667,64.99166667,66.03333333,60.16666667,52.44166667,41.21666667,9.65,70.8,48.375,79.125,87.15833333,71.7,79.4,56.09166667,6.408333333,9.3,74.69166667,74.96666667
1/1/2002,25.63333333,89.43333333,88.73333333,42.34166667,44.1,71.48333333,87.75833333,72.84166667,88.14166667,76.55833333,57.95,78.09166667,54.63333333,56.56666667,68.5,75.89166667,24.89166667,31.15,38.99166667,86.19166667,15.3,63.11666667,81.36666667,87.05833333,62.7,67.41666667,17.24166667,73.15833333,73.91666667,73.59166667,16.01666667,62.71666667,64.8,60.94166667,53.925,43.75833333,9.141666667,69.46666667,49.35833333,77.925,86.175,71.29166667,77.80833333,54.84166667,7.825,9.575,71.51666667,73.11666667
