date,Shading,Prime_Men,Prime_Women,20-24_Men,16-19_Men,55-64_Men,65-over_Men,55-64_Women,20-24_Women,16-19_Women,65-over_Women,Prime_Men_White,Prime_Men_Black,Prime_Men_Hispanic,Prime_Women_Black,Prime_Women_White,Prime_Women_Hispanic,16-24_Men,16-24_Women,25-34_Men,35-44_Men,45-54_Men,25-34_Women,45-54_Women,35-44_Women
1993-01-01,100,87.01666667,70.36666667,73.85833333,42.3,63.09166667,15.075,45.29166667,64.025,40.975,7.908333333,,,,,,,60.14166667,54.31666667,86.91666667,88.15833333,85.525,68.41666667,70.15,72.49166667
1994-01-01,100,87.24166667,71.5,74.64166667,43.8,62.60833333,16.16666667,46.99166667,64.51666667,42.975,8.791666667,88.90833333,76.75,85.05,67.05,72.65,57.95,60.99166667,55.26666667,87.15,88.59166667,85.51666667,69.44166667,71.61666667,73.43333333
1995-01-01,100,87.60833333,72.19166667,75.43333333,44.68333333,63.63333333,16.05833333,47.45833333,63.99166667,43.75833333,8.508333333,89.13333333,77.53333333,84.65,68.58333333,73.25,57.61666667,61.45833333,55.06666667,88.2,88.33333333,85.75,70.7,72,73.775
1996-01-01,100,87.925,72.75833333,74.675,43.55,64.725,16.28333333,47.925,64.89166667,43.475,8.241666667,89.55833333,77.125,85.80833333,69.925,73.575,58.61666667,60.075,55.175,88.64166667,88.65833333,86,71.05,72.925,74.24166667
1997-01-01,100,88.41666667,73.54166667,75.225,43.40833333,65.5,16.54166667,49.55,66.75,43.3,8.275,89.95,78.325,87.06666667,70.875,74.33333333,60.76666667,60.14166667,55.9,89.03333333,89.18333333,86.65833333,72.06666667,73.84166667,74.64166667
1998-01-01,100,88.83333333,73.63333333,75.4,44.65,66.225,15.94166667,49.975,67.33333333,45.5,8.35,90.23333333,79.21666667,87.275,72.70833333,74.11666667,61.43333333,60.78333333,57.16666667,89.54166667,89.83333333,86.7,72.65,74.1,74.175
1999-01-01,100,88.98333333,74.15,75.61666667,45.10833333,66.08333333,16.425,50.10833333,67.94166667,44.28333333,8.658333333,90.38333333,80.34166667,87.89166667,74.59166667,74.46666667,62.08333333,61.03333333,56.94166667,89.91666667,90.16666667,86.48333333,73.01666667,74.74166667,74.64166667
2000-01-01,100,88.99166667,74.2,76.61666667,45.4,65.66666667,17.13333333,50.58333333,67.9,45,9.141666667,90.38333333,79.45833333,89.14166667,74.63333333,74.56666667,63.95833333,61.93333333,57.375,90.24166667,90.09166667,86.41666667,73,74.90833333,74.66666667
2001-01-01,0,87.93333333,73.425,74.21666667,42.21666667,65.98333333,17.225,51.75,67.26666667,42.425,9.308333333,89.4,77.725,87.64166667,73.65,73.775,63.26666667,59.38333333,56.025,88.76666667,89.175,85.66666667,71.70833333,74.14166667,74.24166667
2002-01-01,0,86.60833333,72.26666667,72.49166667,38.91666667,66.26666667,17.25,53.25,65.55833333,40.3,9.466666667,88.14166667,76.55833333,86.19166667,71.48333333,72.84166667,62.7,57.09166667,54.275,87.06666667,87.975,84.71666667,70.65833333,73.09166667,72.88333333
2003-01-01,0,85.875,72.01666667,71.53333333,35.73333333,65.63333333,17.825,54.55,64.15,37.84166667,10.25,87.49166667,75.25833333,86.2,71.7,72.46666667,60.525,55.33333333,52.475,86.15833333,87.48333333,83.85833333,69.71666667,73.90833333,72.28333333
2004-01-01,0,86.34166667,71.85,71.55833333,35.85,66.01666667,18.275,54.29166667,64.31666667,36.975,10.70833333,87.94166667,75.20833333,87.44166667,71.05,72.45833333,61.68333333,55.56666667,52.21666667,86.875,87.99166667,84.08333333,69.48333333,73.61666667,72.275
2005-01-01,0,86.925,71.98333333,71.475,35.13333333,66.98333333,19.10833333,55.11666667,64.51666667,37.79166667,11.10833333,88.45833333,76.76666667,88.24166667,71.23333333,72.55,61.54166667,55.15,52.65,87.39166667,88.68333333,84.675,69.76666667,73.30833333,72.60833333
2006-01-01,0,87.30833333,72.50833333,72.71666667,36.28333333,67.50833333,19.775,56.50833333,64.19166667,37.61666667,11.34166667,88.80833333,77.11666667,88.9,71.88333333,72.96666667,62.875,56.20833333,52.25,87.55833333,89.00833333,85.36666667,70.79166667,73.625,72.925
2007-01-01,0,87.525,72.5,71.65833333,33.85833333,67.425,19.84166667,56.61666667,65.00833333,35.8,12.25833333,88.90833333,77.93333333,88.78333333,72.29166667,72.89166667,63.56666667,54.41666667,51.80833333,87.88333333,89.275,85.45,71.05833333,73.55,72.76666667
2008-01-01,0,86.03333333,72.31666667,69.7,31.58333333,67.71666667,20.51666667,56.95833333,63.80833333,33.70833333,12.74166667,87.45833333,76.10833333,86.925,72.04166667,72.65,62.54166667,52.25,50.15833333,85.925,88,84.25,71.025,73.08333333,72.69166667
2009-01-01,0,81.45833333,70.21666667,63.31666667,26.94166667,65.24166667,20.44166667,56.35,61.05833333,29.88333333,12.78333333,83.21666667,69.11666667,81.46666667,68.475,70.88333333,60.36666667,46.69166667,47.01666667,80.45,83.76666667,80.275,68.55833333,71.44166667,70.45
2010-01-01,0,80.95833333,69.35,61.29166667,24.83333333,64.425,20.5,56.43333333,59.39166667,27.025,12.90833333,82.79166667,68.84166667,81.575,66.83333333,70.15833333,60.55833333,44.94166667,45.06666667,79.925,83.73333333,79.41666667,67.85833333,70.61666667,69.40833333
2011-01-01,0,81.425,68.975,62.93333333,24.55833333,64.36666667,21.34166667,55.88333333,58.69166667,27.08333333,13.1,83.45,67.9,82.225,65.7,69.94166667,59.99166667,45.99166667,44.875,80.50833333,84.18333333,79.76666667,67.125,70.34166667,69.31666667
2012-01-01,0,82.53333333,69.2,63.78333333,24.86666667,65.53333333,22.10833333,56.13333333,59.20833333,27.29166667,13.49166667,84.36666667,70.275,83.125,67.6,69.9,61.3,46.56666667,45.4,82.16666667,84.89166667,80.675,67.85833333,70.025,69.68333333
