date,"(Unadj) Employment-Population Ratio - 16-19 yrs., Black or African American Men","(Unadj) Employment-Population Ratio - 35-44 yrs., White Men","(Unadj) Employment-Population Ratio - 25-34 yrs., White Men","(Unadj) Employment-Population Ratio - 16-19 yrs., White Men","(Unadj) Employment-Population Ratio - 16-19 yrs., White Women","(Unadj) Employment-Population Ratio - 25-54 yrs., Black or African American Women",(Unadj) Employment-Population Ratio - 25-34 yrs. Hispanic or Latino Men,"(Unadj) Employment-Population Ratio - 25-54 yrs., White Women","(Unadj) Employment-Population Ratio - 25-54 yrs., White Men","(Unadj) Employment-Population Ratio - 25-54 yrs., Black or African American Men","(Unadj) Employment-Population Ratio - 20-24 yrs. Hispanic or Latino, Hispanic or Latino Women","(Unadj) Employment-Population Ratio - 20-24 yrs. Hispanic or Latino, Hispanic or Latino Men","(Unadj) Employment-Population Ratio - 20-24 yrs., Black or African American Women","(Unadj) Employment-Population Ratio - 20-24 yrs., Black or African American Men","(Unadj) Employment-Population Ratio - 20-24 yrs., White Women","(Unadj) Employment-Population Ratio - 20-24 yrs., White Men","(Unadj) Employment-Population Ratio - 16-19 yrs., Black or African American Women",(Unadj) Employment-Population Ratio - 16-19 yrs. Hispanic or Latino Women,(Unadj) Employment-Population Ratio - 16-19 yrs. Hispanic or Latino Men,"(Unadj) Employment-Population Ratio - 25-54 yrs., Hispanic or Latino Men","(Unadj) Employment-Population Ratio - 65 yrs. & over, Hispanic or Latino Men",(Unadj) Employment-Population Ratio - 55-64 yrs. Hispanic or Latino Men,(Unadj) Employment-Population Ratio - 45-54 yrs. Hispanic or Latino Men,(Unadj) Employment-Population Ratio - 35-44 yrs. Hispanic or Latino Men,(Unadj) Employment-Population Ratio - 25-54 yrs. Hispanic or Latino Women,"(Unadj) Employment-Population Ratio - 55-64 yrs., White Men","(Unadj) Employment-Population Ratio - 65 yrs. & over, White Men","(Unadj) Employment-Population Ratio - 35-44 yrs., White Women","(Unadj) Employment-Population Ratio - 45-54 yrs., White Women","(Unadj) Employment-Population Ratio - 45-54 yrs., Black or African American Men","(Unadj) Employment-Population Ratio - 65 yrs. & over, Black or African American Men",(Unadj) Employment-Population Ratio - 45-54 yrs. Hispanic or Latino Women,(Unadj) Employment-Population Ratio - 35-44 yrs. Hispanic or Latino Women,(Unadj) Employment-Population Ratio - 25-34 yrs. Hispanic or Latino Women,"(Unadj) Employment-Population Ratio - 55-64 yrs., White Women",(Unadj) Employment-Population Ratio - 55-64 yrs. Hispanic or Latino Women,"(Unadj) Employment-Population Ratio - 65 yrs. & over, Black or African American Women","(Unadj) Employment-Population Ratio - 45-54 yrs., Black or African American Women","(Unadj) Employment-Population Ratio - 55-64 yrs., Black or African American Women","(Unadj) Employment-Population Ratio - 35-44 yrs., Black or African American Men","(Unadj) Employment-Population Ratio - 45-54 yrs., White Men","(Unadj) Employment-Population Ratio - 25-34 yrs., White Women","(Unadj) Employment-Population Ratio - 25-34 yrs., Black or African American Men","(Unadj) Employment-Population Ratio - 55-64 yrs., Black or African American Men","(Unadj) Employment-Population Ratio - 65 yrs. & over, Hispanic or Latino Women","(Unadj) Employment-Population Ratio - 65 yrs. & over, White Women","(Unadj) Employment-Population Ratio - 25-34 yrs., Black or African American Women","(Unadj) Employment-Population Ratio - 35-44 yrs., Black or African American Women"
1/1/1993,20.8,88.5,87.1,40.6,40.7,,,,,,,,47.4,53.5,65.8,73.8,20.5,,,,,,,,,62.9,15.3,72.9,69.6,72.6,9.6,,,,44.5,,7,65.3,41.8,75.1,85.7,70,74.3,54.4,,7.3,59.7,68
2/1/1993,21.2,88.4,86.7,41.3,41.4,,,,,,,,48.5,53.2,65.2,74.1,20.5,,,,,,,,,64.8,15.1,73.4,70.3,74.6,10.9,,,,45.4,,8.6,65.6,42.9,75.1,85.6,69.5,75.5,56,,7.4,62.3,68.2
3/1/1993,18.9,88.9,87.4,42.9,40.8,,,,,,,,49,52,66.5,75.5,15.2,,,,,,,,,65.1,15,73.2,70.9,72.7,9.9,,,,45.9,,8.7,66.2,41,75.6,85.3,69.8,76.3,52.1,,7.6,61.6,70.1
4/1/1993,20.3,89.7,88.7,42.2,41.9,,,,,,,,49.8,53.2,66.7,75,16.3,,,,,,,,,65.5,14.8,73,70.4,73.2,10.1,,,,45.9,,7.6,65.9,41,75.3,85.9,69.7,75.1,53.7,,7.7,60.9,70.7
5/1/1993,23.9,90.5,89.3,44.5,43.8,,,,,,,,47.7,54.3,67.2,76.1,20,,,,,,,,,65.2,15.6,73.5,71.1,74.6,12.7,,,,46.2,,8.2,66.5,41.5,78,86.9,70,75.4,53.2,,7.7,62.1,70.3
6/1/1993,27.9,90.5,89.4,53.2,50.4,,,,,,,,51.7,57.4,70.2,80.9,20.4,,,,,,,,,65.3,15.7,73,70.2,74,10.6,,,,45.9,,8.1,65.6,43.9,77.8,87.2,69.8,75.6,53.7,,7.9,60.3,69.9
7/1/1993,37.6,90.3,89.4,59.2,56.3,,,,,,,,50.3,61.8,71,82.8,32.5,,,,,,,,,63.3,15.7,72.8,69.3,73,10.4,,,,44.5,,8.2,65.3,41.2,79.9,87.2,69.9,76.6,52.8,,7.9,60.1,69.8
8/1/1993,34,90.4,89.5,56.8,52.7,,,,,,,,50.1,60.6,69.3,81.8,29.9,,,,,,,,,63.6,15.5,72.5,69.9,73.4,10.9,,,,45.3,,8.7,66,41.9,80.8,87.7,69.7,76.5,53.2,,8,60.5,70.7
9/1/1993,21.2,90.5,89.6,45.6,43.9,,,,,,,,47.6,61.4,67.1,76.7,20.8,,,,,,,,,63.3,15.9,73.2,70.9,73.5,11.1,,,,45.9,,7.9,67.3,42.5,77.8,88.2,70,77.6,51.3,,8,61.5,72.7
10/1/1993,18.5,90.3,89.6,44.6,44.3,,,,,,,,50.5,61.7,67.2,77.5,21,,,,,,,,,64.1,16,73.7,71.7,74.4,11.4,,,,46,,7.7,70.7,41.9,77,88.4,70.5,79,51.4,,8.4,63.5,70.7
11/1/1993,19.5,90.3,89.3,44.5,45.5,,,,,,,,51.3,55.8,67.2,77.1,20.5,,,,,,,,,63.5,15.4,73.9,72.6,72.9,11.5,,,,46.8,,7.4,71,43.3,76.3,88.5,70.4,79.8,50,,8.5,63.9,70.3
12/1/1993,19.8,89.4,89.3,43.8,46.2,,,,,,,,50.9,59.9,68.3,76.1,22.1,,,,,,,,,63.7,15.3,74,72.5,73.4,11.6,,,,47.1,,7.3,69.4,42.1,76.4,88,70.6,77.6,50.1,,8.3,64.6,71.4
