date,"(Unadj) Employment-Population Ratio - 25-34 yrs., Men","(Unadj) Employment-Population Ratio - 55-64 yrs., Women","(Unadj) Employment-Population Ratio - 35-44 yrs., Men","(Unadj) Employment-Population Ratio - 20-24 yrs., Men","(Unadj) Employment-Population Ratio - 45-54 yrs., Men","(Unadj) Employment-Population Ratio - 20-24 yrs., Women","(Unadj) Employment-Population Ratio - 16-19 yrs., Men","(Unadj) Employment-Population Ratio - 16-19 yrs., Women","(Unadj) Employment-Population Ratio - 25-34 yrs., Women","(Unadj) Employment-Population Ratio - 45-54 yrs., Women","(Unadj) Employment-Population Ratio - 35-44 yrs., Women","(Unadj) Employment-Population Ratio - 55-64 yrs., Men","(Unadj) Employment-Population Ratio - 25-54 yrs., Men","(Unadj) Employment-Population Ratio - 25-54 yrs., Women","(Unadj) Employment-Population Ratio - 65 yrs. & over, Men","(Unadj) Employment-Population Ratio - 65 yrs. & over, Women"
1993-01-01,85.2,44.2,86.7,70.3,84.3,62.5,36.7,36.5,68.1,69.0,71.9,62.1,85.5,69.7,14.8,7.4
1993-02-01,84.9,45.1,86.7,70.5,84.4,62.2,37.5,37.4,68.1,69.6,72.3,63.8,85.4,70.0,14.8,7.5
1993-03-01,85.7,45.3,87.2,71.6,84.0,63.2,38.5,36.3,68.4,70.3,72.5,63.8,85.8,70.4,14.6,7.7
1993-04-01,86.7,45.3,87.8,71.6,84.5,63.4,38.3,37.3,68.1,69.8,72.3,64.2,86.6,70.1,14.4,7.7
1993-05-01,87.2,45.7,88.8,72.6,85.5,63.5,40.6,39.5,68.6,70.3,72.7,64.1,87.4,70.6,15.4,7.7
1993-06-01,87.4,45.7,88.9,77.0,85.6,66.5,48.5,44.8,68.0,69.4,72.3,64.1,87.5,70.0,15.2,7.9
1993-07-01,87.4,44.0,88.9,79.3,85.6,67.0,54.8,51.7,68.0,68.6,72.0,62.4,87.5,69.6,15.3,7.9
1993-08-01,87.4,44.9,89.2,78.3,86.0,65.3,52.2,48.1,67.9,69.2,71.9,62.6,87.7,69.7,15.2,8.1
1993-09-01,87.8,45.4,88.9,73.9,86.4,62.9,40.9,39.2,68.3,70.1,72.8,62.2,87.8,70.4,15.5,8.0
1993-10-01,88.0,45.4,88.5,74.6,86.8,63.5,40.0,39.5,69.1,71.3,72.9,63.0,87.9,71.1,15.6,8.4
1993-11-01,87.7,46.2,88.6,73.3,86.8,63.8,40.1,40.2,69.1,72.2,73.0,62.3,87.8,71.3,15.1,8.4
1993-12-01,87.6,46.3,87.7,73.3,86.4,64.5,39.5,41.2,69.3,72.0,73.3,62.5,87.3,71.5,15.0,8.2
1994-01-01,85.4,46.1,86.7,68.9,85.1,62.3,38.6,39.7,68.4,71.5,72.6,62.3,85.8,70.8,16.1,9.0
1994-02-01,85.3,46.5,87.1,71.5,84.5,63.3,38.8,39.3,68.9,71.8,73.4,61.7,85.7,71.3,15.6,9.0
1994-03-01,86.0,46.7,87.5,71.2,85.4,63.7,38.6,39.5,68.8,71.5,73.3,61.4,86.4,71.2,15.8,8.7
1994-04-01,86.4,47.6,88.6,72.6,85.2,63.4,39.2,40.7,69.1,71.3,73.4,61.4,86.9,71.2,16.4,8.5
1994-05-01,87.2,48.1,89.4,74.2,85.7,63.8,41.3,41.9,69.3,71.5,73.9,62.0,87.6,71.6,16.8,9.0
1994-06-01,87.2,46.8,89.2,78.0,85.3,67.2,50.2,48.6,68.8,69.9,72.4,62.1,87.4,70.5,16.3,8.9
1994-07-01,87.1,45.8,89.2,79.1,85.4,67.1,55.3,52.5,69.1,70.2,72.4,61.9,87.4,70.6,15.8,8.5
1994-08-01,87.7,46.0,88.7,78.8,85.6,66.0,53.7,49.5,69.5,71.0,72.2,62.4,87.5,70.9,16.2,8.7
1994-09-01,88.3,47.1,89.3,75.0,85.9,63.2,42.2,39.1,70.1,72.6,74.0,63.2,88.0,72.2,16.4,8.9
1994-10-01,88.3,47.7,89.5,76.1,86.2,64.7,43.3,40.2,70.6,72.4,74.7,64.0,88.2,72.6,16.2,8.8
1994-11-01,88.8,47.8,88.9,75.1,85.9,64.4,42.5,41.6,70.5,73.1,74.6,64.3,88.1,72.7,16.2,9.1
1994-12-01,88.1,47.7,89.0,75.2,86.0,65.1,41.9,43.1,70.2,72.6,74.3,64.6,87.9,72.4,16.2,8.4
1995-01-01,86.8,47.1,87.6,72.3,85.2,64.0,39.9,40.9,69.2,72.0,73.6,63.3,86.7,71.6,16.2,8.2
1995-02-01,87.2,48.0,88.2,74.0,85.3,63.1,39.8,40.4,70.4,72.6,73.7,63.0,87.1,72.2,16.0,8.1
1995-03-01,88.0,47.5,88.3,74.1,85.5,63.5,41.3,41.8,70.3,72.7,73.7,63.4,87.4,72.2,16.3,8.4
1995-04-01,88.3,47.7,88.2,74.8,85.7,64.1,42.1,40.7,70.4,72.4,74.1,63.3,87.6,72.3,16.5,8.5
1995-05-01,88.5,46.9,88.5,75.3,86.3,63.3,42.6,42.4,70.2,72.3,74.3,63.2,87.9,72.3,15.9,8.7
1995-06-01,88.8,46.5,88.8,79.3,85.9,65.8,52.1,49.5,69.7,70.9,72.9,62.8,88.0,71.2,16.0,8.3
1995-07-01,88.6,46.6,88.3,79.9,86.2,66.2,57.2,52.4,70.6,70.6,72.7,63.6,87.9,71.4,15.3,8.5
1995-08-01,88.9,46.9,88.4,78.3,85.8,64.8,53.3,50.6,70.4,71.2,72.3,63.2,87.9,71.3,15.1,8.7
1995-09-01,88.7,48.3,88.9,74.4,86.2,61.4,43.3,40.9,71.2,71.8,74.2,64.2,88.1,72.5,16.1,9.0
1995-10-01,89.0,48.6,88.9,74.7,86.0,63.4,42.0,41.8,71.8,72.4,74.5,65.2,88.2,73.0,16.6,8.8
1995-11-01,88.0,48.2,88.2,74.1,85.3,64.1,41.4,41.6,72.4,72.6,74.8,64.5,87.4,73.3,16.4,8.6
1995-12-01,87.6,47.2,87.7,74.0,85.6,64.2,41.2,42.1,71.8,72.5,74.5,63.9,87.1,73.0,16.3,8.3
1996-01-01,86.9,47.7,87.2,71.0,84.4,61.5,38.4,39.6,70.6,72.1,73.4,63.2,86.3,72.1,15.6,7.8
1996-02-01,87.3,47.9,87.7,71.2,84.7,63.1,39.5,39.4,70.8,72.9,73.7,63.8,86.7,72.4,15.7,8.4
1996-03-01,87.4,47.9,87.9,72.6,85.2,64.7,39.4,40.3,71.3,73.0,73.9,64.3,87.0,72.7,16.4,8.3
1996-04-01,87.9,46.7,88.0,72.5,86.0,65.5,41.5,39.7,70.8,72.8,74.2,65.1,87.4,72.6,15.8,8.4
1996-05-01,88.7,46.7,88.6,74.5,86.3,64.3,43.8,42.1,70.4,73.0,74.6,65.3,88.0,72.7,16.4,8.4
1996-06-01,88.7,46.6,88.8,78.3,86.8,66.3,50.5,47.9,70.1,72.6,73.7,65.7,88.2,72.2,16.3,8.2
1996-07-01,89.0,47.2,88.9,79.7,87.1,66.0,55.2,52.8,70.5,72.0,73.4,64.6,88.5,72.0,16.2,8.1
1996-08-01,89.8,47.7,89.4,78.1,86.8,65.6,49.6,48.6,70.2,72.8,73.6,65.0,88.8,72.2,16.0,8.1
1996-09-01,89.4,49.1,89.4,74.4,86.4,64.5,42.3,42.5,71.5,73.3,74.8,64.7,88.6,73.2,16.4,8.2
1996-10-01,89.8,49.1,89.8,75.8,86.4,65.3,42.1,42.6,72.2,73.5,75.3,65.6,88.9,73.7,16.8,8.2
1996-11-01,89.6,49.3,89.3,73.8,85.9,66.2,39.9,43.0,72.1,73.6,75.5,64.9,88.5,73.8,17.1,8.4
1996-12-01,89.2,49.2,88.9,74.2,86.0,65.7,40.4,43.2,72.1,73.5,74.8,64.5,88.2,73.5,16.7,8.4
