date,"(Unadj) Employment-Population Ratio - 16-19 yrs., Black or African American Men","(Unadj) Employment-Population Ratio - 35-44 yrs., White Men","(Unadj) Employment-Population Ratio - 25-34 yrs., White Men","(Unadj) Employment-Population Ratio - 16-19 yrs., White Men","(Unadj) Employment-Population Ratio - 16-19 yrs., White Women","(Unadj) Employment-Population Ratio - 25-54 yrs., Black or African American Women",(Unadj) Employment-Population Ratio - 25-34 yrs. Hispanic or Latino Men,"(Unadj) Employment-Population Ratio - 25-54 yrs., White Women","(Unadj) Employment-Population Ratio - 25-54 yrs., White Men","(Unadj) Employment-Population Ratio - 25-54 yrs., Black or African American Men","(Unadj) Employment-Population Ratio - 20-24 yrs. Hispanic or Latino, Hispanic or Latino Women","(Unadj) Employment-Population Ratio - 20-24 yrs. Hispanic or Latino, Hispanic or Latino Men","(Unadj) Employment-Population Ratio - 20-24 yrs., Black or African American Women","(Unadj) Employment-Population Ratio - 20-24 yrs., Black or African American Men","(Unadj) Employment-Population Ratio - 20-24 yrs., White Women","(Unadj) Employment-Population Ratio - 20-24 yrs., White Men","(Unadj) Employment-Population Ratio - 16-19 yrs., Black or African American Women",(Unadj) Employment-Population Ratio - 16-19 yrs. Hispanic or Latino Women,(Unadj) Employment-Population Ratio - 16-19 yrs. Hispanic or Latino Men,"(Unadj) Employment-Population Ratio - 25-54 yrs., Hispanic or Latino Men","(Unadj) Employment-Population Ratio - 65 yrs. & over, Hispanic or Latino Men",(Unadj) Employment-Population Ratio - 55-64 yrs. Hispanic or Latino Men,(Unadj) Employment-Population Ratio - 45-54 yrs. Hispanic or Latino Men,(Unadj) Employment-Population Ratio - 35-44 yrs. Hispanic or Latino Men,(Unadj) Employment-Population Ratio - 25-54 yrs. Hispanic or Latino Women,"(Unadj) Employment-Population Ratio - 55-64 yrs., White Men","(Unadj) Employment-Population Ratio - 65 yrs. & over, White Men","(Unadj) Employment-Population Ratio - 35-44 yrs., White Women","(Unadj) Employment-Population Ratio - 45-54 yrs., White Women","(Unadj) Employment-Population Ratio - 45-54 yrs., Black or African American Men","(Unadj) Employment-Population Ratio - 65 yrs. & over, Black or African American Men",(Unadj) Employment-Population Ratio - 45-54 yrs. Hispanic or Latino Women,(Unadj) Employment-Population Ratio - 35-44 yrs. Hispanic or Latino Women,(Unadj) Employment-Population Ratio - 25-34 yrs. Hispanic or Latino Women,"(Unadj) Employment-Population Ratio - 55-64 yrs., White Women",(Unadj) Employment-Population Ratio - 55-64 yrs. Hispanic or Latino Women,"(Unadj) Employment-Population Ratio - 65 yrs. & over, Black or African American Women","(Unadj) Employment-Population Ratio - 45-54 yrs., Black or African American Women","(Unadj) Employment-Population Ratio - 55-64 yrs., Black or African American Women","(Unadj) Employment-Population Ratio - 35-44 yrs., Black or African American Men","(Unadj) Employment-Population Ratio - 45-54 yrs., White Men","(Unadj) Employment-Population Ratio - 25-34 yrs., White Women","(Unadj) Employment-Population Ratio - 25-34 yrs., Black or African American Men","(Unadj) Employment-Population Ratio - 55-64 yrs., Black or African American Men","(Unadj) Employment-Population Ratio - 65 yrs. & over, Hispanic or Latino Women","(Unadj) Employment-Population Ratio - 65 yrs. & over, White Women","(Unadj) Employment-Population Ratio - 25-34 yrs., Black or African American Women","(Unadj) Employment-Population Ratio - 35-44 yrs., Black or African American Women"
1993-01-01,23.6333333333,89.8083333333,88.775,46.6,45.6583333333,,,,,,,,49.5666666667,57.0666666667,67.6416666667,77.2833333333,21.6416666667,,,,,,,,,64.1916666667,15.4416666667,73.2583333333,70.7833333333,73.525,10.8916666667,,,,45.7833333333,,7.95,67.0666666667,42.0833333333,77.0916666667,87.05,69.9916666667,76.6083333333,52.6583333333,,7.89166666667,61.75,70.2333333333
1994-01-01,25.4166666667,90.2333333333,89.0,48.2916666667,47.5416666667,67.05,85.75,72.65,88.9083333333,76.75,49.15,77.8,51.8583333333,59.4666666667,67.9833333333,78.0333333333,24.4583333333,32.05,35.4,85.05,13.3,60.6,80.55,86.7,57.95,63.6916666667,16.5583333333,74.3166666667,72.45,73.9916666667,11.6583333333,56.1,62.45,55.1,47.5333333333,36.75,8.83333333333,67.8,43.0083333333,78.05,86.9416666667,71.0916666667,77.125,51.1916666667,7.0,8.86666666667,63.5166666667,70.3666666667
1995-01-01,25.1583333333,89.9,89.8166666667,49.4083333333,48.1083333333,68.5833333333,85.9833333333,73.25,89.1333333333,77.5333333333,48.6666666667,77.0333333333,52.3833333333,61.4666666667,66.95,78.375,26.1166666667,31.2833333333,37.4666666667,84.65,13.7833333333,57.4583333333,80.525,85.2166666667,57.6166666667,64.8333333333,16.2583333333,74.5333333333,72.9416666667,74.2333333333,13.7416666667,56.275,60.6916666667,55.7083333333,47.7916666667,34.675,7.33333333333,67.4666666667,45.4583333333,77.75,87.1833333333,72.1833333333,79.3416666667,51.9833333333,6.1,8.65833333333,66.1,71.8666666667
1996-01-01,24.8833333333,90.3083333333,90.4,48.2333333333,47.6166666667,69.925,87.1,73.575,89.5583333333,77.125,50.95,76.8666666667,53.2333333333,59.2916666667,67.85,78.1,27.0666666667,27.3166666667,38.7583333333,85.8083333333,15.2833333333,61.4666666667,82.6,85.8583333333,58.6166666667,65.8916666667,16.6083333333,74.8416666667,73.725,73.5666666667,12.2833333333,58.175,61.1083333333,56.75,48.4833333333,37.1,7.29166666667,69.2166666667,45.4083333333,77.8416666667,87.5333333333,72.0583333333,78.7083333333,52.725,6.3,8.375,67.525,72.8333333333
1997-01-01,23.7583333333,90.6666666667,90.7916666667,48.125,47.1916666667,70.875,88.6916666667,74.3333333333,89.95,78.325,55.4,79.3666666667,57.8916666667,57.8666666667,69.2,78.875,28.475,29.3333333333,37.5416666667,87.0666666667,16.1,63.7916666667,83.5916666667,86.9416666667,60.7666666667,66.875,16.8833333333,75.2416666667,74.5833333333,75.575,12.1416666667,59.85,63.95,58.5166666667,50.225,38.0416666667,7.61666666667,69.9333333333,45.6583333333,79.1333333333,88.0416666667,73.0833333333,79.2833333333,52.025,7.56666666667,8.34166666667,69.6,72.775
1998-01-01,28.4,91.2916666667,91.15,48.5833333333,49.3083333333,72.7083333333,89.125,74.1166666667,90.2333333333,79.2166666667,55.9166666667,80.2333333333,58.7,58.8416666667,69.65,78.9166666667,31.7416666667,33.0,38.6416666667,87.275,14.1416666667,66.4416666667,83.0833333333,87.3583333333,61.4333333333,67.325,16.0833333333,74.3416666667,74.6583333333,76.3083333333,13.3166666667,61.325,63.1833333333,59.9083333333,50.4916666667,39.6083333333,7.4,70.875,46.9166666667,79.7083333333,87.9166666667,73.3416666667,80.775,54.8083333333,5.975,8.45,72.0916666667,74.55
1999-01-01,26.675,91.5,91.425,49.3083333333,48.3416666667,74.5916666667,90.0083333333,74.4666666667,90.3833333333,80.3416666667,57.2916666667,81.1916666667,62.9833333333,58.4833333333,69.4083333333,79.4166666667,29.025,32.5166666667,41.2166666667,87.8916666667,17.275,65.5,82.35,88.7083333333,62.0833333333,67.275,16.7333333333,74.75,75.325,75.15,12.025,62.7833333333,66.0666666667,58.0916666667,50.7166666667,40.575,8.45,71.7583333333,46.4666666667,81.5166666667,87.95,73.3,83.0083333333,53.3,6.2,8.68333333333,75.25,75.975
2000-01-01,28.9583333333,91.5083333333,91.6916666667,49.475,48.7833333333,74.6333333333,90.6,74.5666666667,90.3833333333,79.4583333333,59.2,83.2833333333,60.9,61.1666666667,70.1583333333,80.1666666667,30.5833333333,33.9333333333,42.7666666667,89.1416666667,17.225,66.625,84.8166666667,89.8083333333,63.9583333333,66.5916666667,17.4083333333,74.8916666667,75.675,75.4333333333,13.4666666667,66.0083333333,66.1083333333,61.1583333333,51.1666666667,39.15,9.325,72.3,47.0416666667,80.2666666667,87.775,73.0416666667,81.9333333333,55.85,7.31666666667,9.14166666667,75.6666666667,75.4583333333
2001-01-01,26.3666666667,90.6416666667,90.3416666667,46.2,46.4583333333,73.65,89.0416666667,73.775,89.4,77.725,59.2833333333,79.8166666667,59.3916666667,57.4416666667,69.7166666667,77.6083333333,27.0166666667,33.4666666667,43.325,87.6416666667,15.95,64.3666666667,83.35,88.4666666667,63.2666666667,66.925,17.2833333333,74.4333333333,74.9583333333,74.0833333333,16.0416666667,64.9916666667,66.0333333333,60.1666666667,52.4416666667,41.2166666667,9.65,70.8,48.375,79.125,87.1583333333,71.7,79.4,56.0916666667,6.40833333333,9.3,74.6916666667,74.9666666667
2002-01-01,25.6333333333,89.4333333333,88.7333333333,42.3416666667,44.1,71.4833333333,87.7583333333,72.8416666667,88.1416666667,76.5583333333,57.95,78.0916666667,54.6333333333,56.5666666667,68.5,75.8916666667,24.8916666667,31.15,38.9916666667,86.1916666667,15.3,63.1166666667,81.3666666667,87.0583333333,62.7,67.4166666667,17.2416666667,73.1583333333,73.9166666667,73.5916666667,16.0166666667,62.7166666667,64.8,60.9416666667,53.925,43.7583333333,9.14166666667,69.4666666667,49.3583333333,77.925,86.175,71.2916666667,77.8083333333,54.8416666667,7.825,9.575,71.5166666667,73.1166666667
