date,"(Unadj) Employment-Population Ratio - 16-24 yrs., Men","(Unadj) Employment-Population Ratio - 16-24 yrs., Women"
1993-01-01,60.1416666667,54.3166666667
1994-01-01,60.9916666667,55.2666666667
1995-01-01,61.4583333333,55.0666666667
1996-01-01,60.075,55.175
1997-01-01,60.1416666667,55.9
1998-01-01,60.7833333333,57.1666666667
1999-01-01,61.0333333333,56.9416666667
2000-01-01,61.9333333333,57.375
2001-01-01,59.3833333333,56.025
2002-01-01,57.0916666667,54.275
2003-01-01,55.3333333333,52.475
2004-01-01,55.5666666667,52.2166666667
2005-01-01,55.15,52.65
2006-01-01,56.2083333333,52.25
2007-01-01,54.4166666667,51.8083333333
2008-01-01,52.25,50.1583333333
2009-01-01,46.6916666667,47.0166666667
2010-01-01,44.9416666667,45.0666666667
2011-01-01,45.9916666667,44.875
2012-01-01,46.5666666667,45.4
