Count of Combined,Column Labels,,,,,,,,,,
Row Labels,10-Trade,1-National Accounts,2-Labor Markets,3-Economic Activity,4-Prices,5-Balance of Payments,6-Exchange Rates,7-Interest Rates,8-Equities,9-Commodities,Grand Total
Afghanistan,,,,,2,1,,6,,,9
Albania,,1,1,,3,1,,4,,,10
Algeria,,,1,2,3,1,2,5,,,14
Angola,,,,,2,1,,7,,,10
Anguilla,,,,,2,,,8,,,10
Antigua and Barbuda,,,,,2,,2,9,,,13
Argentina,,2,1,,3,1,,8,1,,16
Armenia,,,1,1,3,1,2,6,,,14
Aruba,,,,,2,1,,4,,,7
Australia,,3,2,2,5,1,2,7,1,2,25
Austria,,4,2,3,6,1,2,1,1,,20
Azerbaijan,,,1,,2,1,,6,,,10
Bahamas,,2,,,2,1,2,5,,,12
Bahrain,,3,1,,2,1,2,6,1,,16
Bangladesh,,3,,1,2,1,,8,1,,16
Barbados,,,1,1,2,,,5,,,9
Belarus,,3,1,,3,1,,3,,,11
Belgium,,3,1,3,5,1,2,2,1,,18
Belize,,3,1,,2,1,2,5,,,14
Benin,,3,,,2,1,,6,,,12
Bhutan,,2,,,2,1,,2,,,7
Bolivia,,3,1,1,2,1,2,10,,,20
Bosnia and Herzegovina,,,1,,1,1,,2,2,,7
Botswana,,3,,1,2,1,,6,1,,14
Brazil,7,3,1,1,3,1,2,7,2,,27
Brunei Darussalam,,3,1,,2,1,,2,,,9
Bulgaria,,3,1,1,4,1,2,6,1,,19
Burkina Faso,,3,,,2,1,,6,,,12
Burundi,,,,,2,1,2,2,,,7
Cambodia,,3,,,2,1,,2,,,8
Cameroon,,,,1,2,1,2,2,,,8
Canada,,3,2,3,3,1,2,8,2,4,28
Cape Verde,,,,,2,1,,4,,,7
Central African Republic,,,,,2,,2,2,,,6
Chad,,,,,2,,,2,,,4
Chile,,3,1,2,3,1,2,8,2,,22
China,,2,1,2,4,1,2,3,1,2,18
Colombia,,2,1,1,3,1,2,5,1,,16
Comoros,,,,,2,,,3,,,5
Congo,,,,,2,,,2,,,4
"Congo, the Democratic Republic of the",,,,,,1,2,6,,,9
Costa Rica,,3,1,,3,1,2,3,,,13
Cote d`Ivoire,,3,,1,2,,2,6,,,14
Croatia,,3,1,1,3,1,2,4,1,,16
Curacao,,,,,1,1,,,,,2
Cyprus,,3,1,3,4,1,2,1,,,15
Czech Republic,,3,2,3,4,1,2,6,1,,22
Denmark,,3,1,3,6,1,2,3,2,,21
Djibouti,,,,,2,1,,2,,,5
Dominica,,,,,2,,2,9,,,13
Dominican Republic,,3,1,,2,1,2,8,,,17
Ecuador,,2,1,1,3,1,1,3,,,12
Egypt,,,1,,3,1,,4,1,,10
El Salvador,,2,,,4,1,,2,,,9
Equatorial Guinea,,1,,,2,,2,2,,,7
Estonia,,4,1,2,4,1,,2,1,,15
Ethiopia,,,,,2,,,,,,2
Fiji,,2,,,2,1,2,7,2,,16
Finland,,4,2,3,7,1,2,2,1,,22
France,,3,2,3,8,1,2,3,2,,24
Gabon,,,,1,2,,2,2,,,7
Gambia,,,,,2,,2,5,,,9
Georgia,,3,1,,3,1,2,7,,,17
Germany,,3,1,3,6,1,2,1,1,,18
Ghana,,,,,2,1,2,6,,,11
Greece,,3,1,3,6,1,2,2,1,,19
Grenada,,,,,2,,2,9,,,13
Guatemala,,3,1,,2,1,,4,,,11
Guinea,,,,,2,,,2,,,4
Guinea-Bissau,,3,,,2,,,5,,,10
Guyana,,,,,2,1,2,5,,,10
Haiti,,,,,2,1,,6,,,9
Honduras,,3,,,2,1,,7,,,13
"Hong Kong, China",,3,1,2,3,1,1,5,1,,17
Hungary,,3,2,2,6,1,2,5,1,,22
Iceland,,3,1,3,2,1,2,5,1,,18
India,,4,,1,3,1,,4,1,,14
Indonesia,,3,1,1,4,1,,6,1,2,19
"Iran, Islamic Republic of",,,,1,3,,2,2,1,,9
Iraq,,,,1,2,1,1,8,,,13
Ireland,,3,2,3,4,1,2,2,1,,18
Israel,,3,2,3,3,1,2,5,1,,20
Italy,,3,2,3,4,1,2,5,1,,21
Jamaica,,3,1,,2,1,,6,1,,14
Japan,,3,2,3,5,1,2,8,1,,25
Jordan,,,,1,3,1,,6,,,11
Kazakhstan,,,1,,3,1,,2,,,7
Kenya,,,,,2,1,,8,1,,12
Kiribati,,,,,,1,,,,,1
"Korea, Republic of",,3,2,3,5,1,,6,2,,22
Kuwait,,3,,1,3,1,,4,1,,13
Kyrgyzstan,,3,1,,3,1,,11,,,19
Lao People`s Democratic Republic,,,,,2,1,,,,,3
Latvia,,3,2,1,4,1,2,5,1,,19
Lebanon,,,,,2,1,1,4,1,,9
Lesotho,,3,,,2,1,2,5,,,13
Liberia,,,,,2,1,,3,,,6
Libya,,,,1,2,,,3,,,6
Lithuania,,4,2,1,4,1,,5,1,,18
Luxembourg,,3,2,3,4,1,2,1,,,16
Macao,,3,1,,2,1,,3,,,10
"Macedonia, The Former Yugoslav Republic of",,3,1,1,3,1,2,5,,,16
Madagascar,,3,,,2,,,3,,,8
Malawi,,,,,2,1,2,4,,,9
Malaysia,,3,2,1,3,1,2,7,2,1,22
Maldives,,3,,,2,1,,9,2,,17
Mali,,3,,,2,1,,6,,,12
Malta,,4,1,2,3,1,2,2,,,15
Marshall islands,,,,,,1,,,,,1
Mauritania,,,,,2,1,,4,,,7
Mauritius,,3,1,,4,1,,7,1,,17
Mexico,,3,1,5,5,1,2,7,2,,26
"Micronesia, Federated States of",,,,,,1,,3,,,4
"Moldova, Republic of",,,1,,2,1,2,8,,,14
Mongolia,,,,,2,1,,5,,,8
Montenegro,,,1,1,3,1,,3,1,,10
Montserrat,,,,,1,,,6,,,7
Morocco,,3,1,3,3,1,2,5,1,,19
Mozambique,,3,,,2,1,,5,,,11
Myanmar,,,,,2,1,,4,,,7
Nepal,,3,,,2,1,,4,,,10
Netherlands,,3,1,3,4,1,2,1,1,,16
New Zealand,,3,2,3,5,1,2,6,1,,23
Nicaragua,,3,,1,2,1,2,6,,,15
Niger,,3,,,2,,,6,,,11
Nigeria,,,,,2,1,2,4,,,9
Norway,,3,1,3,3,1,2,2,1,,16
Oman,,3,,1,2,1,1,6,,,14
Pakistan,,3,1,1,3,1,2,5,1,,17
Palau,,,,,,1,,,,,1
"Palestine, State of",,,1,,1,1,,2,,,5
Panama,,3,1,,3,1,,4,,,12
Papua New Guinea,,,1,,2,1,2,9,1,,16
Paraguay,,3,1,,3,1,2,9,,,19
Peru,,3,2,1,3,1,,10,1,,21
Philippines,4,3,1,1,3,1,2,10,2,1,28
Poland,,3,2,2,4,1,2,6,4,,24
Portugal,,3,1,3,4,1,2,1,1,,16
Qatar,,3,,1,2,1,1,5,1,,14
Romania,,3,1,1,4,1,2,6,,,18
Russian Federation,,3,2,1,3,1,2,5,2,1,20
Rwanda,,,,,2,1,,5,,,8
Saint Kitts and Nevis,,,,,2,,2,8,,,12
Saint Lucia,,,1,,2,,2,8,,,13
Saint Vincent and the Grenadines,,,,,2,,2,8,,,12
Samoa,,,,,2,1,2,2,,,7
San Marino,,,1,,1,,,2,,,4
Sao Tome and Principe,,,,,2,1,,3,,,6
Saudi Arabia,,3,1,1,3,1,2,5,1,,17
Senegal,,3,,1,3,1,,6,,,14
Serbia,,2,,1,2,1,,5,1,,12
Seychelles,,,,,2,1,,5,,,8
Sierra Leone,,3,1,,2,1,2,5,,,14
Singapore,,3,1,1,5,1,2,5,2,,20
Sint Maarten (Dutch part),,,,,1,1,,,,,2
Slovakia,,3,2,3,4,1,2,1,1,,17
Slovenia,,3,2,3,4,1,,2,1,,16
Solomon Islands,,1,,,2,1,2,5,,,11
South Africa,,3,3,3,3,1,2,7,3,2,27
South Sudan,,3,,,2,1,,3,,,9
