country,region
Argentina,Americas
Brazil,Americas
Colombia,Americas
Mexico,Americas
China,Asia
India,Asia
Indonesia,Asia
Philippines,Asia
Thailand,Asia
Viet Nam,Asia
Nigeria,Africa
South Africa,Africa
Senegal,Africa
Bulgaria,Europe
Romania,Europe
Russian Federation,Europe
Poland,Europe
Egypt,Middle East
Turkey,Middle East
Algeria,Middle East
Chile,Americas
Greece,Europe
Hungary,Europe
Gambia,Africa
Seychelles,Africa
Mauritius,Africa
Kenya,Africa
Malaysia,Asia
Fiji,Asia
Peru,Americas
Japan,Asia
France,Europe
Italy,Europe
United States,Americas
Germany,Europe
Canada,Americas
Spain,Europe
Costa Rica,Americas
Lebanon,Middle East
Jordan,Middle East
Bahrain,Middle East
Australia,Asia
Austria,Europe
Ukraine,Europe
Netherlands,Europe
Ireland,Europe
"Korea, Republic of",Asia
Uruguay,Americas
Tanzania,Africa
United Arab Emirates,Middle East
Saudi Arabia,Middle East
Portugal,Europe
Jamaica,Americas
Serbia,Europe
Norway,Europe
Denmark,Europe
Sri Lanka,Asia
Mongolia,Asia
Honduras,Americas
Oman,Middle East
Qatar,Middle East
Slovenia,Europe
Slovak Republic,Europe
Lithuania,Europe
Mozambique,Africa
New Zealand,Asia
Panama,Americas
Nepal,Asia
Ethiopia,Africa
Ecuador,Americas
Ghana,Africa
Kuwait,Middle East
United Kingdom,Europe
Great Britain,Europe
