A,mark,max,min,neg
Germany,0.37,1.8899999999999999,0,-0.14999999999999999
Netherlands,0.54100000000000004,2.2949999999999999,0.027,0
Austria,0.60619999999999996,2.2363999999999997,0.10680000000000001,0
Ireland,0.66000000000000003,4.2699999999999996,0.40000000000000002,0
Belgium,0.68999999999999995,2.6000000000000001,0.14999999999999999,0
France,0.81000000000000005,2.3400000000000003,0.14999999999999999,0
Spain,1.605,4.6820000000000004,1.008,0
Italy,2.0739999999999998,3.6749999999999998,1.1759999999999999,0
Portugal,2.3220000000000001,6.5780000000000003,1.742,0
Greece,5.5899999999999999,11.869999999999999,5.3300000000000001,0
