date,EPS,Profit,Shares,EPS_TTM,Price,PE_ratio
2011-03-31,0.44,201000000.0,459000000.0,,180.13,
2011-06-30,0.41,191000000.0,460000000.0,,204.49,
2011-09-30,0.14,63000000.0,461000000.0,,216.23,
2011-12-31,0.38,176000000.0,-919000000.0,1.37,173.1,126.350364964
2012-03-31,0.28,130000000.0,460000000.0,1.21,202.51,167.363636364
2012-06-30,0.01,7000000.0,458000000.0,0.81,228.35,281.913580247
2012-09-30,-0.6,-274000000.0,460000000.0,0.07,254.32,3633.14285714
2012-12-31,0.22,98000000.0,-925000000.0,-0.09,250.87,-2787.44444444
2013-03-31,0.18,82000000.0,463000000.0,-0.19,266.49,-1402.57894737
2013-06-30,-0.02,-7000000.0,456000000.0,-0.22,277.69,-1262.22727273
2013-09-30,-0.09,-41000000.0,457000000.0,0.29,312.64,1078.06896552
2013-12-31,0.52,240000000.0,-911000000.0,0.59,398.79,675.915254237
2014-03-31,0.23,108000000.0,468000000.0,0.64,336.365,525.5703125
2014-06-30,-0.27,-126000000.0,461000000.0,0.39,324.78,832.769230769
2014-09-30,-0.95,-437000000.0,463000000.0,-0.47,322.44,-686.042553191
2014-12-31,0.47,214000000.0,-930000000.0,-0.52,310.35,-596.826923077
2015-03-31,-0.12,-57000000.0,465000000.0,-0.87,372.1,-427.701149425
2015-06-30,0.19,92000000.0,476000000.0,-0.41,434.09,-1058.75609756
2015-09-30,0.17,79000000.0,478000000.0,0.71,511.67,720.661971831
2015-12-31,1.01,482000000.0,-942000000.0,1.25,675.89,540.712
2016-03-31,1.07,513000000.0,481000000.0,2.44,593.64,243.295081967
2016-06-30,1.78,857000000.0,483000000.0,4.03,715.62,177.573200993
2016-09-30,0.52,252000000.0,485000000.0,4.38,837.31,191.166666667
2016-12-31,1.53,749000000.0,-965000000.0,4.9,749.87,153.034693878
2017-03-31,1.48,724000000.0,490000000.0,5.31,886.54,166.956685499
