fips_county,state,county_name,pop,gov_name,gov_party,issuer_name,issuer_number,INTPTLAT,INTPTLONG
2013,AK,"Aleutians East Borough, Alaska",3296,Bill Walker,Independent,1.0,1,55.245044,-161.997477
2016,AK,"Aleutians West Census Area, Alaska",5647,Bill Walker,Independent,1.0,1,51.959447,178.338813
2020,AK,"Anchorage Municipality, Alaska",298192,Bill Walker,Independent,1.0,1,61.17425,-149.284329
2050,AK,"Bethel Census Area, Alaska",17968,Bill Walker,Independent,1.0,1,60.929141,-160.152625
2060,AK,"Bristol Bay Borough, Alaska",898,Bill Walker,Independent,1.0,1,58.730158,-156.996632
2068,AK,"Denali Borough, Alaska",1953,Bill Walker,Independent,1.0,1,63.681106,-150.026544
2070,AK,"Dillingham Census Area, Alaska",4954,Bill Walker,Independent,1.0,1,60.29732,-158.094726
2090,AK,"Fairbanks North Star Borough, Alaska",100605,Bill Walker,Independent,1.0,1,64.692317,-146.601733
2100,AK,"Haines Borough, Alaska",2496,Bill Walker,Independent,1.0,1,59.098771,-135.576936
2105,AK,"Hoonah-Angoon Census Area, Alaska",2078,Bill Walker,Independent,1.0,1,58.403336,-135.884909
2110,AK,"Juneau City and Borough, Alaska",32468,Bill Walker,Independent,1.0,1,58.37291,-134.178445
2122,AK,"Kenai Peninsula Borough, Alaska",58506,Bill Walker,Independent,1.0,1,60.366668,-152.322283
2130,AK,"Ketchikan Gateway Borough, Alaska",13746,Bill Walker,Independent,1.0,1,55.449938,-131.106685
2150,AK,"Kodiak Island Borough, Alaska",13732,Bill Walker,Independent,1.0,1,57.502015,-153.563512
2164,AK,"Lake and Peninsula Borough, Alaska",1562,Bill Walker,Independent,1.0,1,58.205065,-156.705188
2170,AK,"Matanuska-Susitna Borough, Alaska",104365,Bill Walker,Independent,1.0,1,62.279075,-149.617562
2180,AK,"Nome Census Area, Alaska",9917,Bill Walker,Independent,1.0,1,64.783686,-164.188912
2185,AK,"North Slope Borough, Alaska",9606,Bill Walker,Independent,1.0,1,69.449343,-153.47283
2188,AK,"Northwest Arctic Borough, Alaska",7673,Bill Walker,Independent,1.0,1,67.005066,-160.021086
2195,AK,"Petersburg Borough, Alaska",3149,Bill Walker,Independent,1.0,1,57.112458,-133.008598
2198,AK,"Prince of Wales-Hyder Census Area, Alaska",6347,Bill Walker,Independent,1.0,1,55.682773,-133.162389
2220,AK,"Sitka City and Borough, Alaska",8830,Bill Walker,Independent,1.0,1,57.193204,-135.367396
2230,AK,"Skagway Municipality, Alaska",1088,Bill Walker,Independent,1.0,1,59.575097,-135.335418
2240,AK,"Southeast Fairbanks Census Area, Alaska",6876,Bill Walker,Independent,1.0,1,63.864997,-143.218628
2261,AK,"Valdez-Cordova Census Area, Alaska",9355,Bill Walker,Independent,1.0,1,61.34984,-145.023141
2275,AK,"Wrangell City and Borough, Alaska",2411,Bill Walker,Independent,1.0,1,56.180779,-132.026788
