fips_county,gov,state,county,pop
48301,Republican,TX,"Loving County, Texas",113
48269,Republican,TX,"King County, Texas",289
48261,Republican,TX,"Kenedy County, Texas",404
31005,Republican,NE,"Arthur County, Nebraska",469
31009,Republican,NE,"Blaine County, Nebraska",484
30069,Democratic,MT,"Petroleum County, Montana",489
31117,Republican,NE,"McPherson County, Nebraska",493
31115,Republican,NE,"Loup County, Nebraska",591
2282,Independent,AK,"Yakutat City and Borough, Alaska",601
48033,Republican,TX,"Borden County, Texas",633
31075,Republican,NE,"Grant County, Nebraska",641
35021,Republican,NM,"Harding County, New Mexico",665
30103,Democratic,MT,"Treasure County, Montana",692
31091,Republican,NE,"Hooker County, Nebraska",708
31171,Republican,NE,"Thomas County, Nebraska",716
38087,Republican,ND,"Slope County, North Dakota",763
48263,Republican,TX,"Kent County, Texas",769
31113,Republican,NE,"Logan County, Nebraska",772
31183,Republican,NE,"Wheeler County, Nebraska",776
32009,Republican,NV,"Esmeralda County, Nevada",790
31103,Republican,NE,"Keya Paha County, Nebraska",791
31007,Republican,NE,"Banner County, Nebraska",798
48311,Republican,TX,"McMullen County, Texas",804
48443,Republican,TX,"Terrell County, Texas",812
30037,Democratic,MT,"Golden Valley County, Montana",831
31085,Republican,NE,"Hayes County, Nebraska",897
2060,Independent,AK,"Bristol Bay Borough, Alaska",898
48393,Republican,TX,"Roberts County, Texas",916
46075,Republican,SD,"Jones County, South Dakota",927
38007,Republican,ND,"Billings County, North Dakota",934
2230,Independent,AK,"Skagway Municipality, Alaska",1088
30109,Democratic,MT,"Wibaux County, Montana",1093
49009,Republican,UT,"Daggett County, Utah",1095
48345,Republican,TX,"Motley County, Texas",1160
30079,Democratic,MT,"Prairie County, Montana",1182
48155,Republican,TX,"Foard County, Texas",1183
30011,Democratic,MT,"Carter County, Montana",1203
31165,Republican,NE,"Sioux County, Nebraska",1242
46063,Republican,SD,"Harding County, South Dakota",1278
28055,Republican,MS,"Issaquena County, Mississippi",1294
20071,Republican,KS,"Greeley County, Kansas",1296
30033,Democratic,MT,"Garfield County, Montana",1310
48173,Republican,TX,"Glasscock County, Texas",1314
38083,Republican,ND,"Sheridan County, North Dakota",1322
41069,Democratic,OR,"Wheeler County, Oregon",1344
46069,Republican,SD,"Hyde County, South Dakota",1352
48431,Republican,TX,"Sterling County, Texas",1367
46021,Republican,SD,"Campbell County, South Dakota",1378
31149,Republican,NE,"Rock County, Nebraska",1390
48101,Republican,TX,"Cottle County, Texas",1402
46119,Republican,SD,"Sully County, South Dakota",1421
48433,Republican,TX,"Stonewall County, Texas",1426
49031,Republican,UT,"Piute County, Utah",1466
48045,Republican,TX,"Briscoe County, Texas",1474
20199,Republican,KS,"Wallace County, Kansas",1497
48447,Republican,TX,"Throckmorton County, Texas",1533
48235,Republican,TX,"Irion County, Texas",1557
2164,Independent,AK,"Lake and Peninsula Borough, Alaska",1562
13265,Republican,GA,"Taliaferro County, Georgia",1593
20101,Republican,KS,"Lane County, Kansas",1636
30055,Democratic,MT,"McCone County, Montana",1700
