date,value
1980-01-01,44.8
1980-02-01,45.3
1980-03-01,46.0
1980-04-01,46.1
1980-05-01,46.4
1980-06-01,46.4
1980-07-01,46.3
1980-08-01,46.1
1980-09-01,46.3
1980-10-01,46.8
1980-11-01,46.4
1980-12-01,47.0
1981-01-01,46.6
1981-02-01,47.2
1981-03-01,47.9
1981-04-01,48.4
1981-05-01,48.7
1981-06-01,49.5
1981-07-01,50.7
1981-08-01,51.6
1981-09-01,52.9
1981-10-01,52.9
1981-11-01,52.8
1981-12-01,52.7
1982-01-01,52.9
1982-02-01,53.4
1982-03-01,53.4
1982-04-01,53.7
1982-05-01,53.9
1982-06-01,54.1
1982-07-01,54.2
1982-08-01,54.6
1982-09-01,55.0
1982-10-01,55.7
1982-11-01,55.8
1982-12-01,56.3
1983-01-01,57.2
1983-02-01,58.2
1983-03-01,59.4
1983-04-01,59.5
1983-05-01,59.2
1983-06-01,58.7
1983-07-01,58.9
1983-08-01,59.4
1983-09-01,59.5
1983-10-01,60.0
1983-11-01,60.5
1983-12-01,60.8
1984-01-01,61.5
1984-02-01,62.1
1984-03-01,62.7
1984-04-01,63.4
1984-05-01,63.9
1984-06-01,63.8
1984-07-01,64.7
1984-08-01,65.5
1984-09-01,66.1
1984-10-01,66.8
1984-11-01,67.4
1984-12-01,67.6
1985-01-01,70.0
1985-02-01,71.0
1985-03-01,71.8
1985-04-01,70.5
1985-05-01,69.2
1985-06-01,68.1
1985-07-01,67.2
1985-08-01,65.7
1985-09-01,65.6
1985-10-01,65.3
1985-11-01,64.7
1985-12-01,64.8
1986-01-01,64.7
1986-02-01,64.8
1986-03-01,65.3
1986-04-01,64.4
1986-05-01,63.3
1986-06-01,63.0
1986-07-01,62.9
1986-08-01,63.4
1986-09-01,64.7
1986-10-01,66.0
1986-11-01,66.6
1986-12-01,67.3
1987-01-01,67.6
1987-02-01,67.8
1987-03-01,67.8
1987-04-01,66.5
1987-05-01,66.0
1987-06-01,65.9
1987-07-01,66.3
1987-08-01,66.5
1987-09-01,66.4
1987-10-01,66.8
1987-11-01,66.3
1987-12-01,65.6
1988-01-01,64.9
1988-02-01,66.3
1988-03-01,66.7
1988-04-01,65.5
1988-05-01,65.0
1988-06-01,65.5
1988-07-01,66.8
1988-08-01,65.9
1988-09-01,66.7
1988-10-01,66.2
1988-11-01,66.3
1988-12-01,66.0
1989-01-01,65.9
1989-02-01,66.3
1989-03-01,67.1
1989-04-01,67.7
1989-05-01,68.4
1989-06-01,69.9
