,status,usexports,date,wexports,chexports,jpexports,usshare,chinashare,japanshare,ussharema,chsharema,jpsharema
1972-01-01,,3877000000,1972-01,23623547416.6667,0,1535600000,16.4115910774,0.0,6.50029385052,,,
1972-02-01,,3820000000,1972-02,25179651416.6667,0,2008600000,15.1709804746,0.0,7.97707627783,,,
1972-03-01,,4345000000,1972-03,28555039416.6667,0,2509900000,15.2162283392,0.0,8.78969194676,,,
1972-04-01,,3940000000,1972-04,26308095416.6667,0,2206300000,14.9763787062,0.0,8.38639196436,,,
1972-05-01,,4198000000,1972-05,28254685416.6667,0,2098200000,14.8577127584,0.0,7.4260249904,,,
1972-06-01,,4056000000,1972-06,28394378416.6667,0,2204700000,14.2845176622,0.0,7.76456511091,,,
1972-07-01,,3734000000,1972-07,25777052416.6667,0,2449900000,14.4857524423,0.0,9.50418985227,,,
1972-08-01,,3992000000,1972-08,24654285416.6667,0,2423200000,16.1919111933,0.0,9.82871723535,,,
1972-09-01,,4006000000,1972-09,27437560416.6667,0,2641700000,14.6004234311,0.0,9.62804258062,,,
1972-10-01,,4514000000,1972-10,30736132416.6667,0,2526300000,14.6862979987,0.0,8.21931648964,,,
1972-11-01,,4617000000,1972-11,30313061416.6667,0,2527700000,15.2310581123,0.0,8.3386496839,,,
1972-12-01,,4727000000,1972-12,32648592416.6667,0,3330000000,14.4784189765,0.0,10.1995208783,15.0492725977,0.0,8.54687340507
1973-01-01,,4773000000,1973-01,29858420333.3333,0,1828200000,15.9854404443,0.0,6.12289591877,15.0137600449,0.0,8.51542357742
1973-02-01,,4915000000,1973-02,32011014333.3333,0,2873200000,15.3540901542,0.0,8.97566059632,15.0290191849,0.0,8.5986389373
1973-03-01,,5969000000,1973-03,36520732333.3333,0,2999200000,16.3441410362,0.0,8.21232162769,15.1230119096,0.0,8.55052474404
1973-04-01,,5595000000,1973-04,34455882000,0,2819500000,16.2381563763,0.0,8.18292795407,15.2281600488,0.0,8.53356940985
1973-05-01,,6071000000,1973-05,39054150000,0,2830700000,15.5450829169,0.0,7.2481413627,15.2854408954,0.0,8.51874577421
1973-06-01,,5908000000,1973-06,38648613000,0,2993800000,15.2864476663,0.0,7.74620294912,15.3689350624,0.0,8.51721559406
1973-07-01,,5399000000,1973-07,40347610333.3333,0,3322300000,13.3812137953,0.0,8.23419273794,15.2768901751,0.0,8.4113825012
1973-08-01,,5816000000,1973-08,37238455333.3333,0,2988000000,15.6182632924,0.0,8.02396332838,15.2290861834,0.0,8.26098634228
1973-09-01,,6013000000,1973-09,39999070333.3333,0,3326000000,15.0328493885,0.0,8.31519325895,15.2651216798,0.0,8.15158223215
1973-10-01,,6799000000,1973-10,45660418333.3333,0,3340000000,14.8903585385,0.0,7.31486946882,15.2821267248,0.0,8.07621164708
1973-11-01,,7135000000,1973-11,44267300333.3333,0,3464000000,16.1179921664,0.0,7.82518918912,15.356037896,0.0,8.03342327251
1973-12-01,,6971000000,1973-12,43516094333.3333,0,4214900000,16.0193604385,0.0,9.68584167438,15.4844496845,0.0,7.99061667219
1974-01-01,,6878000000,1974-01,41514201666.6667,0,2554400000,16.56782432,0.0,6.15307508623,15.5329816741,0.0,7.99313160281
1974-02-01,,7341000000,1974-02,43990388666.6667,0,3497700000,16.6877361681,0.0,7.95105500545,15.6441188419,0.0,7.90774780357
1974-03-01,,8556000000,1974-03,51420806666.6667,0,4276300000,16.6391788745,0.0,8.31628338256,15.6687053285,0.0,7.91641128314
1974-04-01,,8418000000,1974-04,52051122333.3333,0,4264200000,16.1725619403,0.0,8.19233055666,15.6632391255,0.0,7.91719483336
1974-05-01,,8489000000,1974-05,55644305333.3333,0,4624100000,15.2558288744,0.0,8.31010464108,15.6391346219,0.0,8.00569177322
1974-06-01,,8388000000,1974-06,51416784333.3333,0,4852500000,16.3137390032,0.0,9.43757969876,15.7247422333,0.0,8.14663983569
1974-07-01,,7703000000,1974-07,54773006333.3333,0,5183200000,14.0634968129,0.0,9.46305552128,15.7815991515,0.0,8.24904506764
1974-08-01,,8001000000,1974-08,49031325333.3333,0,5025700000,16.3181393642,0.0,10.2499778781,15.8399221575,0.0,8.43454628012
1974-09-01,,7681000000,1974-09,50634846333.3333,0,4757900000,15.1693953003,0.0,9.39649341222,15.8513009834,0.0,8.52465462622
1974-10-01,,8994000000,1974-10,57344858333.3333,0,5441000000,15.6840565334,0.0,9.48820898357,15.917442483,0.0,8.70576625245
1974-11-01,,9396000000,1974-11,54979962333.3333,0,5101400000,17.0898625631,0.0,9.27865313743,15.9984316827,0.0,8.82688824814
1974-12-01,,8711000000,1974-12,57393359333.3333,0,5920500000,15.1777141139,0.0,10.3156533592,15.928294489,0.0,8.87937255521
1975-01-01,,9204000000,1975-01,53393821333.3333,0,3700700000,17.2379495795,0.0,6.93095176106,15.9841382607,0.0,8.94419561144
1975-02-01,,8551000000,1975-02,53376013333.3333,0,4520600000,16.0203047511,0.0,8.46934740474,15.9285189759,0.0,8.98738664472
1975-03-01,,9472000000,1975-03,55723724333.3333,0,5080000000,16.9981459662,0.0,9.11640429777,15.9584329002,0.0,9.05406338765
1975-04-01,,9080000000,1975-04,57123582000,0,4807100000,15.8953617439,0.0,8.41526359464,15.9353328838,0.0,9.07264114082
1975-05-01,,8966000000,1975-05,55064574000,0,4400400000,16.2827011065,0.0,7.99134485268,16.0209055699,0.0,9.04607782512
1975-06-01,,8690000000,1975-06,56301860000,0,4437600000,15.4346588194,0.0,7.88179999737,15.9476488879,0.0,8.91642951667
1975-07-01,,8275000000,1975-07,53910769666.6667,0,4794100000,15.3494376934,0.0,8.89265731067,16.0548106279,0.0,8.86889633245
1975-08-01,,8479000000,1975-08,46508232666.6667,0,4375300000,18.2311808337,0.0,9.40758173152,16.2142307504,0.0,8.79869665357
1975-09-01,,8433000000,1975-09,51405508666.6667,0,4529700000,16.4048566364,0.0,8.81170154228,16.3171858617,0.0,8.74996399774
1975-10-01,,9747000000,1975-10,57836034000,0,4874400000,16.8528153227,0.0,8.42796378465,16.4145824275,0.0,8.66161023116
1975-11-01,,9537000000,1975-11,54201275000,0,4419600000,17.5955270425,0.0,8.15405172664,16.4567211341,0.0,8.56789344693
1975-12-01,,9268000000,1975-12,59515002000,0,5794600000,15.5725442133,0.0,9.73636865542,16.4896236424,0.0,8.51961972162
1976-01-01,,8785800000,1976-01,52915339333.3333,0,3660500000,16.6035030876,0.0,6.91765383369,16.4367531014,0.0,8.51851156101
1976-02-01,,8746400000,1976-02,55190691333.3333,0,4807800000,15.8476000005,0.0,8.71125163293,16.4223610388,0.0,8.53867024669
1976-03-01,,9858600000,1976-03,63355780333.3333,0,5975000000,15.5606954064,0.0,9.43086797852,16.3025734922,0.0,8.56487555342
1976-04-01,,9846300000,1976-04,60353621000,0,5339300000,16.3143483968,0.0,8.84669372199,16.3374890466,0.0,8.60082806403
1976-05-01,,9997700000,1976-05,61640110000,0,5343500000,16.2194713799,0.0,8.66886837158,16.3322199027,0.0,8.65728835727
1976-06-01,,9867500000,1976-06,63828017000,0,5739200000,15.4595120823,0.0,8.99166270511,16.3342910079,0.0,8.74977691625
1976-07-01,,9337400000,1976-07,61849557000,0,5973900000,15.0969553428,0.0,9.65875956072,16.3132508121,0.0,8.81361877042
1976-08-01,,8903900000,1976-08,56631764000,0,5438800000,15.7224486244,0.0,9.60379761436,16.1041897946,0.0,8.82997009399
1976-09-01,,9212100000,1976-09,64194842000,0,6127600000,14.3502183555,0.0,9.5453151828,15.9329699379,0.0,8.89110456403
1976-10-01,,10107600000,1976-10,66433618333.3333,0,6052700000,15.2145860087,0.0,9.1108991981,15.7964508284,0.0,8.94801584849
1976-11-01,,9694800000,1976-11,66021571333.3333,0,5606400000,14.684291519,0.0,8.49177001816,15.5538478681,0.0,8.97615903945
1976-12-01,,10747300000,1976-12,72774507333.3333,0,7263300000,14.7679460759,0.0,9.98055537048,15.4867980233,0.0,8.99650793237
1977-01-01,,9147700000,1977-01,61159674333.3333,0,4763900000,14.9570776818,0.0,7.78928281082,15.3495959062,0.0,9.06914368046
1977-02-01,,9338100000,1977-02,63619808333.3333,0,5922500000,14.6779756881,0.0,9.30920754896,15.2521272135,0.0,9.11897334013
1977-03-01,,11066000000,1977-03,76776231333.3333,0,7209300000,14.4133149125,0.0,9.39001547067,15.1565121723,0.0,9.11556896448
1977-04-01,,10563000000,1977-04,70094236666.6667,0,6868100000,15.0697125788,0.0,9.7983804755,15.0527925208,0.0,9.19487619394
1977-05-01,,10974900000,1977-05,72179913666.6667,0,6132400000,15.204922592,0.0,8.49599242848,14.9682467885,0.0,9.18046986535
1977-06-01,,10291700000,1977-06,74214015666.6667,0,6731400000,13.8675961778,0.0,9.07025437113,14.8355871298,0.0,9.18701917085
