date,durable,semidur,nondur,services,total,durable_ch,semidur_ch,nondur_ch,services_ch,total_ch
2006-01-01,15705.9,14966.6,79939.7,166941.3,277553.5,0.52,0.26,-0.72,1.32,1.37
2006-04-01,15682.1,15100.0,78886.3,168047.8,277716.19999999995,-0.03,0.19,-1.52,1.59,0.23
2006-07-01,14882.4,15238.1,77848.9,168324.2,276293.6,-1.15,0.2,-1.49,0.4,-2.05
2006-10-01,16404.6,15476.1,78064.7,169160.2,279105.6,2.2,0.34,0.31,1.21,4.07
2007-01-01,16401.7,15069.5,77262.6,171010.9,279744.7,-0.0,-0.58,-1.15,2.65,0.92
2007-04-01,16642.1,15458.3,77775.9,171697.7,281574.0,0.34,0.56,0.73,0.98,2.62
2007-07-01,15695.7,15049.3,77702.5,171351.1,279798.6,-1.34,-0.58,-0.1,-0.49,-2.52
2007-10-01,16620.5,14977.7,77817.4,170666.6,280082.2,1.32,-0.1,0.16,-0.98,0.41
2008-01-01,17419.6,15216.2,78411.9,170035.0,281082.7,1.14,0.34,0.85,-0.9,1.43
2008-04-01,17722.4,14739.1,77186.9,167810.5,277458.9,0.43,-0.68,-1.74,-3.17,-5.16
2008-07-01,17751.7,14843.6,76663.8,167355.7,276614.80000000005,0.04,0.15,-0.75,-0.66,-1.22
2008-10-01,16755.7,14350.8,74179.5,167473.5,272759.5,-1.44,-0.71,-3.59,0.17,-5.57
2009-01-01,15964.9,14675.3,74836.2,165864.5,271340.9,-1.16,0.48,0.96,-2.36,-2.08
2009-04-01,17100.3,14381.9,75731.4,167045.6,274259.2,1.67,-0.43,1.32,1.74,4.3
2009-07-01,18470.9,14100.2,75981.0,167156.2,275708.30000000005,2.0,-0.41,0.36,0.16,2.11
2009-10-01,19648.3,13973.6,76590.8,167299.6,277512.30000000005,1.71,-0.18,0.88,0.21,2.62
2010-01-01,20768.9,13709.7,76775.9,166560.9,277815.4,1.62,-0.38,0.27,-1.06,0.44
2010-04-01,21091.1,13808.3,77941.6,167094.5,279935.5,0.46,0.14,1.68,0.77,3.05
2010-07-01,22500.8,13768.6,80096.3,167483.8,283849.5,2.01,-0.06,3.08,0.56,5.59
2010-10-01,22448.9,13824.3,76157.4,167396.3,279826.89999999997,-0.07,0.08,-5.55,-0.12,-5.67
2011-01-01,20196.9,13590.8,75646.8,164613.7,274048.2,-3.22,-0.33,-0.73,-3.98,-8.26
2011-04-01,21307.4,13869.6,75045.3,166548.2,276770.5,1.62,0.41,-0.88,2.82,3.97
2011-07-01,21866.6,14255.1,76494.7,168314.6,280931.0,0.81,0.56,2.09,2.55,6.01
2011-10-01,22779.4,14159.2,75868.4,169358.3,282165.3,1.3,-0.14,-0.89,1.49,1.76
2012-01-01,22994.2,13920.7,77385.4,169086.5,283386.8,0.3,-0.34,2.15,-0.39,1.73
2012-04-01,23902.1,13958.5,76732.5,169498.1,284091.2,1.28,0.05,-0.92,0.58,0.99
2012-07-01,23899.6,13820.6,76421.1,169566.7,283708.0,-0.0,-0.19,-0.44,0.1,-0.54
2012-10-01,22233.4,14151.0,78340.9,170040.1,284765.4,-2.35,0.47,2.71,0.67,1.49
2013-01-01,24421.1,14894.2,78314.2,171139.9,288769.4,3.07,1.04,-0.04,1.54,5.62
2013-04-01,25219.7,15617.7,78753.4,172236.3,291827.1,1.11,1.0,0.61,1.52,4.24
2013-07-01,25872.8,15644.7,78464.8,172936.0,292918.3,0.9,0.04,-0.4,0.96,1.5
2013-10-01,26511.6,15757.2,77707.4,172768.5,292744.7,0.87,0.15,-1.03,-0.23,-0.24
2014-01-01,29730.2,16540.2,79107.2,173643.0,299020.6,4.4,1.07,1.91,1.19,8.58
2014-04-01,25127.9,15130.0,74003.5,171053.4,285314.8,-6.16,-1.89,-6.83,-3.46,-18.33
2014-07-01,24560.2,15426.7,75231.3,171776.4,286994.6,-0.8,0.42,1.72,1.01,2.36
2014-10-01,25175.7,15690.6,75489.4,172500.0,288855.7,0.86,0.37,0.36,1.01,2.59
2015-01-01,25081.6,15951.8,76763.1,173002.1,290798.6,-0.13,0.36,1.76,0.7,2.69
2015-04-01,24545.5,15528.8,76348.4,174054.6,290477.3,-0.74,-0.58,-0.57,1.45,-0.44
2015-07-01,25228.1,16004.2,76443.1,174066.7,291742.10000000003,0.94,0.65,0.13,0.02,1.74
2015-10-01,23396.0,15370.0,76350.4,174507.0,289623.4,-2.51,-0.87,-0.13,0.6,-2.9
2016-01-01,24629.4,14944.6,76765.6,174371.4,290711.0,1.7,-0.59,0.57,-0.19,1.5
2016-04-01,24942.3,14449.7,76150.1,174064.6,289606.7,0.43,-0.68,-0.85,-0.42,-1.52
2016-07-01,25893.2,14337.6,76206.0,174514.2,290951.0,1.31,-0.15,0.08,0.62,1.86
2016-10-01,25853.8,14108.6,75993.9,174855.7,290812.0,-0.05,-0.31,-0.29,0.47,-0.19
2017-01-01,26732.5,14634.1,75705.2,175603.2,292675.0,1.21,0.72,-0.4,1.03,2.56
2017-04-01,27188.3,14329.8,76769.5,176866.6,295154.2,0.62,-0.42,1.45,1.73,3.39
2017-07-01,26711.8,14455.5,76405.1,175651.9,293224.3,-0.65,0.17,-0.49,-1.65,-2.62
2017-10-01,27267.4,14635.5,76175.0,176467.2,294545.1,0.76,0.25,-0.31,1.11,1.8
2018-01-01,26986.0,14371.8,75752.9,176898.4,294009.1,-0.38,-0.36,-0.57,0.59,-0.73
2018-04-01,27691.3,14384.9,75664.0,178399.5,296139.7,0.96,0.02,-0.12,2.04,2.9
