date,cab,goods,serv,income,transfers,ex,im
2006-01-01,3.87,1.97,-0.6,2.73,-0.23,17319.0,14729.1
2006-04-01,3.53,1.95,-0.76,2.59,-0.25,17508.2,14946.8
2006-07-01,3.69,1.93,-0.78,2.78,-0.23,18181.5,15649.9
2006-10-01,4.42,2.55,-0.71,2.81,-0.23,18860.2,15470.0
2007-01-01,4.76,2.64,-0.75,3.13,-0.26,19385.8,15861.0
2007-04-01,4.64,2.51,-0.84,3.2,-0.23,19648.3,16296.9
2007-07-01,4.64,2.85,-0.86,2.92,-0.28,20254.1,16475.4
2007-10-01,4.81,2.84,-0.84,3.08,-0.27,20827.4,17063.9
2008-01-01,4.35,2.26,-0.9,3.22,-0.23,20509.3,17509.5
2008-04-01,2.92,1.28,-0.68,2.56,-0.24,20015.4,18333.4
2008-07-01,2.28,0.62,-0.71,2.69,-0.31,20918.8,20122.8
2008-10-01,1.77,0.19,-0.7,2.54,-0.26,16196.2,15948.0
2009-01-01,1.57,-0.1,-0.71,2.58,-0.21,10777.3,10896.4
2009-04-01,2.8,1.17,-0.68,2.59,-0.27,11997.5,10563.1
2009-07-01,2.95,1.25,-0.63,2.55,-0.22,13522.3,11998.0
2009-10-01,3.84,2.06,-0.62,2.61,-0.21,15020.2,12483.5
2010-01-01,4.0,2.01,-0.6,2.77,-0.19,15509.6,13007.3
2010-04-01,3.63,1.85,-0.59,2.58,-0.22,16225.6,13910.9
2010-07-01,3.78,1.77,-0.44,2.72,-0.27,16088.2,13857.5
2010-10-01,4.06,1.91,-0.49,2.86,-0.21,16644.9,14261.7
2011-01-01,3.16,0.95,-0.51,3.03,-0.32,16046.7,14881.0
2011-04-01,1.59,-0.74,-0.53,3.08,-0.22,14884.5,15783.7
2011-07-01,2.06,-0.04,-0.6,2.92,-0.23,16272.2,16316.0
2011-10-01,1.55,-0.55,-0.62,2.95,-0.22,15847.8,16533.5
2012-01-01,1.36,-0.65,-0.53,2.74,-0.2,15495.2,16312.4
2012-04-01,1.01,-0.71,-0.85,2.8,-0.24,15952.8,16828.7
2012-07-01,0.62,-1.06,-0.9,2.81,-0.23,15228.9,16536.8
2012-10-01,0.99,-0.84,-0.83,2.9,-0.24,14992.5,16031.6
2013-01-01,0.82,-1.63,-0.72,3.25,-0.08,15983.5,18014.5
2013-04-01,1.74,-1.34,-0.59,3.91,-0.24,17092.1,18773.6
2013-07-01,0.77,-1.78,-0.69,3.44,-0.21,17274.3,19525.8
2013-10-01,0.25,-2.16,-0.77,3.44,-0.26,17493.8,20229.7
2014-01-01,-0.68,-3.15,-0.74,3.57,-0.37,17965.5,21996.6
2014-04-01,0.8,-1.86,-0.58,3.63,-0.4,17876.8,20259.2
2014-07-01,0.78,-1.98,-0.69,3.87,-0.43,18469.1,21005.0
2014-10-01,2.29,-1.18,-0.31,4.15,-0.37,19869.8,21391.4
2015-01-01,2.84,-0.11,-0.57,3.86,-0.34,19434.4,19584.1
2015-04-01,3.12,-0.38,-0.41,4.28,-0.37,18660.2,19160.4
2015-07-01,2.95,-0.4,-0.18,3.98,-0.45,18977.9,19505.0
2015-10-01,3.35,0.2,-0.28,3.8,-0.38,18342.2,18072.5
2016-01-01,3.86,0.7,-0.11,3.65,-0.39,17086.7,16142.9
2016-04-01,3.54,0.86,-0.27,3.35,-0.4,16771.0,15612.7
2016-07-01,3.62,1.09,-0.27,3.26,-0.46,16874.1,15413.2
2016-10-01,3.82,1.27,-0.19,3.14,-0.4,18005.0,16295.3
2017-01-01,4.02,0.99,-0.32,3.7,-0.35,18963.6,17628.9
2017-04-01,3.47,0.51,-0.12,3.42,-0.33,18512.1,17821.3
