date,res,bus,pub,total,res_ch,bus_ch,pub_ch,total_ch
2006-04-01,19978.7,79280.4,27452.5,126711.59999999999,-0.43,5.05,-3.56,1.06
2006-07-01,20108.9,79391.9,25942.8,125443.59999999999,0.41,0.35,-4.77,-4.0
2006-10-01,20215.2,80976.1,26365.8,127557.1,0.34,5.05,1.35,6.74
2007-01-01,19961.3,81254.2,26114.8,127330.3,-0.8,0.87,-0.79,-0.71
2007-04-01,19610.9,80395.3,25488.2,125494.40000000001,-1.1,-2.7,-1.97,-5.77
2007-07-01,17873.1,79277.9,25150.7,122301.7,-5.54,-3.56,-1.08,-10.18
2007-10-01,15522.3,79338.7,25712.9,120573.9,-7.69,0.2,1.84,-5.65
2008-01-01,16046.6,80114.5,25047.5,121208.6,1.74,2.57,-2.21,2.11
2008-04-01,16852.1,78852.0,24133.2,119837.3,2.66,-4.17,-3.02,-4.53
2008-07-01,17497.6,77498.3,24110.4,119106.29999999999,2.15,-4.52,-0.08,-2.44
2008-10-01,17496.6,74563.7,24054.0,116114.29999999999,-0.0,-9.86,-0.19,-10.05
2009-01-01,16056.0,70068.3,24836.6,110960.9,-4.96,-15.49,2.7,-17.75
2009-04-01,14427.9,67904.5,26617.8,108950.2,-5.87,-7.8,6.42,-7.25
2009-07-01,13444.7,65930.1,26351.1,105725.9,-3.61,-7.25,-0.98,-11.84
2009-10-01,12991.7,65332.5,26691.8,105016.0,-1.71,-2.26,1.29,-2.69
2010-01-01,13380.8,65797.7,26611.8,105790.3,1.48,1.77,-0.3,2.95
2010-04-01,13581.6,66688.4,25258.9,105528.9,0.76,3.37,-5.12,-0.99
2010-07-01,13659.5,67410.0,25284.8,106354.3,0.3,2.74,0.1,3.13
2010-10-01,14059.4,67219.9,24647.6,105926.9,1.5,-0.71,-2.4,-1.61
2011-01-01,14218.2,68544.5,23957.6,106720.29999999999,0.6,5.0,-2.61,3.0
2011-04-01,14008.5,67374.3,24765.2,106148.0,-0.79,-4.39,3.03,-2.15
2011-07-01,14715.3,69147.9,24131.3,107994.5,2.66,6.68,-2.39,6.96
2011-10-01,14396.9,72601.5,23050.4,110048.79999999999,-1.18,12.79,-4.0,7.61
2012-01-01,14016.4,72119.1,25068.4,111203.9,-1.38,-1.75,7.33,4.2
2012-04-01,14629.2,72649.5,24757.4,112036.1,2.2,1.91,-1.12,2.99
2012-07-01,14918.9,72261.7,24057.8,111238.4,1.03,-1.38,-2.5,-2.85
2012-10-01,15211.2,72072.8,24055.9,111339.9,1.05,-0.68,-0.01,0.36
2013-01-01,15315.9,71668.5,25168.8,112153.2,0.38,-1.45,4.0,2.92
2013-04-01,15504.1,74678.7,25428.6,115611.4,0.67,10.74,0.93,12.33
2013-07-01,16029.2,76322.6,26724.0,119075.8,1.82,5.69,4.48,11.99
2013-10-01,16625.0,77598.4,27066.6,121290.0,2.0,4.29,1.15,7.44
2014-01-01,16913.1,79481.3,26921.4,123315.79999999999,0.95,6.21,-0.48,6.68
2014-04-01,15369.8,78001.0,25537.8,118908.6,-5.01,-4.8,-4.49,-14.3
2014-07-01,14283.4,78954.0,26018.3,119255.7,-3.65,3.21,1.62,1.17
2014-10-01,14342.5,79436.2,26529.3,120308.0,0.2,1.62,1.71,3.53
2015-01-01,14726.1,82071.3,26187.3,122984.70000000001,1.28,8.76,-1.14,8.9
2015-04-01,15000.9,80962.2,26015.0,121978.09999999999,0.89,-3.61,-0.56,-3.27
2015-07-01,15255.0,81638.5,25842.1,122735.6,0.83,2.22,-0.57,2.48
2015-10-01,15188.3,81925.1,25567.4,122680.80000000002,-0.22,0.93,-0.9,-0.18
2016-01-01,15369.7,81852.4,25528.0,122750.09999999999,0.59,-0.24,-0.13,0.23
2016-04-01,15736.3,82027.7,26240.0,124004.0,1.19,0.57,2.32,4.09
2016-07-01,16178.2,81746.9,26239.4,124164.5,1.43,-0.91,-0.0,0.52
2016-10-01,16262.8,83075.0,25691.3,125029.1,0.27,4.28,-1.77,2.79
2017-01-01,16394.0,83551.7,25643.8,125589.5,0.42,1.53,-0.15,1.79
2017-04-01,16611.0,84010.8,27024.3,127646.1,0.69,1.46,4.4,6.55
2017-07-01,16388.6,84999.1,26248.8,127636.50000000001,-0.7,3.1,-2.43,-0.03
2017-10-01,15890.1,85659.5,26082.2,127631.8,-1.56,2.07,-0.52,-0.01
2018-01-01,15531.7,86080.6,25969.4,127581.70000000001,-1.12,1.32,-0.35,-0.16
2018-04-01,15114.8,87168.8,25938.7,128222.3,-1.31,3.41,-0.1,2.01
