industry,pre,lt,avg,min,max
Machinery,123.0,133.4,113.80999999999999,97.9,35.5
Transport equipment,98.2,114.3,101.35000000000004,96.1,18.700000000000003
Electrical parts \& devices,106.0,113.1,98.80333333333334,82.6,30.5
Electrical machinery,98.8,107.3,101.79500000000002,97.5,10.5
Chemicals,,107.1,99.31016949152543,92.7,18.0
\textbf{All manufacturing and mining},99.5,106.5,98.84500000000003,94.8,11.700000000000003
Plastic products,101.5,103.1,98.92833333333333,93.4,9.699999999999989
Fabricated metals,88.3,99.6,95.54833333333336,87.5,14.799999999999997
Foods and tobacco,,97.7,96.9254237288136,92.0,9.200000000000003
Other manufacturing,92.6,94.3,94.65833333333335,91.4,8.899999999999991
Information \& communication eq.,49.1,51.1,58.114999999999995,49.1,25.6
