date,All,Small,Large,Medium
2006-03-31,12,7,20,12
2006-06-30,12,7,21,13
2006-09-30,13,6,24,14
2006-12-31,16,10,25,17
2007-03-31,15,8,23,16
2007-06-30,13,6,23,13
2007-09-30,9,1,23,10
2007-12-31,9,2,19,10
2008-03-31,2,-6,11,5
2008-06-30,-3,-10,5,-2
2008-09-30,-11,-17,-3,-8
2008-12-31,-25,-29,-24,-24
2009-03-31,-57,-57,-58,-57
2009-06-30,-55,-57,-48,-55
2009-09-30,-43,-52,-33,-40
2009-12-31,-32,-40,-24,-30
2010-03-31,-23,-30,-14,-19
2010-06-30,-10,-18,1,-6
2010-09-30,-4,-14,8,4
2010-12-31,-4,-12,5,1
2011-03-31,-4,-10,6,-4
2011-06-30,-15,-21,-9,-12
2011-09-30,-5,-11,2,-3
2011-12-31,-5,-8,-4,-3
2012-03-31,-7,-10,-4,-7
2012-06-30,-8,-12,-1,-6
2012-09-30,-8,-14,-3,-6
2012-12-31,-15,-18,-12,-12
2013-03-31,-15,-19,-8,-14
2013-06-30,-6,-14,4,-4
2013-09-30,-2,-9,12,0
2013-12-31,6,1,16,6
2014-03-31,10,4,17,12
2014-06-30,6,1,12,8
2014-09-30,4,-1,13,5
2014-12-31,6,1,12,7
2015-03-31,5,1,12,4
2015-06-30,4,0,15,2
2015-09-30,5,0,12,5
2015-12-31,4,0,12,5
2016-03-31,1,-4,6,5
2016-06-30,0,-5,6,1
2016-09-30,1,-3,6,3
2016-12-31,4,1,10,6
2017-03-31,8,5,12,11
