series_id,year,period,value,footnote_codes,date,ri
CUUR0000SA0,2014,M01,233.916,,2014-01-01,100.0
CUUR0000SA0,2014,M02,234.78099999999998,,2014-02-01,100.0
CUUR0000SA0,2014,M03,236.293,,2014-03-01,100.0
CUUR0000SA0,2014,M04,237.072,,2014-04-01,100.0
CUUR0000SA0,2014,M05,237.9,,2014-05-01,100.0
CUUR0000SA0,2014,M06,238.343,,2014-06-01,100.0
CUUR0000SA0,2014,M07,238.25,,2014-07-01,100.0
CUUR0000SA0,2014,M08,237.852,,2014-08-01,100.0
CUUR0000SA0,2014,M09,238.03099999999998,,2014-09-01,100.0
CUUR0000SA0,2014,M10,237.433,,2014-10-01,100.0
CUUR0000SA0,2014,M11,236.15099999999998,,2014-11-01,100.0
CUUR0000SA0,2014,M12,234.812,,2014-12-01,100.0
CUUR0000SA0,2015,M01,233.707,,2015-01-01,100.0
CUUR0000SA0,2015,M02,234.722,,2015-02-01,100.0
CUUR0000SA0,2015,M03,236.11900000000003,,2015-03-01,100.0
CUUR0000SA0,2015,M04,236.59900000000002,,2015-04-01,100.0
CUUR0000SA0,2015,M05,237.805,,2015-05-01,100.0
CUUR0000SA0,2015,M06,238.638,,2015-06-01,100.0
CUUR0000SA0,2015,M07,238.65400000000002,,2015-07-01,100.0
CUUR0000SA0,2015,M08,238.31599999999997,,2015-08-01,100.0
CUUR0000SA0,2015,M09,237.945,,2015-09-01,100.0
CUUR0000SA0,2015,M10,237.838,,2015-10-01,100.0
CUUR0000SA0,2015,M11,237.33599999999998,,2015-11-01,100.0
CUUR0000SA0,2015,M12,236.525,,2015-12-01,100.0
CUUR0000SA0,2016,M01,236.916,,2016-01-01,100.0
CUUR0000SA0,2016,M02,237.111,,2016-02-01,100.0
CUUR0000SA0,2016,M03,238.132,,2016-03-01,100.0
CUUR0000SA0,2016,M04,239.261,,2016-04-01,100.0
CUUR0000SA0,2016,M05,240.229,,2016-05-01,100.0
CUUR0000SA0,2016,M06,241.018,,2016-06-01,100.0
CUUR0000SA0,2016,M07,240.628,,2016-07-01,100.0
CUUR0000SA0,2016,M08,240.84900000000002,,2016-08-01,100.0
CUUR0000SA0,2016,M09,241.428,,2016-09-01,100.0
CUUR0000SA0,2016,M10,241.729,,2016-10-01,100.0
CUUR0000SA0,2016,M11,241.35299999999998,,2016-11-01,100.0
CUUR0000SA0,2016,M12,241.43200000000002,,2016-12-01,100.0
CUUR0000SA0,2017,M01,242.83900000000003,,2017-01-01,100.0
CUUR0000SA0,2017,M02,243.60299999999998,,2017-02-01,100.0
CUUR0000SA0,2017,M03,243.801,,2017-03-01,100.0
CUUR0000SA0,2017,M04,244.524,,2017-04-01,100.0
CUUR0000SA0,2017,M05,244.733,,2017-05-01,100.0
CUUR0000SA0,2017,M06,244.955,,2017-06-01,100.0
CUUR0000SA0,2017,M07,244.78599999999997,,2017-07-01,100.0
CUUR0000SA0,2017,M08,245.519,,2017-08-01,100.0
CUUR0000SA0,2017,M09,246.81900000000002,,2017-09-01,100.0
CUUR0000SA0,2017,M10,246.66299999999998,,2017-10-01,100.0
CUUR0000SA0,2017,M11,246.669,,2017-11-01,100.0
CUUR0000SA0,2017,M12,246.524,,2017-12-01,100.0
CUUR0000SA0,2018,M01,247.86700000000002,,2018-01-01,100.0
CUUR0000SA0L1,2014,M01,233.16099999999997,,2014-01-01,86.109
CUUR0000SA0L1,2014,M02,234.046,,2014-02-01,86.109
CUUR0000SA0L1,2014,M03,235.672,,2014-03-01,86.109
CUUR0000SA0L1,2014,M04,236.425,,2014-04-01,86.109
CUUR0000SA0L1,2014,M05,237.225,,2014-05-01,86.109
CUUR0000SA0L1,2014,M06,237.74099999999999,,2014-06-01,86.109
CUUR0000SA0L1,2014,M07,237.52200000000002,,2014-07-01,86.109
CUUR0000SA0L1,2014,M08,236.938,,2014-08-01,86.109
CUUR0000SA0L1,2014,M09,237.017,,2014-09-01,86.109
CUUR0000SA0L1,2014,M10,236.24,,2014-10-01,86.109
CUUR0000SA0L1,2014,M11,234.75099999999998,,2014-11-01,86.109
CUUR0000SA0L1,2014,M12,233.079,,2014-12-01,86.109
CUUR0000SA0L1,2015,M01,231.71099999999998,,2015-01-01,86.109
CUUR0000SA0L1,2015,M02,232.863,,2015-02-01,86.109
CUUR0000SA0L1,2015,M03,234.58,,2015-03-01,86.109
CUUR0000SA0L1,2015,M04,235.125,,2015-04-01,86.109
CUUR0000SA0L1,2015,M05,236.51,,2015-05-01,86.109
CUUR0000SA0L1,2015,M06,237.39700000000002,,2015-06-01,86.109
CUUR0000SA0L1,2015,M07,237.365,,2015-07-01,86.109
CUUR0000SA0L1,2015,M08,236.868,,2015-08-01,86.109
CUUR0000SA0L1,2015,M09,236.287,,2015-09-01,86.109
CUUR0000SA0L1,2015,M10,236.097,,2015-10-01,86.109
CUUR0000SA0L1,2015,M11,235.63299999999998,,2015-11-01,86.109
CUUR0000SA0L1,2015,M12,234.75799999999998,,2015-12-01,85.985
CUUR0000SA0L1,2016,M01,235.097,,2016-01-01,85.985
CUUR0000SA0L1,2016,M02,235.295,,2016-02-01,85.985
CUUR0000SA0L1,2016,M03,236.602,,2016-03-01,85.985
CUUR0000SA0L1,2016,M04,237.83700000000002,,2016-04-01,85.985
CUUR0000SA0L1,2016,M05,239.04,,2016-05-01,85.985
CUUR0000SA0L1,2016,M06,240.00900000000001,,2016-06-01,85.985
CUUR0000SA0L1,2016,M07,239.548,,2016-07-01,85.985
CUUR0000SA0L1,2016,M08,239.77700000000002,,2016-08-01,85.985
CUUR0000SA0L1,2016,M09,240.415,,2016-09-01,85.985
CUUR0000SA0L1,2016,M10,240.739,,2016-10-01,85.985
CUUR0000SA0L1,2016,M11,240.403,,2016-11-01,85.985
CUUR0000SA0L1,2016,M12,240.513,,2016-12-01,85.985
CUUR0000SA0L1,2017,M01,241.99400000000003,,2017-01-01,85.985
CUUR0000SA0L1,2017,M02,242.791,,2017-02-01,85.985
CUUR0000SA0L1,2017,M03,242.96200000000002,,2017-03-01,85.985
CUUR0000SA0L1,2017,M04,243.708,,2017-04-01,85.985
CUUR0000SA0L1,2017,M05,243.90599999999998,,2017-05-01,85.985
CUUR0000SA0L1,2017,M06,244.218,,2017-06-01,85.985
CUUR0000SA0L1,2017,M07,243.937,,2017-07-01,85.985
CUUR0000SA0L1,2017,M08,244.74,,2017-08-01,85.985
CUUR0000SA0L1,2017,M09,246.16299999999998,,2017-09-01,85.985
CUUR0000SA0L1,2017,M10,245.926,,2017-10-01,85.985
CUUR0000SA0L1,2017,M11,246.00900000000001,,2017-11-01,85.985
CUUR0000SA0L1,2017,M12,245.785,,2017-12-01,86.616
CUUR0000SA0L1,2018,M01,247.16099999999997,,2018-01-01,86.616
CUUR0000SAF1,2014,M01,238.872,,2014-01-01,13.891
CUUR0000SAF1,2014,M02,239.608,,2014-02-01,13.891
CUUR0000SAF1,2014,M03,240.398,,2014-03-01,13.891
CUUR0000SAF1,2014,M04,241.33700000000002,,2014-04-01,13.891
CUUR0000SAF1,2014,M05,242.34400000000002,,2014-05-01,13.891
CUUR0000SAF1,2014,M06,242.326,,2014-06-01,13.891
CUUR0000SAF1,2014,M07,243.03400000000002,,2014-07-01,13.891
CUUR0000SAF1,2014,M08,243.81099999999998,,2014-08-01,13.891
CUUR0000SAF1,2014,M09,244.63,,2014-09-01,13.891
CUUR0000SAF1,2014,M10,245.166,,2014-10-01,13.891
CUUR0000SAF1,2014,M11,245.192,,2014-11-01,13.891
CUUR0000SAF1,2014,M12,245.976,,2014-12-01,13.891
CUUR0000SAF1,2015,M01,246.53799999999998,,2015-01-01,13.891
CUUR0000SAF1,2015,M02,246.68,,2015-02-01,13.891
CUUR0000SAF1,2015,M03,246.045,,2015-03-01,13.891
CUUR0000SAF1,2015,M04,246.12099999999998,,2015-04-01,13.891
CUUR0000SAF1,2015,M05,246.187,,2015-05-01,13.891
CUUR0000SAF1,2015,M06,246.68,,2015-06-01,13.891
CUUR0000SAF1,2015,M07,247.003,,2015-07-01,13.891
CUUR0000SAF1,2015,M08,247.671,,2015-08-01,13.891
CUUR0000SAF1,2015,M09,248.632,,2015-09-01,13.891
CUUR0000SAF1,2015,M10,249.05200000000002,,2015-10-01,13.891
CUUR0000SAF1,2015,M11,248.30599999999998,,2015-11-01,13.891
CUUR0000SAF1,2015,M12,247.903,,2015-12-01,14.015
CUUR0000SAF1,2016,M01,248.63099999999997,,2016-01-01,14.015
CUUR0000SAF1,2016,M02,248.8,,2016-02-01,14.015
CUUR0000SAF1,2016,M03,247.97799999999998,,2016-03-01,14.015
