A,mark,avg,max,min,neg
Consumer Discretionary,13.81,9.4175,8.18,5.63,.
Telecom Services,13.66,5.35,13.66,.,-3.42
Energy,9.55,4.48,11.71,.,-14.21
Consumer Staples,7.57,6.3525,3.7,4.81,.
Financials,5.75,6.2725,3.0799999999999996,3.72,.
Industrials,5.18,6.547499999999999,5.4799999999999995,2.55,.
Materials,3.65,3.895,4.94,0.01,.
Information Technology,2.91,8.4375,9.629999999999999,2.91,.
Utilities,1.74,3.0050000000000003,4.33,.,-1.12
Real Estate,1.27,1.3050000000000002,1.77,0.68,.
Health Care,1.01,7.2925,9.34,1.01,.
