DATE,LNS14027662,LNS14027659,UNRATE
2006-01-01,2.1,7.0,4.7
2006-02-01,2.2,7.1,4.8
2006-03-01,2.2,6.9,4.7
2006-04-01,2.2,6.9,4.7
2006-05-01,2.1,7.0,4.6
2006-06-01,2.1,7.1,4.6
2006-07-01,2.0,7.1,4.7
2006-08-01,1.8,6.8,4.7
2006-09-01,2.1,6.4,4.5
2006-10-01,1.9,5.8,4.4
2006-11-01,1.8,6.6,4.5
2006-12-01,1.8,6.7,4.4
2007-01-01,2.1,6.9,4.6
2007-02-01,1.9,7.3,4.5
2007-03-01,1.8,6.9,4.4
2007-04-01,1.9,7.1,4.5
2007-05-01,2.0,6.6,4.4
2007-06-01,2.0,6.7,4.6
2007-07-01,2.1,7.3,4.7
2007-08-01,2.1,6.5,4.6
2007-09-01,2.0,7.6,4.7
2007-10-01,2.1,7.3,4.7
2007-11-01,2.2,7.7,4.7
2007-12-01,2.1,7.7,5.0
2008-01-01,2.1,7.7,5.0
2008-02-01,2.0,7.4,4.9
2008-03-01,2.1,8.4,5.1
2008-04-01,2.1,7.7,5.0
2008-05-01,2.2,8.1,5.4
2008-06-01,2.4,8.7,5.6
2008-07-01,2.5,8.6,5.8
2008-08-01,2.8,9.7,6.1
2008-09-01,2.6,9.8,6.1
2008-10-01,3.1,10.3,6.5
2008-11-01,3.2,10.8,6.8
2008-12-01,3.6,11.1,7.3
2009-01-01,3.9,12.4,7.8
2009-02-01,4.1,13.2,8.3
2009-03-01,4.3,14.0,8.7
2009-04-01,4.4,14.9,9.0
2009-05-01,4.8,15.2,9.4
2009-06-01,4.8,15.6,9.5
2009-07-01,4.8,15.3,9.5
2009-08-01,4.8,15.6,9.6
2009-09-01,5.0,14.9,9.8
2009-10-01,4.7,15.2,10.0
2009-11-01,4.8,14.7,9.9
2009-12-01,4.9,15.0,9.9
2010-01-01,4.9,15.3,9.8
2010-02-01,4.9,15.8,9.8
2010-03-01,4.9,14.9,9.9
2010-04-01,4.8,14.7,9.9
2010-05-01,4.6,14.6,9.6
2010-06-01,4.4,14.2,9.4
2010-07-01,4.5,13.5,9.4
2010-08-01,4.6,14.1,9.5
2010-09-01,4.5,15.6,9.5
2010-10-01,4.6,15.0,9.4
2010-11-01,5.0,15.4,9.8
2010-12-01,4.8,15.0,9.3
2011-01-01,4.3,14.3,9.1
2011-02-01,4.3,14.0,9.0
2011-03-01,4.4,14.1,9.0
2011-04-01,4.5,14.7,9.1
2011-05-01,4.5,14.5,9.0
2011-06-01,4.3,14.4,9.1
2011-07-01,4.2,14.5,9.0
2011-08-01,4.2,14.1,9.0
2011-09-01,4.2,14.3,9.0
2011-10-01,4.3,13.5,8.8
2011-11-01,4.4,12.8,8.6
2011-12-01,4.1,13.7,8.5
2012-01-01,4.3,13.0,8.3
2012-02-01,4.2,13.1,8.3
2012-03-01,4.1,12.8,8.2
2012-04-01,4.0,12.5,8.2
2012-05-01,3.9,12.9,8.2
2012-06-01,4.0,12.6,8.2
2012-07-01,4.1,12.4,8.2
2012-08-01,4.1,11.8,8.1
2012-09-01,4.0,11.7,7.8
2012-10-01,3.7,12.1,7.8
2012-11-01,3.9,12.0,7.7
2012-12-01,4.0,11.8,7.9
2013-01-01,3.8,12.0,8.0
2013-02-01,3.9,11.3,7.7
2013-03-01,3.8,11.1,7.5
2013-04-01,3.9,11.5,7.6
2013-05-01,3.9,10.9,7.5
2013-06-01,3.8,10.7,7.5
2013-07-01,3.8,10.7,7.3
2013-08-01,3.4,11.1,7.3
2013-09-01,3.7,10.6,7.2
2013-10-01,3.7,10.9,7.2
2013-11-01,3.4,10.7,6.9
2013-12-01,3.3,10.0,6.7
2014-01-01,3.3,9.6,6.6
2014-02-01,3.4,9.9,6.7
2014-03-01,3.4,9.4,6.7
2014-04-01,3.3,8.6,6.2
2014-05-01,3.2,9.1,6.3
2014-06-01,3.3,9.1,6.1
2014-07-01,3.1,9.4,6.2
2014-08-01,3.2,9.1,6.2
2014-09-01,2.9,8.3,5.9
2014-10-01,3.0,8.0,5.7
2014-11-01,3.2,8.7,5.8
2014-12-01,2.8,8.8,5.6
2015-01-01,2.8,8.5,5.7
2015-02-01,2.7,8.3,5.5
2015-03-01,2.4,8.5,5.4
2015-04-01,2.7,8.4,5.4
2015-05-01,2.8,8.6,5.5
2015-06-01,2.5,8.1,5.3
2015-07-01,2.5,8.2,5.2
2015-08-01,2.4,7.7,5.1
2015-09-01,2.5,7.8,5.0
2015-10-01,2.5,7.4,5.0
2015-11-01,2.5,6.9,5.0
2015-12-01,2.5,6.7,5.0
2016-01-01,2.5,7.4,4.9
2016-02-01,2.5,7.3,4.9
2016-03-01,2.6,7.4,5.0
2016-04-01,2.4,7.5,5.0
2016-05-01,2.4,7.2,4.7
2016-06-01,2.6,7.5,4.9
2016-07-01,2.5,6.3,4.9
2016-08-01,2.7,7.3,4.9
2016-09-01,2.5,8.5,4.9
2016-10-01,2.6,7.4,4.8
2016-11-01,2.3,7.9,4.6
2016-12-01,2.5,7.9,4.7
2017-01-01,2.5,7.7,4.8
2017-02-01,2.4,7.9,4.7
2017-03-01,2.5,6.8,4.5
