pt3ISO,TradeValue,rt3ISO,period
MYS,78275,ALB,2015
MYS,1712188,DZA,2015
MYS,5145,AGO,2015
MLI,3124,AGO,2015
MYS,50226,AZE,2015
MYS,15544742,ARG,2015
MYS,55720623,AUS,2015
MYS,2052903,AUS,2015
MLI,19609,AUS,2015
MYS,4748167,AUT,2015
MYS,3316,AUT,2015
MLT,5237,AUT,2015
MYS,638762,BHR,2015
MYS,6625482,BGD,2015
MYS,23557,ARM,2015
MYS,7606004,BEL,2015
MYS,1428283,BEL,2015
MDV,282,BEL,2015
MLT,178822,BEL,2015
MYS,452,BMU,2015
MYS,51388,BOL,2015
MLI,871,BOL,2015
MYS,282366,BIH,2015
MYS,289,BWA,2015
MYS,30308065,BRA,2015
MYS,7192,SLB,2015
MYS,1817336,BRN,2015
MYS,8960,BRN,2015
MLT,490,BGR,2015
MYS,1547300,BLR,2015
MYS,6610,KHM,2015
MYS,644,CMR,2015
MYS,45109121,CAN,2015
MYS,625828,CAN,2015
MDV,113,CAN,2015
MDV,2097,CAN,2015
MLI,42491,CAN,2015
MLT,8,CAN,2015
MYS,828818,LKA,2015
MYS,77,LKA,2015
MDV,406,LKA,2015
MHL,162,LKA,2015
MYS,1223990,CHL,2015
MYS,1629653468,CHN,2015
MYS,79508149,CHN,2015
MDV,684,CHN,2015
MLI,37087,CHN,2015
MLT,29054,CHN,2015
MYS,1093724,COL,2015
MYS,66901,CRI,2015
MYS,95,CRI,2015
MYS,1156592,HRV,2015
MLT,28726,HRV,2015
MYS,242684,CYP,2015
MYS,210327423,CZE,2015
MYS,24917,CZE,2015
MDV,13197,CZE,2015
MLI,17640,CZE,2015
MLT,1513,CZE,2015
MLT,1055105,CZE,2015
MYS,1352709,DNK,2015
MYS,71105,DNK,2015
MLI,1058,DNK,2015
MLI,167924,DNK,2015
MLT,45184,DNK,2015
MYS,18586,DOM,2015
MYS,672592,ECU,2015
MYS,1309,SLV,2015
MYS,76400,ETH,2015
MLI,7818,ETH,2015
MYS,543084,EST,2015
MYS,514481,FJI,2015
MYS,4711752,FIN,2015
MYS,5387,FIN,2015
