,exp,imp,val_exp_ijp
0,ALB,ITA,6.41400003433
1,DZA,FRA,2.37398934364
2,ARG,BRA,192.67237854
3,ARG,CHL,10.0330677032
4,ARG,ECU,19.8068332672
5,ARG,MEX,43.7379989624
6,ARG,PRY,33.3770713806
7,ARG,PER,14.8100004196
8,ARG,URY,329.457183838
9,AUS,BEL,7.20900011063
10,AUS,LKA,104.266998291
11,AUS,CHN,73.7559967041
12,AUS,FJI,86.2649993896
13,AUS,HKG,233.300994873
14,AUS,ITA,28.9839992523
15,AUS,JPN,4.16200017929
16,AUS,MYS,235.91368103
17,AUS,MDV,1.06500005722
18,AUS,MUS,17.531999588
19,AUS,TWN,8.12899971008
20,AUS,NLD,1.07500004768
21,AUS,NCL,39.3867797852
22,AUS,NZL,253.827636719
23,AUS,PNG,18.1760005951
24,AUS,POL,72.8239974976
25,AUS,QAT,2.88899993896
26,AUS,SGP,82.6191635132
27,AUS,VNM,17.920999527
28,AUS,ZAF,32.8083496094
29,AUS,ESP,1.02300000191
30,AUS,THA,2052.11865234
31,AUS,ARE,45.8470001221
32,AUS,GBR,6.53521156311
33,AUS,USA,7.14751434326
34,AUT,AUS,6.132999897
35,AUT,BEL,2.0898001194
36,AUT,BRA,165.380996704
37,AUT,BGR,23.2430000305
38,AUT,BLR,24.2000007629
39,AUT,CHL,30.9241104126
40,AUT,COL,3.77099990845
41,AUT,HRV,129.740203857
42,AUT,CZE,88.3823623657
43,AUT,DNK,135.482666016
44,AUT,FIN,4.41032314301
45,AUT,FRA,54.0000762939
46,AUT,DEU,1383.84716797
47,AUT,GRC,5.46075773239
48,AUT,HUN,161.310440063
49,AUT,IRN,25.0480003357
50,AUT,ISR,190.0
51,AUT,ITA,116.206703186
52,AUT,JPN,8.45199966431
53,AUT,KAZ,19.6151313782
54,AUT,MLT,61.0019989014
55,AUT,MEX,92.5449142456
56,AUT,NLD,232.748275757
57,AUT,NOR,44.8488235474
58,AUT,POL,361.954986572
59,AUT,PRT,1.40801787376
60,AUT,ROU,182.617263794
61,AUT,RUS,70.1389312744
62,AUT,SRB,38.9079246521
63,AUT,SVK,55.6665763855
64,AUT,SVN,40.3295326233
65,AUT,ZAF,5.1101269722
66,AUT,ESP,85.0256118774
67,AUT,SWE,46.5950012207
68,AUT,CHE,41.7191886902
69,AUT,TUN,12.4770002365
70,AUT,TUR,23.1019992828
71,AUT,UKR,2700.36376953
72,AUT,GBR,48.8347740173
73,AUT,USA,11.9537115097
74,BHR,KWT,1.2490156889
75,BHR,SAU,626.218994141
76,BHR,ARE,1.20299994946
77,BGD,KOR,67.6510009766
78,BGD,VNM,270.263000488
79,BGD,THA,1.47399997711
80,BEL,DZA,201.327514648
81,BEL,AUS,14.3314676285
82,BEL,AUT,9.66585636139
83,BEL,BRA,95.00806427
84,BEL,BGR,17.4979991913
85,BEL,BDI,2.96499991417
86,BEL,CAN,5.0529999733
87,BEL,CHN,6.60200023651
88,BEL,COL,72.5240631104
89,BEL,CYP,3.55159044266
90,BEL,CZE,7.27927875519
91,BEL,BEN,14.2290000916
92,BEL,DNK,1.48987281322
93,BEL,FIN,96.8022842407
94,BEL,FRA,14760.3740234
95,BEL,GEO,4.52299976349
96,BEL,DEU,4340.94873047
97,BEL,GRC,89.9035720825
98,BEL,HKG,94.070602417
99,BEL,HUN,113.863815308
100,BEL,ISL,1.0759999752
101,BEL,IDN,2.2643392086
102,BEL,IRL,5.06300020218
103,BEL,ITA,957.891296387
104,BEL,JPN,14.3850002289
105,BEL,KOR,30.6859550476
106,BEL,KWT,1.00100004673
107,BEL,LBN,1.20607340336
108,BEL,LVA,10.180513382
109,BEL,LTU,21.8840007782
110,BEL,MDG,110.646003723
111,BEL,MYS,55.1399993896
112,BEL,MEX,3.64100003242
113,BEL,TWN,4.90700006485
114,BEL,MAR,55.882900238
115,BEL,NLD,334.099456787
116,BEL,NZL,67.1805038452
117,BEL,NGA,52.9640007019
118,BEL,NOR,7.64329862595
119,BEL,PAK,89.3209991455
120,BEL,PHL,9.94999980927
121,BEL,POL,657.295410156
122,BEL,PRT,403.86126709
123,BEL,ROU,1884.58557129
124,BEL,RUS,70.1809692383
125,BEL,IND,9.14894199371
126,BEL,SVK,21.2749996185
127,BEL,VNM,124.652999878
128,BEL,SVN,292.896759033
129,BEL,ZAF,4.40299987793
130,BEL,ESP,226.97517395
131,BEL,SWE,24.1384983063
132,BEL,CHE,39.8559989929
133,BEL,THA,410.90802002
134,BEL,ARE,2.14800000191
135,BEL,TUN,344.665985107
136,BEL,TUR,12.2237262726
137,BEL,UKR,40.6125564575
138,BEL,GBR,32.3358306885
139,BEL,USA,213.700012207
140,BOL,DZA,47.0099983215
141,BIH,AUT,1.23899996281
142,BIH,HRV,8.07279872894
143,BIH,DEU,3.04999995232
144,BIH,ITA,1.45200002193
145,BIH,SRB,1.86600005627
146,BIH,CHE,3.95987701416
147,BRA,AGO,14.7740001678
148,BRA,ARG,887.451049805
149,BRA,BOL,3.60190105438
150,BRA,CHN,3.01699995995
151,BRA,COL,4.25247526169
152,BRA,DOM,41.6290016174
153,BRA,GNQ,3.46700000763
154,BRA,GTM,35.7736701965
155,BRA,ISR,5.7685379982
156,BRA,MLT,46.3100013733
157,BRA,MEX,407.375
158,BRA,NLD,1.38399994373
159,BRA,NIC,15.142999649
160,BRA,PAN,9.40600013733
161,BRA,PRY,199.673553467
162,BRA,PER,4.31732416153
163,BRA,ZAF,22.5817890167
164,BRA,ESP,2.49100708961
165,BRA,THA,1.90859150887
166,BRA,USA,10.5246582031
167,BRA,VEN,4.07899999619
168,BGR,ALB,15.1190004349
169,BGR,BEL,12.1198244095
170,BGR,BIH,13.6750001907
171,BGR,CZE,1.27300000191
172,BGR,DNK,4.75026416779
173,BGR,FRA,64.5414352417
174,BGR,GRC,243.739883423
175,BGR,ITA,10.285036087
176,BGR,NLD,11.3009996414
177,BGR,ROU,91.6369171143
178,BGR,RUS,93.9604797363
179,BGR,SRB,93.1753234863
180,BGR,ESP,23.0079994202
181,BGR,THA,1.15999996662
182,BGR,MKD,16.1097621918
183,BGR,GBR,5.00699996948
184,BLR,DEU,10.1999998093
185,BLR,NLD,83.9000015259
186,BLR,RUS,9395.35839844
187,BLR,EGY,328.62600708
188,KHM,IDN,181.636001587
189,KHM,IND,6.56300020218
190,KHM,SGP,1.5870000124
191,KHM,VNM,39.1059989929
192,CAN,ARG,2.36400008202
193,CAN,AUS,28.3324012756
194,CAN,BRB,3.02900004387
195,CAN,BRA,13.2060003281
196,CAN,CHL,13.3012037277
197,CAN,CHN,245.380569458
198,CAN,COL,33.4269981384
199,CAN,DOM,112.623985291
200,CAN,FJI,31.6200008392
201,CAN,FRA,2.0938603878
202,CAN,DEU,76.2641067505
203,CAN,GRL,10.8470001221
204,CAN,HKG,20.4570007324
205,CAN,IDN,4.66831922531
206,CAN,IRL,26.2262783051
207,CAN,JPN,30.0249996185
208,CAN,KOR,17.3349990845
209,CAN,LTU,19.9894161224
210,CAN,MEX,17.6380195618
211,CAN,NLD,74.1483078003
212,CAN,NZL,7.54213190079
213,CAN,PAN,17.7590007782
214,CAN,POL,1.84300005436
215,CAN,SPM,1.19400000572
216,CAN,SGP,15.6774959564
217,CAN,VNM,3.4430000782
218,CAN,ZAF,1.16700005531
219,CAN,THA,34.6040000916
220,CAN,GBR,633.428771973
221,CAN,USA,11810.0341797
222,CAF,COD,22.5440006256
223,LKA,ARG,6.92600011826
224,LKA,BGD,6.35900020599
225,LKA,DNK,351.99798584
226,LKA,FIN,6.90299987793
227,LKA,DEU,2.55200004578
228,LKA,ITA,229.479003906
229,LKA,KWT,1.56200003624
230,LKA,MDV,13.9855260849
231,LKA,VNM,13.2609996796
232,LKA,ZAF,173.06199646
233,LKA,ESP,115.144996643
234,LKA,TUR,129.819000244
235,LKA,GBR,886.702026367
236,LKA,USA,361.343994141
237,CHL,CAN,2.44755244255
238,CHL,COL,36.4519996643
239,CHL,MEX,46.7540016174
240,CHL,PER,3.0150001049
241,CHN,DZA,69921.265625
242,CHN,ARG,185.979141235
243,CHN,AUS,3453.05883789
244,CHN,AUT,79.766998291
245,CHN,BHS,23.8409996033
246,CHN,BHR,52.6990013123
247,CHN,BGD,1084.12402344
248,CHN,BEL,1451.75
249,CHN,BOL,37.9910011292
250,CHN,BIH,28.4710006714
251,CHN,BRA,1427.67932129
252,CHN,BRN,408.954986572
253,CHN,BGR,101.580001831
254,CHN,MMR,9.0030002594
255,CHN,BLR,27.3148136139
256,CHN,CMR,4.46500015259
257,CHN,CAN,497.810852051
258,CHN,CAF,60.4799995422
259,CHN,LKA,1896.32543945
260,CHN,CHL,576.096191406
261,CHN,COL,264.6043396
262,CHN,COG,18.7199993134
263,CHN,HRV,68.1157989502
