Law_Year,Location,sID,Type,Imp,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
2006,"San Francisco, CA",CA,City,,786149,799185,808001,815358,805766,815672,828816,839280,850424,862004,870887
2008,"Washington, DC",DC,City,,,,590074,599657,605183,620477,635327,649165,659005,670377,681170
2011,"Seattle, WA",WA,City,,,,,,610403,622323,635306,653095,667963,683505,704352
2013,"New York, NY",NY,City,,,,,,8192026,8284098,8361179,8422460,8471990,8516502,8537673
2013,"Jersey City, NJ",NJ,City,,,,,,248599,253840,257993,259965,262367,263868,264152
2013,"Portland, OR",OR,City,,,,,,585478,594081,603124,609132,619334,630621,639863
2014,"Oakland, CA",CA,City,,,,,,391724,396515,401704,407205,413313,417870,420005
2014,"Newark, NJ",NJ,City,,,,,,277342,277942,278346,279139,280441,281100,281764
2014,"East Orange, NJ",NJ,City,,,,,,64170,64425,64356,64471,64629,64797,64789
2014,"Irvington, NJ",NJ,City,,,,,,54833,54428,54205,54144,54268,"54,530",54196
2014,"Passaic, NJ",NJ,City,,,,,,69874,70238,70186,70420,70732,70738,70635
2014,"Paterson, NJ",NJ,City,,,,,,146484,145852,146634,146816,146991,147027,147000
2014,"Montclair, NJ",NJ,City,,,,,,37639,37630,37702,37766,37934,38021,38071
2014,"Trenton, NJ",NJ,City,,,,,,85040,84973,84947,84945,84640,84185,84056
2015,"Emeryville, CA",CA,City,,,,,,10030,10129,10269,10787,11216,11653,11671
2015,"Bloomfield, NJ",NJ,City,,,,,,47102,47148,47339,47471,47616,47831,47936
2015,"Elizabeth, NJ",NJ,City,,,,,,125340,125922,126940,127764,128357,128367,128640
2015,"New Brunswick, NJ",NJ,City,,,,,,54925,55425,55684,56339,56481,56668,56910
2015,"Philadelphia, PA",PA,City,,,,,,1528427,1539022,1550379,1555868,1560609,1564964,1567872
2015,"Pittsburgh, PA",PA,City,,,,,,305687,306101,306475,306878,305724,303864,303625
2015,"Tacoma, WA",WA,City,,,,,,198405,199773,201973,202736,204461,207660,211277
2016,"Los Angeles, CA",CA,City,,,,,,3796292,3825393,3858137,3890436,3920173,3949149,3976322
2016,"Santa Monica, CA",CA,City,,,,,,89791,90600,91508,92276,92346,92685,92478
2016,"Plainfield, NJ",NJ,City,,,,,,198405,199773,201973,202736,204461,207660,211277
2016,"Spokane, WA",WA,City,,,,,,209543,209038,209553,210331,211346,213080,215973
2016,"Minneapolis, MN",MN,City,,,,,,383134,388073,392821,400137,406619,410116,413651
2016,"San Diego, CA",CA,City,,,,,,1306153,1320686,1338983,1358242,1379299,1390915,1406630
2016,"Chicago, IL",IL,City,,,,,,2697736,2705404,2714120,2718887,2718530,2713596,2704958
2016,"Berkeley, CA",CA,City,,,,,,112914,114026,115415,117045,118754,120613,121240
2016,"St. Paul, MN",MN,City,,,,,,285529,288956,291392,295154,297378,299528,302398
2016,"Morristown, NJ",NJ,City,,,,,,198405,199773,201973,202736,204461,207660,211277
2011,Connecticut,CT,State,,,,,,3579899,3589893,3593795,3596003,3591873,3584730,3576452
2014,California,CA,State,,,,,,37332685,37676861,38011074,38335203,38680810,38993940,39250017
2014,Massachusetts,MA,State,,,,,,6565524,6611923,6658008,6706786,6749911,6784240,6811779
2015,Oregon,OR,State,,,,,,3838048,3868031,3899116,3925751,3968371,4024634,4093465
2016,Vermont,VT,State,2018,,,,,625982,626730,626444,627140,626984,626088,624594
2016,Washington,WA,State,2018,,,,,6743226,6822520,6895226,6968006,7054196,7160290,7288000
2016,Arizona,AZ,State,,,,,,6408312,6467163,6549634,6624617,6719993,6817565,6931071
2015,"Montgomery Co., MD",MD,County,,,,,,976321,992928,1006218,1017759,1027780,1036233,1043863
2016,"Cook Co., IL",IL,County,,,,,,5199500,5214682,5230016,5240283,5239254,5224823,5203499
