SID,Region,Value,Sname,Year_city,SID_city,Region_city,Name_city,Value_city,Lat_city,Long_city,Year_state,SID_state,Region_state,Name_state,Value_state,Year_county,SID_county,Region_county,Name_county,Value_county,Lat_county,Long_county
CT,New England,73,Connecticut,2006,CA,Pacific,"San Francisco, CA",83,37.7749,-122.4194,2011,CT,New England,Connecticut,73,2015,MD,South Atlantic,"Montgomery Co., MD",70,39.084,-77.1528
ME,New England,73,Maine,2008,DC,South Atlantic,"Washington, DC",70,38.9072,-77.0369,2014,CA,Pacific,California,83,2016,IL,East North Central,"Cook Co., IL",67,41.8781,-87.6298
MA,New England,73,Massachusetts,2011,WA,Pacific,"Seattle, WA",83,47.6062,-122.3321,2014,MA,New England,Massachusetts,73,,,,,,,
NH,New England,73,New Hampshire,2013,NY,Middle Atlantic,"New York, NY",74,40.7128,-74.0059,2015,OR,Pacific,Oregon,83,,,,,,,
RI,New England,73,Rhode Island,2013,NJ,Middle Atlantic,"Jersey City, NJ",74,40.7282,-74.0776,2016,VT,New England,Vermont,73,,,,,,,
VT,New England,73,Vermont,2013,OR,Pacific,"Portland, OR",83,45.5231,-122.6765,2016,WA,Pacific,Washington,83,,,,,,,
NJ,Middle Atlantic,74,New Jersey,2014,CA,Pacific,"Oakland, CA",83,37.8044,-122.2711,2016,AZ,Mountain,Arizona,65,,,,,,,
NY,Middle Atlantic,74,New York,2014,NJ,Middle Atlantic,"Newark, NJ",74,40.7357,-74.1724,,,,,,,,,,,,
PA,Middle Atlantic,74,Pennsylvania,2014,NJ,Middle Atlantic,"East Orange, NJ",74,40.7673,-74.2049,,,,,,,,,,,,
DE,South Atlantic,70,Delaware,2014,NJ,Middle Atlantic,"Irvington, NJ",74,40.7263,-74.2286,,,,,,,,,,,,
DC,South Atlantic,70,District of Columbia,2014,NJ,Middle Atlantic,"Passaic, NJ",74,40.8568,-74.1285,,,,,,,,,,,,
FL,South Atlantic,70,Florida,2014,NJ,Middle Atlantic,"Paterson, NJ",74,40.9168,-74.1718,,,,,,,,,,,,
GA,South Atlantic,70,Georgia,2014,NJ,Middle Atlantic,"Montclair, NJ",74,40.8259,-74.209,,,,,,,,,,,,
MD,South Atlantic,70,Maryland,2014,NJ,Middle Atlantic,"Trenton, NJ",74,40.2171,-74.7429,,,,,,,,,,,,
NC,South Atlantic,70,North Carolina,2015,CA,Pacific,"Emeryville, CA",83,37.8313,-122.2852,,,,,,,,,,,,
SC,South Atlantic,70,South Carolina,2015,NJ,Middle Atlantic,"Bloomfield, NJ",74,40.8068,-74.1854,,,,,,,,,,,,
VA,South Atlantic,70,Virginia,2015,NJ,Middle Atlantic,"Elizabeth, NJ",74,40.664,-74.2107,,,,,,,,,,,,
WV,South Atlantic,70,West Virginia,2015,NJ,Middle Atlantic,"New Brunswick, NJ",74,40.4862,-74.4518,,,,,,,,,,,,
AL,East South Central,70,Alabama,2015,PA,Middle Atlantic,"Philadelphia, PA",74,39.9526,-75.1652,,,,,,,,,,,,
KY,East South Central,70,Kentucky,2015,PA,Middle Atlantic,"Pittsburgh, PA",74,40.4406,-79.9959,,,,,,,,,,,,
MS,East South Central,70,Mississippi,2015,WA,Pacific,"Tacoma, WA",83,47.2529,-122.4443,,,,,,,,,,,,
TN,East South Central,70,Tennessee,2016,CA,Pacific,"Los Angeles, CA",83,34.0522,-118.2437,,,,,,,,,,,,
AR,West South Central,70,Arkansas,2016,CA,Pacific,"Santa Monica, CA",83,34.0195,-118.4912,,,,,,,,,,,,
LA,West South Central,70,Louisiana,2016,NJ,Middle Atlantic,"Plainfield, NJ",74,40.6337,-74.4074,,,,,,,,,,,,
OK,West South Central,70,Oklahoma,2016,WA,Pacific,"Spokane, WA",83,47.6588,-117.426,,,,,,,,,,,,
TX,West South Central,70,Texas,2016,MN,West North Central,"Minneapolis, MN",68,44.9778,-93.265,,,,,,,,,,,,
IL,East North Central,67,Illinois,2016,CA,Pacific,"San Diego, CA",83,32.7157,-117.1611,,,,,,,,,,,,
IN,East North Central,67,Indiana,2016,IL,East North Central,"Chicago, IL",67,41.8781,-87.6298,,,,,,,,,,,,
MI,East North Central,67,Michigan,2016,CA,Pacific,"Berkeley, CA",83,37.8716,-122.2727,,,,,,,,,,,,
OH,East North Central,67,Ohio,2016,MN,West North Central,"St. Paul, MN",68,44.9537,-93.09,,,,,,,,,,,,
WI,East North Central,67,Wisconsin,2016,NJ,Middle Atlantic,"Morristown, NJ",74,40.7968,74.4815,,,,,,,,,,,,
IA,West North Central,68,Iowa,,,,,,,,,,,,,,,,,,,
KS,West North Central,68,Kansas,,,,,,,,,,,,,,,,,,,
MN,West North Central,68,Minnesota,,,,,,,,,,,,,,,,,,,
MO,West North Central,68,Missouri,,,,,,,,,,,,,,,,,,,
NE,West North Central,68,Nebraska,,,,,,,,,,,,,,,,,,,
ND,West North Central,68,North Dakota,,,,,,,,,,,,,,,,,,,
SD,West North Central,68,South Dakota,,,,,,,,,,,,,,,,,,,
