SID,Region,Value,Sname,Text,Year_city,SID_city,Region_city,Name_city,Value_city,Lat_city,Long_city,Text_city,Year_state,SID_state,Region_state,Name_state,Value_state,Text_state,Year_county,SID_county,Region_county,Name_county,Value_county,Lat_county,Long_county,Text_county,Year_state2,SID_state2,Region_state2,Name_state2,Value_state2,Text_state2,Text_region,Lat_region,Long_region,Color_region,Direction_region
ME,New England,73,Maine,Maine<br>New England<br>Region access: 73%<br>No PSD law,2006,CA,Pacific,"San Francisco, CA",83,37.7749,-122.4194,"San Francisco, CA<br>Pacific<br>Region access: 83%<br>PSD law signed 2006",2011,CT,New England,Connecticut,73,Connecticut<br>New England<br>Region access: 73%<br>PSD law signed 2011,2015,MD,South Atlantic,"Montgomery Co., MD",70,39.084,-77.1528,"Montgomery Co., MD<br>South Atlantic<br>Region access: 70%<br>PSD law signed 2015",2016,VT,New England,Vermont,73,Vermont<br>New England<br>Region access: 73%<br>PSD law signed 2016<br>In place 2018,New England<br><b>73%</b>,46,-70.5,#625D5D,top left
NH,New England,73,New Hampshire,New Hampshire<br>New England<br>Region access: 73%<br>No PSD law,2008,DC,South Atlantic,"Washington, DC",70,38.9072,-77.0369,"Washington, DC<br>South Atlantic<br>Region access: 70%<br>PSD law signed 2008",2014,CA,Pacific,California,83,California<br>Pacific<br>Region access: 83%<br>PSD law signed 2014,2016,IL,East North Central,"Cook Co., IL",67,41.8781,-87.6298,"Cook Co., IL<br>East North Central<br>Region access: 67%<br>PSD law signed 2016",2016,AZ,Mountain,Arizona,65,Arizona<br>Mountain<br>Region access: 65%<br>PSD law signed 2016<br>In place 2018,Mid Atlantic<br><b>74% </b>,40.5,-73,#625D5D,bottom right
RI,New England,73,Rhode Island,Rhode Island<br>New England<br>Region access: 73%<br>No PSD law,2011,WA,Pacific,"Seattle, WA",83,47.6062,-122.3321,"Seattle, WA<br>Pacific<br>Region access: 83%<br>PSD law signed 2011",2014,MA,New England,Massachusetts,73,Massachusetts<br>New England<br>Region access: 73%<br>PSD law signed 2014,,,,,,,,,,,,,,,Pacific<br><b>83%</b>,37.693094,-123.5,#625D5D,middle left
NJ,Middle Atlantic,74,New Jersey,New Jersey<br>Middle Atlantic<br>Region access: 74%<br>No PSD law,2013,NY,Middle Atlantic,"New York, NY",74,40.7128,-74.0059,"New York, NY<br>Middle Atlantic<br>Region access: 74%<br>PSD law signed 2013",2015,OR,Pacific,Oregon,83,Oregon<br>Pacific<br>Region access: 83%<br>PSD law signed 2015,,,,,,,,,,,,,,,Mountain<br><b>65%</b>,38.797479,-109.907227,#FFFFFF,top center
NY,Middle Atlantic,74,New York,New York<br>Middle Atlantic<br>Region access: 74%<br>No PSD law,2013,NJ,Middle Atlantic,"Jersey City, NJ",74,40.7282,-74.0776,"Jersey City, NJ<br>Middle Atlantic<br>Region access: 74%<br>PSD law signed 2013",2016,VT,New England,Vermont,73,Vermont<br>New England<br>Region access: 73%<br>PSD law signed 2016,,,,,,,,,,,,,,,West<br>North Central<br><b>68%</b>,41.8,-96.9,#FFFFFF,top center
PA,Middle Atlantic,74,Pennsylvania,Pennsylvania<br>Middle Atlantic<br>Region access: 74%<br>No PSD law,2013,OR,Pacific,"Portland, OR",83,45.5231,-122.6765,"Portland, OR<br>Pacific<br>Region access: 83%<br>PSD law signed 2013",2016,WA,Pacific,Washington,83,Washington<br>Pacific<br>Region access: 83%<br>PSD law signed 2016,,,,,,,,,,,,,,,South Atlantic<br><b>70%</b>,33,-79,#625D5D,bottom right
DE,South Atlantic,70,Delaware,Delaware<br>South Atlantic<br>Region access: 70%<br>No PSD law,2014,CA,Pacific,"Oakland, CA",83,37.8044,-122.2711,"Oakland, CA<br>Pacific<br>Region access: 83%<br>PSD law signed 2014",2016,AZ,Mountain,Arizona,65,Arizona<br>Mountain<br>Region access: 65%<br>PSD law signed 2016,,,,,,,,,,,,,,,East<br>North Central<br><b>67%</b>,41,-85.209961,#FFFFFF,center
DC,South Atlantic,70,District of Columbia,District of Columbia<br>South Atlantic<br>Region access: 70%<br>No PSD law,2014,NJ,Middle Atlantic,"Newark, NJ",74,40.7357,-74.1724,"Newark, NJ<br>Middle Atlantic<br>Region access: 74%<br>PSD law signed 2014",,,,,,,,,,,,,,,,,,,,,East<br>South<br>Central<br><b>70%</b>,34,-87.5,#FFFFFF,center
FL,South Atlantic,70,Florida,Florida<br>South Atlantic<br>Region access: 70%<br>No PSD law,2014,NJ,Middle Atlantic,"East Orange, NJ",74,40.7673,-74.2049,"East Orange, NJ<br>Middle Atlantic<br>Region access: 74%<br>PSD law signed 2014",,,,,,,,,,,,,,,,,,,,,West<br>South Central<br><b>70%</b>,31.924814,-96.899414,#FFFFFF,top center
GA,South Atlantic,70,Georgia,Georgia<br>South Atlantic<br>Region access: 70%<br>No PSD law,2014,NJ,Middle Atlantic,"Irvington, NJ",74,40.7263,-74.2286,"Irvington, NJ<br>Middle Atlantic<br>Region access: 74%<br>PSD law signed 2014",,,,,,,,,,,,,,,,,,,,,,,,,
MD,South Atlantic,70,Maryland,Maryland<br>South Atlantic<br>Region access: 70%<br>No PSD law,2014,NJ,Middle Atlantic,"Passaic, NJ",74,40.8568,-74.1285,"Passaic, NJ<br>Middle Atlantic<br>Region access: 74%<br>PSD law signed 2014",,,,,,,,,,,,,,,,,,,,,,,,,
NC,South Atlantic,70,North Carolina,North Carolina<br>South Atlantic<br>Region access: 70%<br>No PSD law,2014,NJ,Middle Atlantic,"Paterson, NJ",74,40.9168,-74.1718,"Paterson, NJ<br>Middle Atlantic<br>Region access: 74%<br>PSD law signed 2014",,,,,,,,,,,,,,,,,,,,,,,,,
SC,South Atlantic,70,South Carolina,South Carolina<br>South Atlantic<br>Region access: 70%<br>No PSD law,2014,NJ,Middle Atlantic,"Montclair, NJ",74,40.8259,-74.209,"Montclair, NJ<br>Middle Atlantic<br>Region access: 74%<br>PSD law signed 2014",,,,,,,,,,,,,,,,,,,,,,,,,
VA,South Atlantic,70,Virginia,Virginia<br>South Atlantic<br>Region access: 70%<br>No PSD law,2014,NJ,Middle Atlantic,"Trenton, NJ",74,40.2171,-74.7429,"Trenton, NJ<br>Middle Atlantic<br>Region access: 74%<br>PSD law signed 2014",,,,,,,,,,,,,,,,,,,,,,,,,
WV,South Atlantic,70,West Virginia,West Virginia<br>South Atlantic<br>Region access: 70%<br>No PSD law,2015,CA,Pacific,"Emeryville, CA",83,37.8313,-122.2852,"Emeryville, CA<br>Pacific<br>Region access: 83%<br>PSD law signed 2015",,,,,,,,,,,,,,,,,,,,,,,,,
AL,East South Central,70,Alabama,Alabama<br>East South Central<br>Region access: 70%<br>No PSD law,2015,NJ,Middle Atlantic,"Bloomfield, NJ",74,40.8068,-74.1854,"Bloomfield, NJ<br>Middle Atlantic<br>Region access: 74%<br>PSD law signed 2015",,,,,,,,,,,,,,,,,,,,,,,,,
KY,East South Central,70,Kentucky,Kentucky<br>East South Central<br>Region access: 70%<br>No PSD law,2015,NJ,Middle Atlantic,"Elizabeth, NJ",74,40.664,-74.2107,"Elizabeth, NJ<br>Middle Atlantic<br>Region access: 74%<br>PSD law signed 2015",,,,,,,,,,,,,,,,,,,,,,,,,
MS,East South Central,70,Mississippi,Mississippi<br>East South Central<br>Region access: 70%<br>No PSD law,2015,NJ,Middle Atlantic,"New Brunswick, NJ",74,40.4862,-74.4518,"New Brunswick, NJ<br>Middle Atlantic<br>Region access: 74%<br>PSD law signed 2015",,,,,,,,,,,,,,,,,,,,,,,,,
TN,East South Central,70,Tennessee,Tennessee<br>East South Central<br>Region access: 70%<br>No PSD law,2015,PA,Middle Atlantic,"Philadelphia, PA",74,39.9526,-75.1652,"Philadelphia, PA<br>Middle Atlantic<br>Region access: 74%<br>PSD law signed 2015",,,,,,,,,,,,,,,,,,,,,,,,,
AR,West South Central,70,Arkansas,Arkansas<br>West South Central<br>Region access: 70%<br>No PSD law,2015,PA,Middle Atlantic,"Pittsburgh, PA",74,40.4406,-79.9959,"Pittsburgh, PA<br>Middle Atlantic<br>Region access: 74%<br>PSD law signed 2015",,,,,,,,,,,,,,,,,,,,,,,,,
