date,TOT_HRS,AFS_QU,TOT_NFP,TOT_AHE,MFN_HRS,FSD_HRS,MFN_NFP,FSD_NFP,AFS_NFP,TOT_QU,AFS_AHE,MFN_AHE,FSD_AHE,OTH_NFP,AFS_NFP_12ch,AFS_NFP_ch,AFS_NFP_12_pct_ch,AFS_NFP_index,AFS_NFP_index1,FSD_NFP_12ch,FSD_NFP_ch,FSD_NFP_12_pct_ch,FSD_NFP_index,FSD_NFP_index1,TOT_NFP_12ch,TOT_NFP_ch,TOT_NFP_12_pct_ch,TOT_NFP_index,TOT_NFP_index1,OTH_NFP_12ch,OTH_NFP_ch,OTH_NFP_12_pct_ch,OTH_NFP_index,OTH_NFP_index1,MFN_NFP_12ch,MFN_NFP_ch,MFN_NFP_12_pct_ch,MFN_NFP_index,MFN_NFP_index1,AFS_AHE_12_pct_ch,FSD_AHE_12_pct_ch,TOT_AHE_12_pct_ch
1980-01-01,,,90802,6.57,,,19282,4604,,,,6.82,3.64,86198,,,,,,,,,48.80582617,100,,,,69.30339411,100,,,,70.89368415,100,,,,164.438001,100,,,
1980-02-01,,,90882,6.63,,,19219,4620,,,,6.88,3.65,86262,,,,,,,16,,48.97543808,100.3475239,,80,,69.36445303,100.0881038,,64,,70.94632105,100.0742477,,-63,,163.9007334,99.67327041,,,
1980-03-01,,,90994,6.7,,,19217,4634,,,,6.95,3.66,86360,,,,,,,14,,49.12384849,100.6516073,,112,,69.44993551,100.2114491,,98,,71.02692131,100.1879394,,-2,,163.8836773,99.66289804,,,
1980-04-01,,,90850,6.72,,,18973,4604,,,,6.97,3.67,86246,,,,,,,-30,,48.80582617,100,,-144,,69.34002946,100.0528623,,-114,,70.93316182,100.0556857,,-244,,161.8028313,98.39746914,,,
1980-05-01,,,90419,6.76,,,18726,4607,,,,7.02,3.68,85812,,,,,,,3,,48.8376284,100.0651607,,-431,,69.01107456,99.57820312,,-434,,70.57621782,99.55219379,,-247,,159.6964012,97.11648169,,,
1980-06-01,,,90099,6.82,,,18490,4605,,,,7.1,3.68,85494,,,,,,,-2,,48.81642691,100.0217202,,-320,,68.7668389,99.22578798,,-318,,70.31467821,99.18327571,,-236,,157.6837796,95.89254227,,,
1980-07-01,,,89837,6.86,,,18276,4606,,,,7.16,3.68,85231,,,,,,,1,,48.82702766,100.0434405,,-262,,68.56687096,98.93724808,,-263,,70.09837344,98.87816423,,-214,,155.8587754,94.78269889,,,
1980-08-01,,,90097,6.91,,,18414,4623,,,,7.24,3.69,85474,,,,,,,17,,49.00724031,100.4126846,,260,,68.76531243,99.22358538,,243,,70.29822918,99.16007332,,138,,157.0356473,95.49839228,,,
1980-09-01,,,90210,6.95,,,18445,4632,,,,7.3,3.72,85578,,,,,,,9,,49.10264701,100.6081668,,113,,68.85155815,99.34803198,,104,,70.38376415,99.28072577,,31,,157.3000171,95.65916399,,,
1980-10-01,,,90491,7.02,,,18506,4642,,,,7.38,3.73,85849,,,,,,,10,,49.20865445,100.8253692,,281,,69.06602758,99.65749653,,271,,70.60664853,99.59511822,,61,,157.8202286,95.97552121,,,
1980-11-01,,,90748,7.09,,,18601,4660,,,,7.47,3.75,86088,,,,,,,18,,49.39946784,101.2163336,,257,,69.26217935,99.94052994,,239,,70.80321447,99.87238683,,95,,158.630394,96.46820869,,,
1980-12-01,,,90943,7.13,,,18640,4673,,,,7.52,3.78,86270,,,,,,,13,,49.53727752,101.4986968,,195,,69.41101045,100.1552829,,182,,70.95290066,100.0835286,,39,,158.9629882,96.67046987,,,
1981-01-01,,,91037,7.19,,,18639,4693,,,,7.58,3.9,86344,,,,,,89,20,1.933101651,49.7492924,101.9331017,235,94,0.258804872,69.48275467,100.2588049,146,74,0.16937748,71.01376208,100.1693775,-643,-1,-3.334716316,158.9544602,96.66528368,,7.142857143,9.436834094
1981-02-01,,,91105,7.23,,,18613,4721,,,,7.62,3.91,86384,,,,,,101,28,2.186147186,50.04611324,102.5412685,223,68,0.245373121,69.53465475,100.3336931,122,40,0.141429598,71.04666015,100.2157823,-606,-26,-3.153129715,158.7327307,96.5304429,,7.123287671,9.049773756
1981-03-01,,,91210,7.29,,,18647,4734,,,,7.68,3.9,86476,,,,,,100,13,2.157962883,50.18392291,102.8236316,216,105,0.237378289,69.61479457,100.4493293,116,92,0.134321445,71.1223257,100.3225133,-570,34,-2.966123745,159.0226846,96.70677316,,6.557377049,8.805970149
1981-04-01,,,91283,7.33,,,18711,4750,,,,7.76,3.92,86533,,,,,,146,16,3.171155517,50.35353482,103.1711555,433,73,0.476609796,69.67051083,100.529724,287,57,0.332769056,71.16920544,100.3886401,-262,64,-1.380909714,159.5684803,97.03868893,,6.811989101,9.077380952
1981-05-01,,,91293,7.37,,,18766,4751,,,,7.81,3.93,86542,,,,,,144,1,3.125678316,50.36413556,103.1928758,874,10,0.966611,69.6781432,100.540737,730,9,0.850696872,71.1766075,100.3990812,40,55,0.21360675,160.0375235,97.32392905,,6.793478261,9.023668639
1981-06-01,,,91490,7.42,,,18789,4753,,,,7.85,3.93,86737,,,,,,148,2,3.213897937,50.38533705,103.2363162,1391,197,1.543857313,69.82850077,100.7576926,1243,195,1.453903198,71.33698557,100.6253045,299,23,1.617090319,160.2336688,97.44321129,,6.793478261,8.797653959
1981-07-01,,,91602,7.46,,,18785,4735,,,,7.89,3.93,86867,,,,,,129,-18,2.800694746,50.19452366,102.8453519,1765,112,1.964669346,69.91398325,100.8810379,1636,130,1.919489388,71.44390428,100.7761201,509,-4,2.78507332,160.1995565,97.42246655,,6.793478261,8.746355685
1981-08-01,,,91566,7.53,,,18748,4749,,,,7.97,3.93,86817,,,,,,126,14,2.72550292,50.34293407,103.1494353,1469,-36,1.630464943,69.88650674,100.8413912,1343,-50,1.571238037,71.4027817,100.7181141,334,-37,1.813837298,159.8840184,97.23057774,,6.504065041,8.972503618
1981-09-01,,,91479,7.57,,,18712,4766,,,,8.03,3.98,86713,,,,,,134,17,2.892918826,50.52314672,103.5186794,1269,-87,1.406717659,69.82010517,100.7455783,1135,-104,1.326275445,71.31724673,100.5974617,267,-36,1.447546761,159.5770084,97.04387512,,6.989247312,8.920863309
1981-10-01,,,91380,7.59,,,18566,4773,,,,8.06,3.98,86607,,,,,,131,7,2.822059457,50.59735193,103.6707211,889,-99,0.982418141,69.74454477,100.6365499,758,-106,0.882945637,71.23006686,100.474489,60,-146,0.324219172,158.331912,96.28669225,,6.702412869,8.11965812
1981-11-01,,,91171,7.64,,,18409,4781,,,,8.08,4,86390,,,,,,121,8,2.596566524,50.68215789,103.8444831,423,-209,0.466125975,69.58502835,100.4063787,302,-217,0.350803829,71.05159486,100.222743,-192,-157,-1.03220257,156.993007,95.47246136,,6.666666667,7.757404795
1981-12-01,,,90893,7.64,,,18223,4779,,,,8.09,4.06,86114,,,,,,106,-2,2.268350096,50.6609564,103.8010426,-50,-278,-0.054979493,69.37284863,100.1002181,-156,-276,-0.180827634,70.82459821,99.90254994,-417,-186,-2.237124464,155.4067883,94.50783114,,7.407407407,7.152875175
1982-01-01,,,90567,7.72,,,18047,4768,,,,8.26,4.08,85799,,,,,,75,-11,1.598124867,50.54434821,103.5621199,-470,-326,-0.516273603,69.12403355,99.74119513,-545,-315,-0.631196146,70.56552595,99.53711223,-592,-176,-3.176136059,153.9058502,93.59506275,,4.615384615,7.371349096
1982-02-01,,,90562,7.73,,,17981,4791,,,,8.21,4.05,85771,,,,,,70,23,1.482736708,50.78816533,104.0616855,-543,-5,-0.596015586,69.12021737,99.73568864,-613,-28,-0.709622152,70.54249731,99.50462888,-632,-66,-3.39547628,153.3429985,93.25277461,,3.58056266,6.915629322
1982-03-01,,,90432,7.76,,,17857,4801,,,,8.24,4.04,85631,,,,,,67,10,1.415293621,50.89417277,104.2788879,-778,-130,-0.852976647,69.02099663,99.59251999,-845,-140,-0.977149729,70.42735408,99.34221212,-790,-124,-4.236606425,152.2855194,92.60968779,,3.58974359,6.447187929
1982-04-01,,,90152,7.77,,,17683,4808,,,,8.28,4.05,85344,,,,,,58,7,1.221052632,50.96837798,104.4309296,-1131,-280,-1.239003977,68.80729043,99.28415674,-1189,-287,-1.374042273,70.19131047,99.00925776,-1028,-174,-5.494094383,150.8016374,91.70729177,,3.316326531,6.002728513
1982-05-01,,,90107,7.83,,,17588,4833,,,,8.33,4.08,85274,,,,,,82,25,1.725952431,51.23339658,104.9739357,-1186,-45,-1.299113842,68.7729448,99.23459836,-1268,-70,-1.465184535,70.13373886,98.92804937,-1178,-95,-6.277310029,149.9914719,91.21460429,,3.816793893,6.241519674
1982-06-01,,,89864,7.85,,,17430,4832,,,,8.37,4.08,85032,,,,,,79,-1,1.662108142,51.22279584,104.9522155,-1626,-243,-1.777243415,68.58747834,98.96698311,-1705,-242,-1.965712441,69.93470557,98.6473004,-1359,-158,-7.232955453,148.6440389,90.39518722,,3.816793893,5.795148248
