date,rx_share,proj1,proj2,65pop,65pop_ix,real_rx_hh,real_rx_hh_ix
1960,0.980578967,,,9.231186129,100,320.0342127,100
1961,0.968983957,,,9.306936139,100.820588,317.1288619,99.09217491
1962,1.011690047,,,9.361412315,101.41072,341.5969896,106.7376474
1963,1.003175611,,,9.396822209,101.7943098,348.9285253,109.0285074
1964,0.990822972,,,9.449848817,102.3687388,358.6466899,112.0651092
1965,1.021165476,,,9.498833971,102.8993873,383.6147895,119.8668062
1966,0.995503372,,,9.544255421,103.3914308,394.6413871,123.3122496
1967,0.985314685,,,9.599831877,103.9934819,402.6044998,125.8004563
1968,1.004661017,,,9.650568366,104.5431024,423.4586046,132.3166673
1969,0.993440093,,,9.711647783,105.2047662,429.9638556,134.3493409
1970,0.996555475,,,9.809022256,106.2596087,430.2811885,134.4484969
1971,1.005474765,,,9.904888987,107.298118,431.8957033,134.9529788
1972,0.989981215,,,10.01721336,108.5149104,436.5748654,136.4150606
1973,0.961766366,,,10.16012216,110.0630192,436.2282787,136.3067639
1974,0.961025508,,,10.31807085,111.7740527,420.2487425,131.3136926
1975,0.988217968,,,10.51289546,113.8845573,413.3151976,129.1471915
1976,0.969434256,,,10.6780765,115.6739378,414.259039,129.4421104
1977,0.924964796,,,10.85041305,117.5408327,403.0211358,125.9306411
1978,0.882652151,,,11.01092012,119.2795808,395.0431909,123.4377998
1979,0.857256842,,,11.17045182,121.0077628,387.5368539,121.0923203
1980,0.877311781,,,11.29397551,122.3458758,375.7185378,117.3994913
1981,0.886462882,,,11.40456256,123.543848,376.5422891,117.6568861
1982,0.946708661,,,11.54001043,125.0111336,394.6622809,123.3187782
1983,1.03266766,,,11.68031471,126.5310281,434.0968418,135.6407611
1984,1.063309664,,,11.79715793,127.7967725,466.042812,145.6228095
1985,1.099314032,,,11.91878867,129.1143792,491.4232064,153.5533349
1986,1.155401227,,,12.05675999,130.6090011,525.9679087,164.3474003
1987,1.191685503,,,12.20439547,132.2083132,557.7873956,174.289927
1988,1.256086564,,,12.29700735,133.2115633,600.8599547,187.7486627
1989,1.345553792,,,12.40744889,134.4079593,641.3389755,200.3970044
1990,1.469794251,,,12.49656265,135.3733147,708.6325667,221.4240036
1991,1.576869781,,,12.55436065,135.9994315,748.0632233,233.7447665
1992,1.583948744,,,12.60081316,136.5026442,760.3962886,237.5984374
1993,1.60916442,,,12.64744028,137.0077486,776.4625334,242.6186022
1994,1.638107891,,,12.65771445,137.119047,808.1718995,252.5267197
1995,1.748566413,,,12.67340444,137.2890142,875.510711,273.5678487
1996,1.882593668,,,12.66527561,137.2009559,970.3333913,303.1967686
1997,2.002579447,,,12.60952562,136.597025,1072.716898,335.1881939
1998,2.116319112,,,12.54217417,135.8674172,1195.585143,373.580416
1999,2.345536115,,,12.46367759,135.0170759,1374.177071,429.3844272
2000,2.50788454,,,12.42302202,134.5766605,1539.56205,481.0617081
2001,2.805586953,,,12.37322371,134.0372032,1678.514991,524.4798599
2002,3.160575614,,,12.33328704,133.6045755,1862.946034,582.1083996
2003,3.438417221,,,12.3355553,133.6291472,2007.256877,627.200717
2004,3.556447002,,,12.33974123,133.6744927,2125.125687,664.0307826
2005,3.604058327,,,12.3769224,134.0772706,2172.12897,678.7177382
2006,3.6992439,,,12.43242041,134.6784718,2289.774707,715.4781006
2007,3.684482112,,,12.52909378,135.7257194,2316.034393,723.6833754
2008,3.69607618,,,12.72573986,137.8559557,2287.496197,714.7661423
2009,4.041734651,,,12.89091104,139.6452294,2387.424536,745.9904102
2010,3.966789494,,,13.06818292,141.565588,2344.406364,732.5486684
2011,3.899716577,,,13.25772789,143.6188991,2293.114968,716.5218207
2012,3.738496169,,,13.73440816,148.7827021,2232.557475,697.5996273
2013,3.724886534,,,14.13157396,153.0851373,2228.974199,696.4799732
2014,3.984216792,,,14.50589889,157.1401409,2452.08084,766.193345
2015,4.131881143,,,14.85466239,160.9182415,2633.364473,822.8384243
2016,,4.17374366,,,,,
2017,,4.207734548,4.207734548,,,,
2018,,4.346419676,0.869283935,,,,
2019,,4.45818917,0.891637834,,,,
2020,,4.574669562,0.914933912,,,,
2021,,4.686699468,0.937339894,,,,
2022,,4.800892883,0.960178577,,,,
2023,,4.917316925,0.983463385,,,,
2024,,5.03669066,1.007338132,,,,
2025,,5.160550379,1.032110076,,,,
