date,TOT_HRS,CON_LD,CON_JO,TOT_NFP,CPI-W,TOT_JO,TOT_AHE,TOT_JOU,CON_HRS,CON_NFP,LFPR,CON_AHE,CON_QU,TOT_QU,CON_UN,CON_LDU,EPOP,TOT_LDU,CON_HRS_NSA,TOT_LD,TOT_HI,TOT_HRS_NSA,CON_HI,CON_JOU,TOT_UN,CON_ahe_ch,CON_nfp_ch,CON_joph,CON_unop,CON_rw,TOT_ahe_ch,TOT_nfp_ch,TOT_joph,TOT_unop,TOT_rw,CON_sh
2009-01-01,34.0,5.8,42.0,134053.0,206.496,2767.0,18.4,2868.0,37.3,6567.0,65.7,22.39,1.2,1.5,1744.0,8.5,60.6,2.4,36.6,1.9,4158.0,33.6,353.0,42.0,13009.0,,,0.118980169972,41.5238095238,22.39,,,0.665464165464,4.53591352859,18.4,0.0489880868015
2009-02-01,34.1,5.3,63.0,133351.0,207.285,2791.0,18.45,2632.0,37.4,6446.0,65.8,22.4,1.4,1.4,2025.0,5.1,60.3,1.5,36.6,1.9,4011.0,34.0,330.0,63.0,13699.0,,,0.190909090909,32.1428571429,22.31473768,,,0.695836449763,5.20478723404,18.3797727766,0.0483385951361
2009-03-01,33.8,5.7,46.0,132528.0,207.049,2491.0,18.5,2429.0,37.2,6291.0,65.6,22.6,1.4,1.4,1979.0,5.0,59.9,1.5,36.8,1.8,3730.0,33.9,311.0,46.0,13895.0,,,0.147909967846,43.0217391304,22.5396384431,,,0.667828418231,5.7204610951,18.450588991,0.0474692140529
2009-04-01,33.8,6.5,25.0,131841.0,207.364,2357.0,18.52,2533.0,37.2,6154.0,65.7,22.56,1.1,1.3,1737.0,5.9,59.8,1.8,36.6,1.9,3853.0,33.5,326.0,25.0,13248.0,,,0.0766871165644,69.48,22.4655666364,,,0.611731118609,5.2301618634,18.4424775757,0.046677437216
2009-05-01,33.8,5.2,41.0,131492.0,207.808,2427.0,18.54,2427.0,37.3,6100.0,65.7,22.64,1.3,1.3,1768.0,4.2,59.6,1.4,37.4,1.6,3793.0,33.6,332.0,41.0,13973.0,,,0.123493975904,43.1219512195,22.4970619033,,,0.639862905352,5.75731355583,18.422947336,0.0463906549448
2009-06-01,33.7,4.7,54.0,131021.0,209.999,2428.0,18.56,2408.0,37.2,6010.0,65.7,22.66,1.3,1.4,1601.0,3.4,59.4,1.5,37.7,1.6,3675.0,33.7,256.0,54.0,15095.0,,,0.2109375,29.6481481481,22.2820078191,,,0.660680272109,6.26868770764,18.2504000495,0.0458705093077
2009-07-01,33.8,5.9,57.0,130692.0,209.971,2196.0,18.6,2373.0,37.4,5932.0,65.5,22.7,1.2,1.3,1687.0,5.3,59.3,1.8,38.1,1.7,3854.0,33.8,324.0,57.0,15201.0,,,0.175925925926,29.5964912281,22.3243171676,,,0.56979761287,6.40581542351,18.2921717761,0.0453891592446
2009-08-01,33.8,4.8,62.0,130479.0,210.828,2306.0,18.66,2356.0,37.4,5855.0,65.4,22.65,1.0,1.3,1542.0,4.4,59.1,1.7,38.3,1.6,3744.0,34.3,253.0,62.0,14823.0,,,0.245059288538,24.8709677419,22.1845978713,,,0.615918803419,6.2915959253,18.2765826171,0.0448731213452
2009-09-01,33.9,5.3,66.0,130259.0,211.286,2478.0,18.71,2493.0,37.5,5787.0,65.1,22.5,1.3,1.3,1594.0,5.0,58.7,1.7,36.3,1.6,3859.0,33.7,319.0,66.0,14538.0,,,0.206896551724,24.1515151515,21.9899094119,,,0.642135268204,5.83152827918,18.2858313376,0.0444268726153
2009-10-01,33.8,5.4,57.0,130055.0,211.976,2400.0,18.75,2553.0,36.4,5716.0,65.0,22.91,1.1,1.3,1744.0,5.7,58.5,1.6,37.0,1.5,3767.0,33.8,309.0,57.0,14547.0,,,0.184466019417,30.5964912281,22.3177310639,,,0.637111760021,5.69800235018,18.2652753142,0.0439506362693
