,balance,balance_lt,exports,exports_lt,imp_neg,imp_neg_lt,imports,imports_lt,symbol,text,time_lt
IRELAND,-1.1515529759999996,-3.9715564519999997,-0.264443454,0.796595003,-0.8871095219999998,-4.768151455,0.8871095219999998,4.768151455,▾,<b>IRELAND</b><br>(<i>Apr 2018</i>)<br>Balance: $-3.97B (▾$-1.15B)<br>Exports: $0.80B<br>Imports: $4.77B,2018-04-01
JAPAN,-1.0334347579999994,-6.285477096,-0.1313320280000001,5.818482103,-0.9021027299999993,-12.103959199,0.9021027299999993,12.103959199,▾,<b>JAPAN</b><br>(<i>Apr 2018</i>)<br>Balance: $-6.29B (▾$-1.03B)<br>Exports: $5.82B<br>Imports: $12.10B,2018-04-01
SWITZERLAND,-0.7856783390000002,-2.332424133,-0.08095455000000018,1.359949414,-0.704723789,-3.692373547,0.704723789,3.692373547,▾,<b>SWITZERLAND</b><br>(<i>Apr 2018</i>)<br>Balance: $-2.33B (▾$-0.79B)<br>Exports: $1.36B<br>Imports: $3.69B,2018-04-01
SAUDI ARABIA,-0.7525837900000001,-0.9578634619999999,-0.35406132300000004,1.061836062,-0.39852246700000005,-2.019699524,0.39852246700000005,2.019699524,▾,<b>SAUDI ARABIA</b><br>(<i>Apr 2018</i>)<br>Balance: $-0.96B (▾$-0.75B)<br>Exports: $1.06B<br>Imports: $2.02B,2018-04-01
FRANCE,-0.7105733360000004,-1.6265837010000004,0.36703126899999994,3.139867518,-1.0776046050000003,-4.766451219,1.0776046050000003,4.766451219,▾,<b>FRANCE</b><br>(<i>Apr 2018</i>)<br>Balance: $-1.63B (▾$-0.71B)<br>Exports: $3.14B<br>Imports: $4.77B,2018-04-01
INDIA,-0.6130992180000008,-2.3832655780000005,0.45153288999999974,2.443453708,-1.0646321080000005,-4.826719286,1.0646321080000005,4.826719286,▾,<b>INDIA</b><br>(<i>Apr 2018</i>)<br>Balance: $-2.38B (▾$-0.61B)<br>Exports: $2.44B<br>Imports: $4.83B,2018-04-01
GERMANY,-0.6090360240000008,-5.993580059,0.4597006499999994,4.730882551,-1.0687366740000002,-10.72446261,1.0687366740000002,10.72446261,▾,<b>GERMANY</b><br>(<i>Apr 2018</i>)<br>Balance: $-5.99B (▾$-0.61B)<br>Exports: $4.73B<br>Imports: $10.72B,2018-04-01
MALAYSIA,-0.5345149169999999,-2.2930370079999998,0.06676245799999991,1.096592649,-0.601277375,-3.389629657,0.601277375,3.389629657,▾,<b>MALAYSIA</b><br>(<i>Apr 2018</i>)<br>Balance: $-2.29B (▾$-0.53B)<br>Exports: $1.10B<br>Imports: $3.39B,2018-04-01
IRAQ,-0.44033352400000014,-1.45571976,0.033844424,0.111299837,-0.4741779480000001,-1.567019597,0.4741779480000001,1.567019597,▾,<b>IRAQ</b><br>(<i>Apr 2018</i>)<br>Balance: $-1.46B (▾$-0.44B)<br>Exports: $0.11B<br>Imports: $1.57B,2018-04-01
ANGOLA,-0.370077909,-0.395800182,-0.045781991999999994,0.049304766,-0.324295917,-0.445104948,0.324295917,0.445104948,▾,<b>ANGOLA</b><br>(<i>Apr 2018</i>)<br>Balance: $-0.40B (▾$-0.37B)<br>Exports: $0.05B<br>Imports: $0.45B,2018-04-01
,,,,,,,,,,,
BRAZIL,0.1636694999999997,0.6256103049999999,0.3268321079999996,3.123425141,-0.16316260799999993,-2.497814836,0.16316260799999993,2.497814836,▴,<b>BRAZIL</b><br>(<i>Apr 2018</i>)<br>Balance: $0.63B (▴$0.16B)<br>Exports: $3.12B<br>Imports: $2.50B,2018-04-01
CURACAO,0.16394878200000002,0.181748569,0.15186826199999998,0.185422081,0.01208052,-0.003673512,-0.01208052,0.003673512,▴,<b>CURACAO</b><br>(<i>Apr 2018</i>)<br>Balance: $0.18B (▴$0.16B)<br>Exports: $0.19B<br>Imports: $0.00B,2018-04-01
BAHRAIN,0.17143284999999997,0.15613676199999998,0.204952519,0.260740602,-0.033519669,-0.10460384,0.033519669,0.10460384,▴,<b>BAHRAIN</b><br>(<i>Apr 2018</i>)<br>Balance: $0.16B (▴$0.17B)<br>Exports: $0.26B<br>Imports: $0.10B,2018-04-01
TRINIDAD AND TOBAGO,0.176905068,-0.060377296,0.050040745,0.176341907,0.126864323,-0.236719203,-0.126864323,0.236719203,▴,<b>TRINIDAD AND TOBAGO</b><br>(<i>Apr 2018</i>)<br>Balance: $-0.06B (▴$0.18B)<br>Exports: $0.18B<br>Imports: $0.24B,2018-04-01
ITALY,0.3391113640000003,-2.537710887,0.7315901889999998,2.120064775,-0.39247882499999953,-4.657775662,0.39247882499999953,4.657775662,▴,<b>ITALY</b><br>(<i>Apr 2018</i>)<br>Balance: $-2.54B (▴$0.34B)<br>Exports: $2.12B<br>Imports: $4.66B,2018-04-01
COLOMBIA,0.4213217910000002,0.3221370590000001,0.3131314570000001,1.316809861,0.10819033400000011,-0.994672802,-0.10819033400000011,0.994672802,▴,<b>COLOMBIA</b><br>(<i>Apr 2018</i>)<br>Balance: $0.32B (▴$0.42B)<br>Exports: $1.32B<br>Imports: $0.99B,2018-04-01
VIETNAM,0.4652860030000001,-2.809190481,0.078084076,0.756083602,0.387201927,-3.565274083,-0.387201927,3.565274083,▴,<b>VIETNAM</b><br>(<i>Apr 2018</i>)<br>Balance: $-2.81B (▴$0.47B)<br>Exports: $0.76B<br>Imports: $3.57B,2018-04-01
UNITED KINGDOM,0.5569425920000004,0.7572096010000005,1.0361374300000001,5.663754745,-0.47919483799999973,-4.906545144,0.47919483799999973,4.906545144,▴,<b>UNITED KINGDOM</b><br>(<i>Apr 2018</i>)<br>Balance: $0.76B (▴$0.56B)<br>Exports: $5.66B<br>Imports: $4.91B,2018-04-01
MEXICO,0.6006049709999992,-5.652263867000002,3.5141945119999995,22.433279256,-2.9135895410000003,-28.085543123,2.9135895410000003,28.085543123,▴,<b>MEXICO</b><br>(<i>Apr 2018</i>)<br>Balance: $-5.65B (▴$0.60B)<br>Exports: $22.43B<br>Imports: $28.09B,2018-04-01
CANADA,0.6680358580000032,-0.7846183799999977,2.981535452000003,25.698138914,-2.3134995939999996,-26.482757294,2.3134995939999996,26.482757294,▴,<b>CANADA</b><br>(<i>Apr 2018</i>)<br>Balance: $-0.78B (▴$0.67B)<br>Exports: $25.70B<br>Imports: $26.48B,2018-04-01
