,balance,balance_lt,exports,exports_lt,imp_neg,imp_neg_lt,imports,imports_lt,symbol,text,time_lt
CHINA,-1.033240384,-34.894392207,1.556027973,10.925093308,-2.589268357,-45.819485515,2.589268357,45.819485515,▾,<b>CHINA</b><br>(<i>Aug 2017</i>)<br>Balance: $-34.89B (▾$-1.03B)<br>Exports: $10.93B<br>Imports: $45.82B,2017-08-01
SAUDI ARABIA,-0.785267412,-0.273943861,-1.178053462,1.051135765,0.39278605,-1.325079626,-0.39278605,1.325079626,▾,<b>SAUDI ARABIA</b><br>(<i>Aug 2017</i>)<br>Balance: $-0.27B (▾$-0.79B)<br>Exports: $1.05B<br>Imports: $1.33B,2017-08-01
VIETNAM,-0.733681433,-3.629582359,-0.46552728,0.597822678,-0.268154153,-4.227405037,0.268154153,4.227405037,▾,<b>VIETNAM</b><br>(<i>Aug 2017</i>)<br>Balance: $-3.63B (▾$-0.73B)<br>Exports: $0.60B<br>Imports: $4.23B,2017-08-01
JAPAN,-0.580310326,-6.553509306,-0.055999321,5.409476394,-0.524311005,-11.9629857,0.524311005,11.9629857,▾,<b>JAPAN</b><br>(<i>Aug 2017</i>)<br>Balance: $-6.55B (▾$-0.58B)<br>Exports: $5.41B<br>Imports: $11.96B,2017-08-01
MEXICO,-0.576764224,-6.178369426,0.908811872,20.86866877,-1.485576096,-27.047038196,1.485576096,27.047038196,▾,<b>MEXICO</b><br>(<i>Aug 2017</i>)<br>Balance: $-6.18B (▾$-0.58B)<br>Exports: $20.87B<br>Imports: $27.05B,2017-08-01
SWITZERLAND,-0.345578939,-1.450142028,0.042812945,1.763935828,-0.388391884,-3.214077856,0.388391884,3.214077856,▾,<b>SWITZERLAND</b><br>(<i>Aug 2017</i>)<br>Balance: $-1.45B (▾$-0.35B)<br>Exports: $1.76B<br>Imports: $3.21B,2017-08-01
NIGERIA,-0.341062521,-0.500455211,-0.048851091,0.128283715,-0.29221143,-0.628738926,0.29221143,0.628738926,▾,<b>NIGERIA</b><br>(<i>Aug 2017</i>)<br>Balance: $-0.50B (▾$-0.34B)<br>Exports: $0.13B<br>Imports: $0.63B,2017-08-01
ALGERIA,-0.273530815,-0.338168157,-0.13795127,0.053456759,-0.135579545,-0.391624916,0.135579545,0.391624916,▾,<b>ALGERIA</b><br>(<i>Aug 2017</i>)<br>Balance: $-0.34B (▾$-0.27B)<br>Exports: $0.05B<br>Imports: $0.39B,2017-08-01
AZERBAIJAN,-0.178678972,0.011471511,-0.222531071,0.013392265,0.043852099,-0.001920754,-0.043852099,0.001920754,▾,<b>AZERBAIJAN</b><br>(<i>Aug 2017</i>)<br>Balance: $0.01B (▾$-0.18B)<br>Exports: $0.01B<br>Imports: $0.00B,2017-08-01
SPAIN,-0.158639665,-0.546556767,0.168346929,0.935152848,-0.326986594,-1.481709615,0.326986594,1.481709615,▾,<b>SPAIN</b><br>(<i>Aug 2017</i>)<br>Balance: $-0.55B (▾$-0.16B)<br>Exports: $0.94B<br>Imports: $1.48B,2017-08-01
