,balance,balance_lt,exports,exports_lt,imp_neg,imp_neg_lt,imports,imports_lt,symbol,text,time_lt
CHINA,-6.295981524000002,-29.261508976000002,0.00826680599999996,9.80609267,-6.30424833,-39.067601646,6.30424833,39.067601646,▾,<b>CHINA</b><br>(<i>Feb 2018</i>)<br>Balance: $-29.26B (▾$-6.30B)<br>Exports: $9.81B<br>Imports: $39.07B,2018-02-01
GERMANY,-0.9153683389999987,-5.3508282529999995,0.4114860890000003,4.644138434,-1.326854427999999,-9.994966687,1.326854427999999,9.994966687,▾,<b>GERMANY</b><br>(<i>Feb 2018</i>)<br>Balance: $-5.35B (▾$-0.92B)<br>Exports: $4.64B<br>Imports: $9.99B,2018-02-01
JAPAN,-0.8314307770000005,-5.503016737,0.11274300799999981,5.31333361,-0.9441737850000003,-10.816350347,0.9441737850000003,10.816350347,▾,<b>JAPAN</b><br>(<i>Feb 2018</i>)<br>Balance: $-5.50B (▾$-0.83B)<br>Exports: $5.31B<br>Imports: $10.82B,2018-02-01
AUSTRIA,-0.6847036030000001,-0.5967673010000001,-0.63938129,0.313145568,-0.045322313,-0.909912869,0.045322313,0.909912869,▾,<b>AUSTRIA</b><br>(<i>Feb 2018</i>)<br>Balance: $-0.60B (▾$-0.68B)<br>Exports: $0.31B<br>Imports: $0.91B,2018-02-01
ITALY,-0.5939344209999999,-2.383539602,-0.0252686230000001,1.593407335,-0.5686657980000001,-3.976946937,0.5686657980000001,3.976946937,▾,<b>ITALY</b><br>(<i>Feb 2018</i>)<br>Balance: $-2.38B (▾$-0.59B)<br>Exports: $1.59B<br>Imports: $3.98B,2018-02-01
SINGAPORE,-0.5283775669999999,0.5972479709999998,-0.03265058200000004,2.308998155,-0.4957269849999999,-1.711750184,0.4957269849999999,1.711750184,▾,<b>SINGAPORE</b><br>(<i>Feb 2018</i>)<br>Balance: $0.60B (▾$-0.53B)<br>Exports: $2.31B<br>Imports: $1.71B,2018-02-01
SPAIN,-0.512198603,-0.42575520999999994,0.08849674399999996,1.081362849,-0.6006953469999999,-1.507118059,0.6006953469999999,1.507118059,▾,<b>SPAIN</b><br>(<i>Feb 2018</i>)<br>Balance: $-0.43B (▾$-0.51B)<br>Exports: $1.08B<br>Imports: $1.51B,2018-02-01
IRAQ,-0.5055201560000001,-1.0793919410000001,0.01904028399999999,0.101274674,-0.52456044,-1.180666615,0.52456044,1.180666615,▾,<b>IRAQ</b><br>(<i>Feb 2018</i>)<br>Balance: $-1.08B (▾$-0.51B)<br>Exports: $0.10B<br>Imports: $1.18B,2018-02-01
TAIWAN,-0.49689664700000025,-1.312361321,-0.14563572700000016,1.90347016,-0.3512609200000001,-3.215831481,0.3512609200000001,3.215831481,▾,<b>TAIWAN</b><br>(<i>Feb 2018</i>)<br>Balance: $-1.31B (▾$-0.50B)<br>Exports: $1.90B<br>Imports: $3.22B,2018-02-01
MALAYSIA,-0.43403061100000007,-2.123693473,0.027235959999999837,1.036050558,-0.4612665709999999,-3.159744031,0.4612665709999999,3.159744031,▾,<b>MALAYSIA</b><br>(<i>Feb 2018</i>)<br>Balance: $-2.12B (▾$-0.43B)<br>Exports: $1.04B<br>Imports: $3.16B,2018-02-01
