,balance,balance_lt,exports,exports_lt,imp_neg,imp_neg_lt,imports,imports_lt,symbol,text,time_lt
CHINA,-4.6483738169999995,-35.9527812,-0.23667117000000104,9.83525935,-4.4117026469999985,-45.78804055,4.4117026469999985,45.78804055,▾,<b>CHINA</b><br>(<i>Jan 2018</i>)<br>Balance: $-35.95B (▾$-4.65B)<br>Exports: $9.84B<br>Imports: $45.79B,2018-01-01
HONG KONG,-0.6985573249999999,2.407869701,-0.7790639829999999,2.932063532,0.0805066579999999,-0.524193831,-0.0805066579999999,0.524193831,▾,<b>HONG KONG</b><br>(<i>Jan 2018</i>)<br>Balance: $2.41B (▾$-0.70B)<br>Exports: $2.93B<br>Imports: $0.52B,2018-01-01
AUSTRIA,-0.644854514,-0.601647573,-0.556473053,0.297326592,-0.088381461,-0.898974165,0.088381461,0.898974165,▾,<b>AUSTRIA</b><br>(<i>Jan 2018</i>)<br>Balance: $-0.60B (▾$-0.64B)<br>Exports: $0.30B<br>Imports: $0.90B,2018-01-01
COLOMBIA,-0.6319135760000001,-0.4374194,-0.16001737700000018,1.069624545,-0.4718961989999999,-1.507043945,0.4718961989999999,1.507043945,▾,<b>COLOMBIA</b><br>(<i>Jan 2018</i>)<br>Balance: $-0.44B (▾$-0.63B)<br>Exports: $1.07B<br>Imports: $1.51B,2018-01-01
TAIWAN,-0.544407643,-1.6906097,-0.1445315869999999,2.084332415,-0.3998760560000001,-3.774942115,0.3998760560000001,3.774942115,▾,<b>TAIWAN</b><br>(<i>Jan 2018</i>)<br>Balance: $-1.69B (▾$-0.54B)<br>Exports: $2.08B<br>Imports: $3.77B,2018-01-01
GERMANY,-0.5030593040000007,-5.385871849000001,0.5041064980000001,4.402860036,-1.0071658020000012,-9.788731885,1.0071658020000012,9.788731885,▾,<b>GERMANY</b><br>(<i>Jan 2018</i>)<br>Balance: $-5.39B (▾$-0.50B)<br>Exports: $4.40B<br>Imports: $9.79B,2018-01-01
ITALY,-0.4203875069999996,-2.6470612069999997,0.24974875400000007,1.668500984,-0.6701362609999997,-4.315562191,0.6701362609999997,4.315562191,▾,<b>ITALY</b><br>(<i>Jan 2018</i>)<br>Balance: $-2.65B (▾$-0.42B)<br>Exports: $1.67B<br>Imports: $4.32B,2018-01-01
IRAQ,-0.40376161200000005,-1.130122354,-0.047575090999999986,0.116558462,-0.35618652100000003,-1.246680816,0.35618652100000003,1.246680816,▾,<b>IRAQ</b><br>(<i>Jan 2018</i>)<br>Balance: $-1.13B (▾$-0.40B)<br>Exports: $0.12B<br>Imports: $1.25B,2018-01-01
SPAIN,-0.3957798629999999,-0.4929799789999999,0.014555519000000072,0.91497649,-0.41033538199999997,-1.407956469,0.41033538199999997,1.407956469,▾,<b>SPAIN</b><br>(<i>Jan 2018</i>)<br>Balance: $-0.49B (▾$-0.40B)<br>Exports: $0.91B<br>Imports: $1.41B,2018-01-01
CHILE,-0.39532377399999996,-0.16857857999999992,-0.25051354300000006,1.038762857,-0.1448102309999999,-1.207341437,0.1448102309999999,1.207341437,▾,<b>CHILE</b><br>(<i>Jan 2018</i>)<br>Balance: $-0.17B (▾$-0.40B)<br>Exports: $1.04B<br>Imports: $1.21B,2018-01-01
,,,,,,,,,,,
NORWAY,0.15126486399999994,0.09644513499999996,0.23483773299999994,0.523960884,-0.083572869,-0.427515749,0.083572869,0.427515749,▴,<b>NORWAY</b><br>(<i>Jan 2018</i>)<br>Balance: $0.10B (▴$0.15B)<br>Exports: $0.52B<br>Imports: $0.43B,2018-01-01
OMAN,0.155120913,0.205633911,0.139326974,0.291769383,0.015793938999999993,-0.086135472,-0.015793938999999993,0.086135472,▴,<b>OMAN</b><br>(<i>Jan 2018</i>)<br>Balance: $0.21B (▴$0.16B)<br>Exports: $0.29B<br>Imports: $0.09B,2018-01-01
SWITZERLAND,0.22067572899999965,-1.1145145370000002,0.40450827599999983,2.128676078,-0.18383254700000018,-3.243190615,0.18383254700000018,3.243190615,▴,<b>SWITZERLAND</b><br>(<i>Jan 2018</i>)<br>Balance: $-1.11B (▴$0.22B)<br>Exports: $2.13B<br>Imports: $3.24B,2018-01-01
NETHERLANDS,0.25866114200000045,2.0504336490000004,0.49502489100000036,3.676667521,-0.23636374900000012,-1.626233872,0.23636374900000012,1.626233872,▴,<b>NETHERLANDS</b><br>(<i>Jan 2018</i>)<br>Balance: $2.05B (▴$0.26B)<br>Exports: $3.68B<br>Imports: $1.63B,2018-01-01
SAUDI ARABIA,0.2740729669999997,-0.6831375210000001,-0.2205869330000001,0.80241557,0.4946598999999998,-1.485553091,-0.4946598999999998,1.485553091,▴,<b>SAUDI ARABIA</b><br>(<i>Jan 2018</i>)<br>Balance: $-0.68B (▴$0.27B)<br>Exports: $0.80B<br>Imports: $1.49B,2018-01-01
AUSTRALIA,0.3173945119999998,1.090621108,0.3006778929999998,1.938547259,0.016716618999999988,-0.847926151,-0.016716618999999988,0.847926151,▴,<b>AUSTRALIA</b><br>(<i>Jan 2018</i>)<br>Balance: $1.09B (▴$0.32B)<br>Exports: $1.94B<br>Imports: $0.85B,2018-01-01
VENEZUELA,0.46012472599999993,-0.495952844,0.05675536799999997,0.404763485,0.40336935799999996,-0.900716329,-0.40336935799999996,0.900716329,▴,<b>VENEZUELA</b><br>(<i>Jan 2018</i>)<br>Balance: $-0.50B (▴$0.46B)<br>Exports: $0.40B<br>Imports: $0.90B,2018-01-01
ISRAEL,0.4762275819999999,-0.766524416,0.04345467199999997,1.021889184,0.43277290999999996,-1.7884136,-0.43277290999999996,1.7884136,▴,<b>ISRAEL</b><br>(<i>Jan 2018</i>)<br>Balance: $-0.77B (▴$0.48B)<br>Exports: $1.02B<br>Imports: $1.79B,2018-01-01
"KOREA, SOUTH",0.6181992350000001,-1.967712649,0.32025722300000004,3.688341445,0.29794201200000003,-5.656054094,-0.29794201200000003,5.656054094,▴,"<b>KOREA, SOUTH</b><br>(<i>Jan 2018</i>)<br>Balance: $-1.97B (▴$0.62B)<br>Exports: $3.69B<br>Imports: $5.66B",2018-01-01
