,balance,balance_lt,exports,exports_lt,imp_neg,imp_neg_lt,imports,imports_lt,symbol,text,time_lt
CHINA,-1.2656707989999987,-33.186552236,0.7486403599999996,10.610817545,-2.014311159000002,-43.797369781,2.014311159000002,43.797369781,▾,<b>CHINA</b><br>(<i>May 2018</i>)<br>Balance: $-33.19B (▾$-1.27B)<br>Exports: $10.61B<br>Imports: $43.80B,2018-05-01
GERMANY,-0.7199066349999992,-5.716602260999999,0.6442102270000003,5.131368119,-1.3641168619999995,-10.84797038,1.3641168619999995,10.84797038,▾,<b>GERMANY</b><br>(<i>May 2018</i>)<br>Balance: $-5.72B (▾$-0.72B)<br>Exports: $5.13B<br>Imports: $10.85B,2018-05-01
MALAYSIA,-0.5916752779999996,-2.587709242,-0.22185647799999986,1.048556389,-0.3698188,-3.636265631,0.3698188,3.636265631,▾,<b>MALAYSIA</b><br>(<i>May 2018</i>)<br>Balance: $-2.59B (▾$-0.59B)<br>Exports: $1.05B<br>Imports: $3.64B,2018-05-01
RUSSIA,-0.4682040070000001,-1.4038750070000001,0.09759854499999998,0.57660121,-0.5658025520000001,-1.980476217,0.5658025520000001,1.980476217,▾,<b>RUSSIA</b><br>(<i>May 2018</i>)<br>Balance: $-1.40B (▾$-0.47B)<br>Exports: $0.58B<br>Imports: $1.98B,2018-05-01
"KOREA, SOUTH",-0.372033622,-1.8031443280000001,0.32452999800000004,4.852944817,-0.69656362,-6.656089145,0.69656362,6.656089145,▾,"<b>KOREA, SOUTH</b><br>(<i>May 2018</i>)<br>Balance: $-1.80B (▾$-0.37B)<br>Exports: $4.85B<br>Imports: $6.66B",2018-05-01
IRAQ,-0.25902611600000014,-1.0479359730000002,0.019198816000000007,0.109626659,-0.2782249320000001,-1.157562632,0.2782249320000001,1.157562632,▾,<b>IRAQ</b><br>(<i>May 2018</i>)<br>Balance: $-1.05B (▾$-0.26B)<br>Exports: $0.11B<br>Imports: $1.16B,2018-05-01
SWEDEN,-0.21107155200000005,-0.801757866,0.025438362999999964,0.368113588,-0.23650991499999996,-1.169871454,0.23650991499999996,1.169871454,▾,<b>SWEDEN</b><br>(<i>May 2018</i>)<br>Balance: $-0.80B (▾$-0.21B)<br>Exports: $0.37B<br>Imports: $1.17B,2018-05-01
ITALY,-0.20681696100000035,-2.8289568430000003,0.588643858,2.065104538,-0.7954608190000005,-4.894061381,0.7954608190000005,4.894061381,▾,<b>ITALY</b><br>(<i>May 2018</i>)<br>Balance: $-2.83B (▾$-0.21B)<br>Exports: $2.07B<br>Imports: $4.89B,2018-05-01
TURKEY,-0.18327432899999996,0.016447887999999966,-0.17881887099999993,0.861426535,-0.004455458000000023,-0.844978647,0.004455458000000023,0.844978647,▾,<b>TURKEY</b><br>(<i>May 2018</i>)<br>Balance: $0.02B (▾$-0.18B)<br>Exports: $0.86B<br>Imports: $0.84B,2018-05-01
DENMARK,-0.17176759800000008,-0.6237221980000001,0.04559086199999998,0.217409584,-0.21735846000000003,-0.841131782,0.21735846000000003,0.841131782,▾,<b>DENMARK</b><br>(<i>May 2018</i>)<br>Balance: $-0.62B (▾$-0.17B)<br>Exports: $0.22B<br>Imports: $0.84B,2018-05-01
,,,,,,,,,,,
ECUADOR,0.23427678899999999,0.039250318000000006,0.21238227400000004,0.595570091,0.021894514999999948,-0.556319773,-0.021894514999999948,0.556319773,▴,<b>ECUADOR</b><br>(<i>May 2018</i>)<br>Balance: $0.04B (▴$0.23B)<br>Exports: $0.60B<br>Imports: $0.56B,2018-05-01
EGYPT,0.245390571,0.337658895,0.25539879299999996,0.539841484,-0.010008221999999983,-0.202182589,0.010008221999999983,0.202182589,▴,<b>EGYPT</b><br>(<i>May 2018</i>)<br>Balance: $0.34B (▴$0.25B)<br>Exports: $0.54B<br>Imports: $0.20B,2018-05-01
CHILE,0.273042389,0.513543319,0.44033502300000005,1.451608618,-0.16729263400000005,-0.938065299,0.16729263400000005,0.938065299,▴,<b>CHILE</b><br>(<i>May 2018</i>)<br>Balance: $0.51B (▴$0.27B)<br>Exports: $1.45B<br>Imports: $0.94B,2018-05-01
QATAR,0.29336209799999996,0.34851457999999996,0.37436759799999997,0.502072777,-0.08100550000000001,-0.153558197,0.08100550000000001,0.153558197,▴,<b>QATAR</b><br>(<i>May 2018</i>)<br>Balance: $0.35B (▴$0.29B)<br>Exports: $0.50B<br>Imports: $0.15B,2018-05-01
