,balance,balance_lt,exports,exports_lt,imp_neg,imp_neg_lt,imports,imports_lt,symbol,text,time_lt
CHINA,-2.118013881,-34.637820901,1.297086443,10.804187161,-3.415100324,-45.442008062,3.415100324,45.442008062,▾,<b>CHINA</b><br>(<i>Sep 2017</i>)<br>Balance: $-34.64B (▾$-2.12B)<br>Exports: $10.80B<br>Imports: $45.44B,2017-09-01
TAIWAN,-0.884123706,-1.593451728,-0.486069765,2.119614154,-0.398053941,-3.713065882,0.398053941,3.713065882,▾,<b>TAIWAN</b><br>(<i>Sep 2017</i>)<br>Balance: $-1.59B (▾$-0.88B)<br>Exports: $2.12B<br>Imports: $3.71B,2017-09-01
VIETNAM,-0.766717316,-3.235052944,-0.354161456,0.626807218,-0.41255586,-3.861860162,0.41255586,3.861860162,▾,<b>VIETNAM</b><br>(<i>Sep 2017</i>)<br>Balance: $-3.24B (▾$-0.77B)<br>Exports: $0.63B<br>Imports: $3.86B,2017-09-01
"KOREA, SOUTH",-0.521961698,-1.947574432,0.169596428,3.825159534,-0.691558126,-5.772733966,0.691558126,5.772733966,▾,"<b>KOREA, SOUTH</b><br>(<i>Sep 2017</i>)<br>Balance: $-1.95B (▾$-0.52B)<br>Exports: $3.83B<br>Imports: $5.77B",2017-09-01
SPAIN,-0.358930764,-0.374177092,-0.03559067,0.8799743,-0.323340094,-1.254151392,0.323340094,1.254151392,▾,<b>SPAIN</b><br>(<i>Sep 2017</i>)<br>Balance: $-0.37B (▾$-0.36B)<br>Exports: $0.88B<br>Imports: $1.25B,2017-09-01
GERMANY,-0.343968836,-5.362231894,0.35894457,4.663394267,-0.702913406,-10.025626161,0.702913406,10.025626161,▾,<b>GERMANY</b><br>(<i>Sep 2017</i>)<br>Balance: $-5.36B (▾$-0.34B)<br>Exports: $4.66B<br>Imports: $10.03B,2017-09-01
IRELAND,-0.300930771,-3.298682901,0.032895106,0.841888283,-0.333825877,-4.140571184,0.333825877,4.140571184,▾,<b>IRELAND</b><br>(<i>Sep 2017</i>)<br>Balance: $-3.30B (▾$-0.30B)<br>Exports: $0.84B<br>Imports: $4.14B,2017-09-01
CHILE,-0.280317663,0.020924903,-0.02311387,0.964738932,-0.257203793,-0.943814029,0.257203793,0.943814029,▾,<b>CHILE</b><br>(<i>Sep 2017</i>)<br>Balance: $0.02B (▾$-0.28B)<br>Exports: $0.96B<br>Imports: $0.94B,2017-09-01
PHILIPPINES,-0.271729612,-0.341625998,-0.083604487,0.681336777,-0.188125125,-1.022962775,0.188125125,1.022962775,▾,<b>PHILIPPINES</b><br>(<i>Sep 2017</i>)<br>Balance: $-0.34B (▾$-0.27B)<br>Exports: $0.68B<br>Imports: $1.02B,2017-09-01
MEXICO,-0.259555216,-5.703788064,0.395759398,20.08744,-0.655314614,-25.791228064,0.655314614,25.791228064,▾,<b>MEXICO</b><br>(<i>Sep 2017</i>)<br>Balance: $-5.70B (▾$-0.26B)<br>Exports: $20.09B<br>Imports: $25.79B,2017-09-01
