date,Total_emp,Manf_emp,MFN_share
1970-01-01,71176.0,18424.0,25.885129819
1970-02-01,71304.0,18361.0,25.7503085381
1970-03-01,71452.0,18360.0,25.6955718524
1970-04-01,71348.0,18207.0,25.5185849638
1970-05-01,71123.0,18029.0,25.3490432068
1970-06-01,71029.0,17930.0,25.2432105196
1970-07-01,71053.0,17877.0,25.1600917625
1970-08-01,70933.0,17779.0,25.0644974835
1970-09-01,70948.0,17692.0,24.9365732649
1970-10-01,70519.0,17173.0,24.3523022164
1970-11-01,70409.0,17024.0,24.1787271514
1970-12-01,70790.0,17309.0,24.4511936714
1971-01-01,70866.0,17280.0,24.3840487681
1971-02-01,70806.0,17216.0,24.3143236449
1971-03-01,70859.0,17154.0,24.2086396929
1971-04-01,71037.0,17149.0,24.1409406366
1971-05-01,71247.0,17225.0,24.1764565526
1971-06-01,71253.0,17139.0,24.0537240537
1971-07-01,71315.0,17126.0,24.0145831873
1971-08-01,71370.0,17115.0,23.9806641446
1971-09-01,71617.0,17154.0,23.9524135331
1971-10-01,71642.0,17126.0,23.9049719438
1971-11-01,71846.0,17166.0,23.8927706483
1971-12-01,72108.0,17202.0,23.8558828424
1972-01-01,72445.0,17283.0,23.8567188902
1972-02-01,72652.0,17361.0,23.8961074712
1972-03-01,72945.0,17447.0,23.9180204263
1972-04-01,73163.0,17508.0,23.9301286169
1972-05-01,73467.0,17602.0,23.9590564471
1972-06-01,73760.0,17641.0,23.9167570499
1972-07-01,73708.0,17556.0,23.8183100885
1972-08-01,74138.0,17741.0,23.92969867
1972-09-01,74263.0,17774.0,23.9338566985
1972-10-01,74673.0,17893.0,23.961806811
1972-11-01,74967.0,18005.0,24.0172342497
1972-12-01,75270.0,18158.0,24.1238209114
1973-01-01,75621.0,18276.0,24.1678898719
1973-02-01,76017.0,18410.0,24.2182669666
1973-03-01,76285.0,18493.0,24.2419872845
1973-04-01,76455.0,18530.0,24.2364789746
1973-05-01,76646.0,18564.0,24.2204420322
1973-06-01,76887.0,18606.0,24.1991494011
1973-07-01,76911.0,18598.0,24.1811964478
1973-08-01,77166.0,18629.0,24.1414612653
1973-09-01,77276.0,18609.0,24.0812153838
1973-10-01,77606.0,18702.0,24.0986521661
1973-11-01,77912.0,18773.0,24.0951329705
