Country Code,Country Name,2013,values,bin
AGO,Angola,25003929000.0,23.9422988095,4
DZA,Algeria,5231264000.0,22.3779187684,3
EGY,"Egypt, Arab Rep.",44444146000.0,24.5174990917,5
BGD,Bangladesh,33535408000.0,24.2358676728,5
BGR,Bulgaria,51978052000.0,24.6740873895,5
BOL,Bolivia,8008535000.0,22.8037736849,3
GHA,Ghana,15800795000.0,23.4833260922,4
PAK,Pakistan,60045292000.0,24.8183649811,5
JOR,Jordan,23173392000.0,23.8662705609,4
LBR,Liberia,540980000.0,20.1088928676,1
MYS,Malaysia,2.12386698e+11,26.0816744972,6
TZA,Tanzania,13024835000.0,23.2901237566,4
PRY,Paraguay,13412839000.0,23.3194782195,4
BFA,Burkina Faso,2564598000.0,21.6650675781,2
MRT,Mauritania,3528686000.0,21.9841914006,2
CPV,Cabo Verde,1486237000.0,21.1195132591,2
CHN,China,8.70848286e+11,27.4927336149,8
JAM,Jamaica,12923386000.0,23.2823043753,4
DJI,Djibouti,831767000.0,20.5390629115,1
GIN,Guinea,1390490000.0,21.05292204,2
THA,Thailand,1.37317389e+11,25.6455607914,6
STP,Sao Tome and Principe,214377000.0,19.1832467053,0
NPL,Nepal,4087215000.0,22.131129646,3
MAR,Morocco,39242839000.0,24.3930348187,5
YEM,"Yemen, Rep.",7646774000.0,22.7575496965,3
PHL,Philippines,66870514000.0,24.9260239595,5
ZAF,South Africa,1.39244973e+11,25.6595006146,6
NIC,Nicaragua,9777480119.9,23.0033476313,3
MNE,Montenegro,3023216000.0,21.8295870024,2
SYR,Syrian Arab Republic,4753115000.0,22.2820660295,3
KAZ,Kazakhstan,1.49653071e+11,25.7315855923,6
DMA,Dominica,293006000.0,19.4957036446,0
BEN,Benin,2366618000.0,21.5847277687,2
TGO,Togo,903328000.0,20.6215962791,1
ZWE,Zimbabwe,8195614000.0,22.8268649701,3
LKA,Sri Lanka,40257424000.0,24.418560271,5
GUY,Guyana,2303339000.0,21.5576256463,2
LSO,Lesotho,885185000.0,20.6013072207,1
TKM,Turkmenistan,502854000.0,20.0358104275,1
PAN,Panama,16695742000.0,23.5384195538,4
COM,Comoros,151057000.0,18.833167807,0
TCD,Chad,2922247000.0,21.7956186778,2
GEO,Georgia,13723913000.0,23.3424056227,4
ROU,Romania,1.23955636e+11,25.5431895643,6
MNG,Mongolia,18892673000.0,23.6620400119,4
SDN,Sudan,22469139000.0,23.8354086047,4
BLZ,Belize,1249099000.0,20.9456883284,2
AFG,Afghanistan,2576820000.0,21.6698219175,2
BDI,Burundi,683609000.0,20.3428966747,1
BLR,Belarus,39573469000.0,24.4014247559,5
GRD,Grenada,616518000.0,20.2395980772,1
RWA,Rwanda,1690501000.0,21.2482907717,2
TJK,Tajikistan,3847394000.0,22.0706618729,3
HTI,Haiti,1555882000.0,21.1653084244,2
LCA,St. Lucia,474018000.0,19.9767558536,1
IND,India,4.29742425138e+11,26.7864518548,7
BTN,Bhutan,1528151000.0,21.1473243448,2
VCT,St. Vincent and the Grenadines,310571000.0,19.5539230966,0
VNM,Vietnam,65490857000.0,24.9051763821,5
FJI,Fiji,796817000.0,20.4961355993,1
HND,Honduras,6830934000.0,22.6447272508,3
MUS,Mauritius,10916028000.0,23.1134980048,4
DOM,Dominican Republic,24526682000.0,23.9230274231,4
PER,Peru,56661391000.0,24.760358881,5
IDN,Indonesia,2.6613375e+11,26.3072648389,6
VUT,Vanuatu,132379000.0,18.7011795786,0
MKD,"Macedonia, FYR",6736814000.0,22.6308529498,3
CRI,Costa Rica,18734573000.0,23.6536364774,4
COD,"Congo, Dem. Rep.",6180066000.0,22.544594788,3
COG,"Congo, Rep.",3448328000.0,21.9611553128,2
ETH,Ethiopia,12556584000.0,23.2535109865,4
NER,Niger,2601987000.0,21.6795412209,2
COL,Colombia,89264623000.0,25.2148710873,5
NGA,Nigeria,21615716000.0,23.7966864797,4
BWA,Botswana,2426720000.0,21.6098063883,2
MDA,Moldova,6490627000.0,22.5936249732,3
MDG,Madagascar,2871978000.0,21.7782668279,2
ECU,Ecuador,20286949000.0,23.7332436098,4
SEN,Senegal,5224460000.0,22.3766172802,3
MDV,Maldives,821062000.0,20.5261091822,1
KHM,Cambodia,6472149000.0,22.5907740387,3
SRB,Serbia,36397427000.0,24.3177639223,5
MOZ,Mozambique,7009553000.0,22.6705397699,3
ZMB,Zambia,6060547000.0,22.525065897,3
GMB,"Gambia, The",519304000.0,20.0680000115,1
GTM,Guatemala,17251947000.0,23.5711908436,4
KEN,Kenya,13654547000.0,23.3373384167,4
LAO,Lao PDR,9425584000.0,22.9666935312,3
MEX,Mexico,4.06042143e+11,26.7297227917,7
TUR,Turkey,3.89385574e+11,26.6878358825,7
ALB,Albania,8430209000.0,22.8550874011,3
MMR,Myanmar,7251176000.0,22.7044294996,3
